tag,place,user
"""been""","Naples, Italy",Netster11
"""been""","Piraeus, Greece",Netster11
"""been""","Wichit, Thailand",Netster11
"""been""","Sabang, Philippines",Netster11
"""been""","San Casciano in Val di Pesa, Italy",Netster11
"""been""","Pomena, Croatia",Netster11
"""been""","Osaka, Japan",Netster11
"""been""","San Gimignano, Italy",Netster11
"""been""","Split, Croatia",Netster11
"""been""","Dubrovnik, Croatia",Netster11
"""been""","West Hollywood, CA, USA",Netster11
"""been""","Langkawi, Malaysia",Netster11
"""been""","Da Nang, Vietnam",Netster11
"""been""","Athens, Greece",Netster11
"""been""","San Francisco, CA, USA",Netster11
"""been""","Fort Lauderdale, FL, USA",Netster11
"""been""","Sounio, Greece",Netster11
"""been""","Chora, Greece",Netster11
"""been""","Macau, China",Netster11
"""been""","Wellington, New Zealand",Netster11
"""been""","Pecatu, Indonesia",Netster11
"""been""","Beverly Hills, CA, USA",Netster11
"""been""","Moofushi Island, Asia",Netster11
"""been""","Taipei, Taiwan",Netster11
"""been""","Chiang Mai, Thailand",Netster11
"""been""","Bangkok, Thailand",Netster11
"""been""","Puerto Princesa, Philippines",Netster11
"""been""","Abu Dhabi, United Arab Emirates",Netster11
"""been""","Tanjung Bungah, Malaysia",Netster11
"""been""","Hong Kong, China",Netster11
"""been""","Oia, Greece",Netster11
"""been""","Fira, Greece",Netster11
"""been""","Kuala Lumpur, Malaysia",Netster11
"""been""","Pererenan, Indonesia",Netster11
"""been""","Rome, Italy",Netster11
"""been""","Santa Barbara, CA, USA",Netster11
"""been""","Chatan-cho, Japan",Netster11
"""been""","Weston, FL, USA",Netster11
"""been""","Mykonos Town, Greece",Netster11
"""been""","Krabi Town, Thailand",Netster11
"""been""","Ho Chi Minh City, Vietnam",Netster11
"""been""","Mercatale di Val di Pesa, Italy",Netster11
"""been""","Patong, Thailand",Netster11
"""been""","George Town, Malaysia",Netster11
"""been""","Singapore, Singapore",Netster11
"""been""","Folegandros, Greece",Netster11
"""been""","Kuta, Indonesia",Netster11
"""been""","Okinawa City, Japan",Netster11
"""been""","Kithnos, Greece",Netster11
"""been""","North Bay Village, FL, USA",Netster11
"""been""","Indian Harbour, Nova Scotia, Canada",Netster11
"""been""","Uluwatu, Indonesia",Netster11
"""been""","Los Angeles, CA, USA",Netster11
"""been""","North Miami, FL, USA",Netster11
"""been""","Naoussa, Greece",Netster11
"""been""","Naha, Japan",Netster11
"""been""","North Miami Beach, FL, USA",Netster11
"""been""","Omis, Croatia",Netster11
"""been""","Parikia, Greece",Netster11
"""been""","Sentosa Island, Singapore",Netster11
"""been""","Ishigaki, Japan",Netster11
"""been""","Dania Beach, FL, USA",Netster11
"""been""","Impruneta, Italy",Netster11
"""been""","Bang Tao Beach, Thailand",Netster11
"""been""","Tavarnuzze, Italy",Netster11
"""been""","Nai Yang, Thailand",Netster11
"""been""","Korcula Town, Croatia",Netster11
"""been""","Mljet National Park, Croatia",Netster11
"""been""","Milan, Italy",Netster11
"""been""","Hermoupolis, Greece",Netster11
"""been""","Florence, Italy",Netster11
"""been""","Delos, Greece",Netster11
"""been""","Phnom Penh, Cambodia",Netster11
"""been""","Aventura, FL, USA",Netster11
"""been""","Scandicci, Italy",Netster11
"""been""","Seoul, South Korea",Netster11
"""been""","Barcelona, Spain",Netster11
"""been""","Hulhule Island, Asia",Netster11
"""been""","Canggu, Indonesia",Netster11
"""been""","Santorini, Greece",Netster11
"""been""","Batu Ferringhi, Malaysia",Netster11
"""been""","Hvar, Croatia",Netster11
"""been""","Melbourne, Australia",Netster11
"""been""","Boston, MA, USA",Netster11
"""been""","Pucisce, Croatia",Netster11
"""been""","Miami, FL, USA",Netster11
"""been""","Siem Reap, Cambodia",Netster11
"""been""","Chicago, IL, USA",Netster11
"""been""","Toronto, Ontario, Canada",Netster11
"""been""","Hoi An, Vietnam",Netster11
"""been""","Bol, Croatia",Netster11
"""been""","Tanjung Tokong, Malaysia",Netster11
"""been""","Zhubei, Taiwan",Netster11
"""been""","Las Vegas, NV, USA",Netster11
