tag,place,user
"""been""","Barbados, Caribbean",OSUWASHMAN
"""been""","Malahide, Ireland",OSUWASHMAN
"""been""","Guadeloupe, Caribbean",OSUWASHMAN
"""been""","Kincasslagh, Ireland",OSUWASHMAN
"""been""","Macreddin Village, Ireland",OSUWASHMAN
"""been""","Dubai, United Arab Emirates",OSUWASHMAN
"""been""","New Orleans, LA, USA",OSUWASHMAN
"""been""","Naas, Ireland",OSUWASHMAN
"""been""","Warsaw, Poland",OSUWASHMAN
"""been""","Boston, MA, USA",OSUWASHMAN
"""been"",""fave""","Venice, Italy",OSUWASHMAN
"""been""","Azay-le-Rideau, France",OSUWASHMAN
"""been""","Horley, UK",OSUWASHMAN
"""been""","Limoges, France",OSUWASHMAN
"""been""","Saint-Saturnin, France",OSUWASHMAN
"""been""","Rome, Italy",OSUWASHMAN
"""been""","Bermuda, Caribbean",OSUWASHMAN
"""been""","Leixlip, Ireland",OSUWASHMAN
"""been""","Montserrat, Caribbean",OSUWASHMAN
"""been""","Marrakech, Morocco",OSUWASHMAN
"""been""","Newbridge, Ireland",OSUWASHMAN
"""been""","Tangier, Morocco",OSUWASHMAN
"""been""","Saint-Sauveur-de-Landemont, France",OSUWASHMAN
"""been""","Poitiers, France",OSUWASHMAN
"""been""","St. Petersburg, Russia",OSUWASHMAN
"""been"",""fave""","Istanbul, Turkey",OSUWASHMAN
"""been""","Limone sul Garda, Italy",OSUWASHMAN
"""been""","Philadelphia, PA, USA",OSUWASHMAN
"""been""","Washington DC, DC, USA",OSUWASHMAN
"""been""","Berlin, Germany",OSUWASHMAN
"""been""","Belfast, UK",OSUWASHMAN
"""been""","Arcachon, France",OSUWASHMAN
"""been""","Holywood, UK",OSUWASHMAN
"""been""","Torroella de Montgri, Spain",OSUWASHMAN
"""been""","Belize City, Belize",OSUWASHMAN
"""been""","Ballincar, Ireland",OSUWASHMAN
"""been""","Killybegs, Ireland",OSUWASHMAN
"""been""","Donegal Town, Ireland",OSUWASHMAN
"""been""","Dublin, Ireland",OSUWASHMAN
"""been""","Barcelona, Spain",OSUWASHMAN
"""been""","Santorini, Greece",OSUWASHMAN
"""been""","San Sebastian - Donostia, Spain",OSUWASHMAN
"""been""","Loule, Portugal",OSUWASHMAN
"""been""","Faro, Portugal",OSUWASHMAN
"""been""","Toronto, Ontario, Canada",OSUWASHMAN
"""been""","Middlewich, UK",OSUWASHMAN
"""been""","Sedbergh, UK",OSUWASHMAN
"""been""","Kirkby Stephen, UK",OSUWASHMAN
"""been""","Pasadena, CA, USA",OSUWASHMAN
"""been""","London, UK",OSUWASHMAN
"""been""","Laveyssiere, France",OSUWASHMAN
"""been""","Capri, Italy",OSUWASHMAN
"""been""","Athens, Greece",OSUWASHMAN
"""been""","Vieux-Boucau-les-Bains, France",OSUWASHMAN
"""been""","Los Angeles, CA, USA",OSUWASHMAN
"""been""","Funchal, Portugal",OSUWASHMAN
"""been""","Palma de Mallorca, Spain",OSUWASHMAN
"""been""","Ewen, UK",OSUWASHMAN
"""been""","Vilamoura, Portugal",OSUWASHMAN
"""been""","Paris, France",OSUWASHMAN
"""been""","Naples, Italy",OSUWASHMAN
"""been""","Champtoceaux, France",OSUWASHMAN
"""been""","Cap-d'Agde, France",OSUWASHMAN
"""been""","Soustons, France",OSUWASHMAN
"""been""","Olhos de Agua, Portugal",OSUWASHMAN
