tag,place,user
"""been"",""fave""","Milan, Italy",OriE11
"""been""","Las Vegas, NV, USA",OriE11
"""been""","London, UK",OriE11
"""been"",""want""","Tel Aviv, Israel",OriE11
"""been""","Chicago, IL, USA",OriE11
"""been""","Miami Beach, FL, USA",OriE11
"""been""","Los Angeles, CA, USA",OriE11
"""been""","Boston, MA, USA",OriE11
"""been""","Manuel Antonio, Costa Rica",OriE11
"""been""","New York City, NY, USA",OriE11
"""been""","San Diego, CA, USA",OriE11
"""been""","Amsterdam, The Netherlands",OriE11
"""been""","Madrid, Spain",OriE11
"""been""","Zurich, Switzerland",OriE11
"""been""","San Francisco, CA, USA",OriE11
"""been"",""fave""","Paris, France",OriE11
