tag,place,user
"""been""","Cambria, CA, USA",PatM403
"""been""","Paso Robles, CA, USA",PatM403
"""been""","Key West, FL, USA",PatM403
"""been""","Monrovia, CA, USA",PatM403
"""been""","Dublin, Ireland",PatM403
"""been""","Morro Bay, CA, USA",PatM403
"""been""","Baddeck, Nova Scotia, Canada",PatM403
"""been""","Blue Jay, CA, USA",PatM403
"""been""","Lugano, Switzerland",PatM403
"""been""","Brooklyn, NY, USA",PatM403
"""been""","Ventura, CA, USA",PatM403
"""been""","San Marino, CA, USA",PatM403
"""been""","Avalon, CA, USA",PatM403
"""been""","Irvine, CA, USA",PatM403
"""been""","Arcadia, CA, USA",PatM403
"""been""","Glendora, CA, USA",PatM403
"""been""","Sierra Madre, CA, USA",PatM403
"""been""","New York City, NY, USA",PatM403
"""been""","La Canada Flintridge, CA, USA",PatM403
"""been""","Pasadena, CA, USA",PatM403
"""been""","Beaune, France",PatM403
"""been""","Chicago, IL, USA",PatM403
"""been""","Halifax, Nova Scotia, Canada",PatM403
"""been""","Yosemite National Park, CA, USA",PatM403
"""been""","Puligny-Montrachet, France",PatM403
"""been""","Cerritos, CA, USA",PatM403
"""been""","Lake Arrowhead, CA, USA",PatM403
"""been""","Dartmouth, Nova Scotia, Canada",PatM403
