tag,place,user
"""been""","Medford, OR, USA",PlateMan
"""been""","Auckland, New Zealand",PlateMan
"""been""","Alexandria, VA, USA",PlateMan
"""been""","Lucerne, Switzerland",PlateMan
"""been""","Webster, TX, USA",PlateMan
"""been""","King of Prussia, PA, USA",PlateMan
"""been""","Indian Wells, CA, USA",PlateMan
"""been""","Lisbon, Portugal",PlateMan
"""been""","Las Vegas, NV, USA",PlateMan
"""been""","Long Beach, CA, USA",PlateMan
"""been""","Windsor, Ontario, Canada",PlateMan
"""been""","Flint, MI, USA",PlateMan
"""been""","Philadelphia, PA, USA",PlateMan
"""been""","Louisville, KY, USA",PlateMan
"""been""","Portland, OR, USA",PlateMan
"""been""","Halifax, Nova Scotia, Canada",PlateMan
"""been""","Portland, ME, USA",PlateMan
"""been""","Zion Crossroads, VA, USA",PlateMan
"""been""","Los Angeles, CA, USA",PlateMan
"""been""","Geneva, Switzerland",PlateMan
"""been""","Saint Louis, MO, USA",PlateMan
"""been""","Bay Saint Louis, MS, USA",PlateMan
"""been""","Chicago, IL, USA",PlateMan
"""been""","Saratoga Springs, NY, USA",PlateMan
"""been""","Montreal, Quebec, Canada",PlateMan
"""been""","Quebec City, Quebec, Canada",PlateMan
"""been""","Old Greenwich, CT, USA",PlateMan
"""been""","Herndon, VA, USA",PlateMan
"""been""","Arlington, VA, USA",PlateMan
"""been""","Neckarsulm, Germany",PlateMan
"""been""","Plattsburgh, NY, USA",PlateMan
"""been""","Pittsburgh, PA, USA",PlateMan
"""been""","Cherry Hill, NJ, USA",PlateMan
"""been""","Reykjavik, Iceland",PlateMan
"""been""","Rome, Italy",PlateMan
"""been""","Nuremberg, Germany",PlateMan
"""been""","Stockholm, Sweden",PlateMan
"""been""","York, UK",PlateMan
"""been""","Cambridge, UK",PlateMan
"""been""","Brussels, Belgium",PlateMan
"""been""","London, UK",PlateMan
"""been""","Santa Clara, CA, USA",PlateMan
"""been""","Munich, Germany",PlateMan
"""been""","Santa Clarita, CA, USA",PlateMan
"""been""","Atlanta, GA, USA",PlateMan
"""been""","Mississauga, Ontario, Canada",PlateMan
"""been""","Niagara Falls, Ontario, Canada",PlateMan
"""been""","Schiphol, The Netherlands",PlateMan
"""been""","Fort Worth, TX, USA",PlateMan
"""been""","Baton Rouge, LA, USA",PlateMan
"""been""","Rotterdam, The Netherlands",PlateMan
"""been""","Sacramento, CA, USA",PlateMan
"""been""","Rockville, MD, USA",PlateMan
"""been""","Milwaukee, WI, USA",PlateMan
"""been""","The Hague, The Netherlands",PlateMan
"""been""","Irving, TX, USA",PlateMan
"""been""","New York City, NY, USA",PlateMan
"""been""","Omaha, NE, USA",PlateMan
"""been""","Thurmont, MD, USA",PlateMan
"""been""","Phoenix, AZ, USA",PlateMan
"""been""","Rapid City, SD, USA",PlateMan
"""been""","Sterling, VA, USA",PlateMan
"""been""","Stuttgart, Germany",PlateMan
"""been""","Toulouse, France",PlateMan
"""been""","Melbourne, Australia",PlateMan
"""been""","Dearborn, MI, USA",PlateMan
"""been""","Gatineau, Quebec, Canada",PlateMan
"""been""","Vienna, Austria",PlateMan
"""been""","Warrenton, VA, USA",PlateMan
"""been""","Warwick, RI, USA",PlateMan
"""been""","Montgomery, AL, USA",PlateMan
