tag,place,user
"""been""","Simi Valley, CA, USA",Props555
"""been""","Beverly Hills, CA, USA",Props555
"""want""","Providenciales, Turks and Caicos",Props555
"""been""","Las Vegas, NV, USA",Props555
"""been""","Tahaa, French Polynesia",Props555
"""been""","Santa Clarita, CA, USA",Props555
"""been""","Santa Monica, CA, USA",Props555
"""been""","Coronado, CA, USA",Props555
"""been""","West Hollywood, CA, USA",Props555
"""been""","Ventura, CA, USA",Props555
"""been""","Agoura Hills, CA, USA",Props555
"""been""","Thousand Oaks, CA, USA",Props555
"""been""","Montrose, CA, USA",Props555
"""been""","Moorpark, CA, USA",Props555
"""been""","Westlake Village, CA, USA",Props555
"""been""","Los Angeles, CA, USA",Props555
"""been""","San Diego, CA, USA",Props555
