tag,place,user
"""been""","Nelspruit, South Africa",RENE74_11
"""been""","Livigno, Italy",RENE74_11
"""been""","Nashville, TN, USA",RENE74_11
"""been""","Hoboken, NJ, USA",RENE74_11
"""been""","Bruges, Belgium",RENE74_11
"""want""","San Juan, Puerto Rico",RENE74_11
"""been""","Palma de Mallorca, Spain",RENE74_11
"""been""","Livingstone, Zambia",RENE74_11
"""been""","Durban, South Africa",RENE74_11
"""been""","Athens, Greece",RENE74_11
"""been""","Santa Barbara, CA, USA",RENE74_11
"""been""","Memphis, TN, USA",RENE74_11
"""want""","Prague, Czech Republic",RENE74_11
"""been""","Albuquerque, NM, USA",RENE74_11
"""been""","Frankfurt, Germany",RENE74_11
"""been""","Atlanta, GA, USA",RENE74_11
"""been""","Baltimore, MD, USA",RENE74_11
"""been""","Beverly Hills, CA, USA",RENE74_11
"""been""","Savannah, GA, USA",RENE74_11
"""been""","Dar es Salaam, Tanzania",RENE74_11
"""been""","Mykonos Town, Greece",RENE74_11
"""been""","Jeffreys Bay, South Africa",RENE74_11
"""been""","Sacramento, CA, USA",RENE74_11
"""been""","Nice, France",RENE74_11
"""been""","Sofia, Bulgaria",RENE74_11
"""been""","Victoria Falls, Zimbabwe",RENE74_11
"""been""","Venice, Italy",RENE74_11
"""been""","Phoenix, AZ, USA",RENE74_11
"""been""","Cocoa Beach, FL, USA",RENE74_11
"""been""","Burbank, CA, USA",RENE74_11
"""been""","New York City, NY, USA",RENE74_11
"""been""","El Paso, TX, USA",RENE74_11
"""been""","Ventura, CA, USA",RENE74_11
"""been""","Napa, CA, USA",RENE74_11
"""been""","Jacksonville, FL, USA",RENE74_11
"""been""","Lauderdale-By-The-Sea, FL, USA",RENE74_11
"""been""","Luxembourg City, Luxembourg",RENE74_11
"""been""","Santa Monica, CA, USA",RENE74_11
"""been""","Clearwater, FL, USA",RENE74_11
"""been""","Bangkok, Thailand",RENE74_11
"""been""","Johannesburg, South Africa",RENE74_11
"""been""","Porto, Portugal",RENE74_11
"""been""","Grande Riviere Sud Est, Africa",RENE74_11
"""been""","Berlin, Germany",RENE74_11
"""been""","Palm Springs, CA, USA",RENE74_11
"""been""","Torremolinos, Spain",RENE74_11
"""been""","Heidelberg, Germany",RENE74_11
"""been""","Granada, Spain",RENE74_11
"""been""","Ronda, Spain",RENE74_11
"""been""","Hong Kong, China",RENE74_11
"""been""","Denver, CO, USA",RENE74_11
"""been""","Seattle, WA, USA",RENE74_11
"""been""","Orlando, FL, USA",RENE74_11
"""been""","Malaga, Spain",RENE74_11
"""been""","Cape Canaveral, FL, USA",RENE74_11
"""been""","Marbella, Spain",RENE74_11
"""want""","Budapest, Hungary",RENE74_11
"""been""","Fort Myers Beach, FL, USA",RENE74_11
"""been""","Kissimmee, FL, USA",RENE74_11
"""been""","Salzburg, Austria",RENE74_11
"""want""","Ho Chi Minh City, Vietnam",RENE74_11
"""want""","Hanoi, Vietnam",RENE74_11
"""been""","Fort Myers, FL, USA",RENE74_11
"""been""","Benalmadena, Spain",RENE74_11
"""been""","Monterey, CA, USA",RENE74_11
"""been""","Algarve, Portugal",RENE74_11
"""been""","Pasadena, CA, USA",RENE74_11
"""been""","Pretoria, South Africa",RENE74_11
"""been"",""fave""","Maui, HI, USA",RENE74_11
"""been""","Durango, CO, USA",RENE74_11
"""been""","New Orleans, LA, USA",RENE74_11
"""been""","Long Island City, NY, USA",RENE74_11
"""been"",""want"",""fave""","Honolulu, HI, USA",RENE74_11
"""been""","Amarillo, TX, USA",RENE74_11
"""been""","Milan, Italy",RENE74_11
"""been""","Boston, MA, USA",RENE74_11
"""been""","Playa de las Americas, Spain",RENE74_11
"""been""","Maputo, Mozambique",RENE74_11
"""been""","Myrtle Beach, SC, USA",RENE74_11
"""been""","Vienna, Austria",RENE74_11
"""been""","Catalina Island, CA, USA",RENE74_11
"""been""","Boca Raton, FL, USA",RENE74_11
"""been""","Amsterdam, The Netherlands",RENE74_11
"""been""","St. Pete Beach, FL, USA",RENE74_11
"""been""","St. Petersburg, FL, USA",RENE74_11
"""been""","Paris, France",RENE74_11
"""been""","Newark, NJ, USA",RENE74_11
"""been""","Zurich, Switzerland",RENE74_11
"""been""","Stellenbosch, South Africa",RENE74_11
"""been""","Colorado Springs, CO, USA",RENE74_11
"""been""","Flagstaff, AZ, USA",RENE74_11
"""been""","Malibu, CA, USA",RENE74_11
"""been""","Lausanne, Switzerland",RENE74_11
"""been""","Manhattan Beach, CA, USA",RENE74_11
"""been""","Anaheim, CA, USA",RENE74_11
"""been""","Jackson, MS, USA",RENE74_11
"""been""","Daytona Beach, FL, USA",RENE74_11
"""been""","Dallas, TX, USA",RENE74_11
"""been""","Houston, TX, USA",RENE74_11
"""been""","Reno, NV, USA",RENE74_11
"""been""","Alberton, South Africa",RENE74_11
"""want""","Toronto, Ontario, Canada",RENE74_11
"""been""","Brussels, Belgium",RENE74_11
"""been""","Rome, Italy",RENE74_11
"""been""","Avalon, CA, USA",RENE74_11
"""been""","Sedona, AZ, USA",RENE74_11
"""been""","Naples, FL, USA",RENE74_11
"""been""","London, UK",RENE74_11
"""been""","Munich, Germany",RENE74_11
"""been""","Charleston, SC, USA",RENE74_11
"""been""","Fort Lauderdale, FL, USA",RENE74_11
"""been""","West Hollywood, CA, USA",RENE74_11
"""been""","Monza, Italy",RENE74_11
"""been""","Las Vegas, NV, USA",RENE74_11
"""been""","Cape Town Central, South Africa",RENE74_11
"""been""","Patong, Thailand",RENE74_11
"""been""","Singapore, Singapore",RENE74_11
"""been""","Vilamoura, Portugal",RENE74_11
"""been""","Long Beach, CA, USA",RENE74_11
"""been""","Geneva, Switzerland",RENE74_11
"""been""","Austin, TX, USA",RENE74_11
"""been""","Tallahassee, FL, USA",RENE74_11
"""been""","Monte-Carlo, Monaco",RENE74_11
"""been""","Tucson, AZ, USA",RENE74_11
"""been""","San Francisco, CA, USA",RENE74_11
"""been""","San Antonio, TX, USA",RENE74_11
"""been""","Miami, FL, USA",RENE74_11
"""been""","Madrid, Spain",RENE74_11
"""been""","Los Angeles, CA, USA",RENE74_11
"""been""","Tampa, FL, USA",RENE74_11
"""been""","Knoxville, TN, USA",RENE74_11
"""been""","Franschhoek, South Africa",RENE74_11
"""been""","Santa Fe, NM, USA",RENE74_11
"""been""","Costa Adeje, Spain",RENE74_11
"""been""","Hermanus, South Africa",RENE74_11
"""been""","Knysna, South Africa",RENE74_11
"""want""","Montego Bay, Jamaica",RENE74_11
"""been""","Eindhoven, The Netherlands",RENE74_11
"""been""","Big Sur, CA, USA",RENE74_11
"""been""","Chicago, IL, USA",RENE74_11
"""been""","Florence, Italy",RENE74_11
"""been""","Miami Beach, FL, USA",RENE74_11
"""been""","Washington DC, DC, USA",RENE74_11
"""been""","Lisbon, Portugal",RENE74_11
"""been""","Barcelona, Spain",RENE74_11
"""been""","Arlington, VA, USA",RENE74_11
"""been""","Istanbul, Turkey",RENE74_11
"""been"",""fave""","Brooklyn, NY, USA",RENE74_11
