tag,place,user
"""been""","Ponta Delgada, Portugal",RKRhodes
"""been""","Mount Desert, ME, USA",RKRhodes
"""been""","Basel, Switzerland",RKRhodes
"""been""","Koszalin, Poland",RKRhodes
"""been""","Ladispoli, Italy",RKRhodes
"""been""","Gdansk, Poland",RKRhodes
"""been""","Ka'anapali, HI, USA",RKRhodes
"""been""","Hammond, OR, USA",RKRhodes
"""been""","Chanhassen, MN, USA",RKRhodes
"""been""","Grants Pass, OR, USA",RKRhodes
"""been""","Chatfield, MN, USA",RKRhodes
"""been""","Bern, Switzerland",RKRhodes
"""been""","Thun, Switzerland",RKRhodes
"""been""","Anthem, AZ, USA",RKRhodes
"""been""","Ocean View, HI, USA",RKRhodes
"""been""","Naalehu, HI, USA",RKRhodes
"""been""","Boothbay Harbor, ME, USA",RKRhodes
"""been""","Luxembourg City, Luxembourg",RKRhodes
"""been""","Kealakekua, HI, USA",RKRhodes
"""been""","Keaau, HI, USA",RKRhodes
"""been""","Pleasanton, CA, USA",RKRhodes
"""been""","Szczecin, Poland",RKRhodes
"""been""","Keauhou, HI, USA",RKRhodes
"""been""","Gold Beach, OR, USA",RKRhodes
"""been""","Carlton, MN, USA",RKRhodes
"""been""","Gearhart, OR, USA",RKRhodes
"""been""","Rouen, France",RKRhodes
"""been""","San Nicolo, Italy",RKRhodes
"""been""","Balboa Island, CA, USA",RKRhodes
"""been""","Belleair Beach, FL, USA",RKRhodes
"""been""","Santurce, Puerto Rico",RKRhodes
"""been""","Galena, IL, USA",RKRhodes
"""been""","Virginia Beach, VA, USA",RKRhodes
"""been""","Big Pine Key, FL, USA",RKRhodes
"""been""","Waimea, HI, USA",RKRhodes
"""been""","Verbania, Italy",RKRhodes
"""been""","Corfu Town, Greece",RKRhodes
"""been""","Byron, MN, USA",RKRhodes
"""been""","Flavigny-sur-Ozerain, France",RKRhodes
"""been""","Captain Cook, HI, USA",RKRhodes
"""been""","Glendive, MT, USA",RKRhodes
"""been""","Hilo, HI, USA",RKRhodes
"""been""","Hawi, HI, USA",RKRhodes
"""been""","Garibaldi, OR, USA",RKRhodes
"""been""","Cannaregio, Italy",RKRhodes
"""been""","Hollywood, FL, USA",RKRhodes
"""been""","Cannon Falls, MN, USA",RKRhodes
"""been""","Verdun, France",RKRhodes
"""been""","Winchester, KY, USA",RKRhodes
"""been""","Village of Oak Creek, AZ, USA",RKRhodes
"""been""","Fargo, ND, USA",RKRhodes
"""been""","Tomah, WI, USA",RKRhodes
"""been""","Florence, OR, USA",RKRhodes
"""been""","Bronx, NY, USA",RKRhodes
"""been""","Eugene, OR, USA",RKRhodes
"""been""","Summerland, British Columbia, Canada",RKRhodes
"""been""","Red Hook, U.S. Virgin Islands",RKRhodes
"""been""","Grand Coulee, WA, USA",RKRhodes
"""been""","Boise, ID, USA",RKRhodes
"""been""","Burnsville, MN, USA",RKRhodes
"""been""","Gig Harbor, WA, USA",RKRhodes
"""been""","Paducah, KY, USA",RKRhodes
"""been""","Three Lakes, WI, USA",RKRhodes
"""been""","Normal, IL, USA",RKRhodes
"""been""","Teton Village, WY, USA",RKRhodes
"""been""","Superior, WI, USA",RKRhodes
"""been""","Staten Island, NY, USA",RKRhodes
"""been""","Mesilla, NM, USA",RKRhodes
"""been""","Torrance, CA, USA",RKRhodes
"""been""","Bellinzona, Switzerland",RKRhodes
"""been""","Bodega Bay, CA, USA",RKRhodes
"""been""","Sion, Switzerland",RKRhodes
"""been""","Zermatt, Switzerland",RKRhodes
"""been""","Bonny Doon, CA, USA",RKRhodes
"""been""","Funchal, Portugal",RKRhodes
"""been""","Forks, WA, USA",RKRhodes
"""been""","Tustin, CA, USA",RKRhodes
"""been""","Philadelphia, PA, USA",RKRhodes
"""been""","Kaub, Germany",RKRhodes
"""been""","Coupeville, WA, USA",RKRhodes
"""been""","Sturgeon Bay, WI, USA",RKRhodes
"""been""","North Naples, FL, USA",RKRhodes
"""been""","Depoe Bay, OR, USA",RKRhodes
"""been""","Dickinson, ND, USA",RKRhodes
"""been""","Virginia City, NV, USA",RKRhodes
"""been""","Zephyr Cove, NV, USA",RKRhodes
"""been""","Mahahual, Mexico",RKRhodes
"""been""","Las Croabas, Puerto Rico",RKRhodes
"""been""","Grindelwald, Switzerland",RKRhodes
"""been""","Interlaken, Switzerland",RKRhodes
"""been""","Federal Way, WA, USA",RKRhodes
"""been""","Meiringen, Switzerland",RKRhodes
"""been""","Truckee, CA, USA",RKRhodes
"""been""","Fife, WA, USA",RKRhodes
"""been""","Everett, WA, USA",RKRhodes
"""been""","Big Pine, CA, USA",RKRhodes
"""been""","Memphis, TN, USA",RKRhodes
"""been""","Bradenton, FL, USA",RKRhodes
"""been""","Cortina d'Ampezzo, Italy",RKRhodes
"""been""","Clear Lake, IA, USA",RKRhodes
"""been""","Civitavecchia, Italy",RKRhodes
"""been""","Death Valley Junction, CA, USA",RKRhodes
"""been"",""want""","Louisbourg, Nova Scotia, Canada",RKRhodes
"""been""","Ballintoy, UK",RKRhodes
"""been""","Virginia City, MT, USA",RKRhodes
"""been""","Stateline, NV, USA",RKRhodes
"""been""","Catano, Puerto Rico",RKRhodes
"""been""","Furnace Creek, CA, USA",RKRhodes
"""been""","West Yellowstone, MT, USA",RKRhodes
"""been""","Kaysersberg, France",RKRhodes
"""been""","Beverly Hills, CA, USA",RKRhodes
"""been""","Neuhausen am Rheinfall, Switzerland",RKRhodes
"""been""","Schaffhausen, Switzerland",RKRhodes
"""been""","Silea, Italy",RKRhodes
"""been""","San Juan, Puerto Rico",RKRhodes
"""been""","Enumclaw, WA, USA",RKRhodes
"""been""","Trenton, ME, USA",RKRhodes
"""been""","Blythe, CA, USA",RKRhodes
"""been""","Geneva, Switzerland",RKRhodes
"""been""","Kapoho, HI, USA",RKRhodes
"""been""","Willcox, AZ, USA",RKRhodes
"""been""","Maryville, TN, USA",RKRhodes
"""been""","Ellensburg, WA, USA",RKRhodes
"""been""","Gorzow Wielkopolski, Poland",RKRhodes
"""been""","Snowbird, UT, USA",RKRhodes
"""been""","Hereford, AZ, USA",RKRhodes
"""been""","Lewes, DE, USA",RKRhodes
"""been""","St. Petersburg, Russia",RKRhodes
"""been""","Intra, Italy",RKRhodes
"""been""","Vaduz, Liechtenstein",RKRhodes
"""been""","Ventura, CA, USA",RKRhodes
"""been""","Edmonds, WA, USA",RKRhodes
"""been""","Puyallup, WA, USA",RKRhodes
"""been""","Lucerne, Switzerland",RKRhodes
"""been""","Bishop, CA, USA",RKRhodes
"""been""","Skofja Loka, Slovenia",RKRhodes
"""been""","Wuxi, China",RKRhodes
"""been""","Suzhou, China",RKRhodes
"""been""","Montara, CA, USA",RKRhodes
"""been""","Comps, France",RKRhodes
"""been""","Montecito, CA, USA",RKRhodes
"""been""","Riverside, CA, USA",RKRhodes
"""been""","Wickenburg, AZ, USA",RKRhodes
"""been""","Riquewihr, France",RKRhodes
"""been""","Why, AZ, USA",RKRhodes
"""been""","Williams, AZ, USA",RKRhodes
"""been""","Wikieup, AZ, USA",RKRhodes
"""been""","Monterey, CA, USA",RKRhodes
"""been""","Beatty Junction, CA, USA",RKRhodes
"""been""","Pinetop-Lakeside, AZ, USA",RKRhodes
"""been""","West Concord, MN, USA",RKRhodes
"""been""","Castries, St. Lucia",RKRhodes
"""been""","Waldbuettelbrunn, Germany",RKRhodes
"""been""","Pierre, SD, USA",RKRhodes
"""been""","Winslow, AZ, USA",RKRhodes
"""been""","Sankt Goarshausen, Germany",RKRhodes
"""been""","Roseville, CA, USA",RKRhodes
"""been""","Morro Bay, CA, USA",RKRhodes
"""been""","Moss Beach, CA, USA",RKRhodes
"""been""","Morgan Hill, CA, USA",RKRhodes
"""been""","Youngtown, AZ, USA",RKRhodes
"""been""","Blanding, UT, USA",RKRhodes
"""been""","Homewood, CA, USA",RKRhodes
"""been""","Yuma, AZ, USA",RKRhodes
"""been""","Bluff, UT, USA",RKRhodes
"""been""","Moss Landing, CA, USA",RKRhodes
"""been""","Welch, MN, USA",RKRhodes
"""been""","Stromstad, Sweden",RKRhodes
"""been""","Sete Cidades, Portugal",RKRhodes
"""been""","Spanish Town, British Virgin Islands",RKRhodes
"""been""","Redding, CA, USA",RKRhodes
"""been""","Virgin Gorda, British Virgin Islands",RKRhodes
"""been""","Gimmelwald, Switzerland",RKRhodes
"""been""","Redondo Beach, CA, USA",RKRhodes
"""been""","Hangzhou, China",RKRhodes
"""been""","Milpitas, CA, USA",RKRhodes
"""been""","Hartford, CT, USA",RKRhodes
"""been""","George Town, Cayman Islands",RKRhodes
"""been""","Lexington, KY, USA",RKRhodes
"""been""","Easton, PA, USA",RKRhodes
