tag,place,user
"""been""","Honolulu, HI, USA",RLM10
"""been""","Memphis, TN, USA",RLM10
"""been""","Nivelles, Belgium",RLM10
"""been""","Venice, Italy",RLM10
"""been""","Houston, TX, USA",RLM10
"""been""","Dubai, United Arab Emirates",RLM10
"""been""","Rome, Italy",RLM10
"""been""","Hilo, HI, USA",RLM10
"""been""","Dallas, TX, USA",RLM10
"""been""","Krabi Town, Thailand",RLM10
"""been""","Bangkok, Thailand",RLM10
"""been""","Taipei, Taiwan",RLM10
"""been""","Savannah, GA, USA",RLM10
"""been""","Washington DC, DC, USA",RLM10
"""been""","London, UK",RLM10
"""been""","Tokyo, Japan",RLM10
"""been""","Hanalei, HI, USA",RLM10
"""been""","Paris, France",RLM10
"""been""","Wailea, HI, USA",RLM10
"""been""","Marina del Rey, CA, USA",RLM10
"""been""","Dunedin, New Zealand",RLM10
"""been""","Arusha, Tanzania",RLM10
"""been""","Nanning, China",RLM10
"""been""","Nashville, TN, USA",RLM10
"""been""","Naples, FL, USA",RLM10
"""been""","Fort Lauderdale, FL, USA",RLM10
"""been""","Loreto, Mexico",RLM10
"""been""","Ho Chi Minh City, Vietnam",RLM10
"""been""","Kuala Lumpur, Malaysia",RLM10
"""been""","Hong Kong, China",RLM10
"""been""","Suva, Fiji",RLM10
"""been""","Kampala, Uganda",RLM10
"""been""","Beijing, China",RLM10
"""been""","Brussels, Belgium",RLM10
"""been""","Barcelona, Spain",RLM10
"""been""","Lisbon, Portugal",RLM10
"""been""","Lake Manyara National Park, Tanzania",RLM10
"""been""","New York City, NY, USA",RLM10
"""been""","Hammamet, Tunisia",RLM10
"""been""","Austin, TX, USA",RLM10
"""been""","Kissimmee, FL, USA",RLM10
"""been""","Auckland Central, New Zealand",RLM10
"""been""","Miami Beach, FL, USA",RLM10
"""been""","Orlando, FL, USA",RLM10
"""been""","Miami, FL, USA",RLM10
"""been""","Yangshuo County, China",RLM10
"""been""","Los Angeles, CA, USA",RLM10
"""been""","Ko Lanta, Thailand",RLM10
"""been""","Palm Springs, CA, USA",RLM10
"""been""","Port Douglas, Australia",RLM10
"""been""","Ngorongoro Conservation Area, Tanzania",RLM10
"""been""","Siem Reap, Cambodia",RLM10
"""been""","San Antonio, TX, USA",RLM10
"""been""","Entebbe, Uganda",RLM10
"""been""","Santa Fe, NM, USA",RLM10
"""been""","Dubrovnik, Croatia",RLM10
"""been""","Lahaina, HI, USA",RLM10
"""been""","San Francisco, CA, USA",RLM10
"""been""","Seattle, WA, USA",RLM10
"""been""","Norton St Philip, UK",RLM10
"""been""","Singapore, Singapore",RLM10
"""been""","Kailua-Kona, HI, USA",RLM10
"""been""","San Diego, CA, USA",RLM10
"""been""","Kihei, HI, USA",RLM10
"""been""","Bath, UK",RLM10
"""been""","Frome, UK",RLM10
"""been""","Bruges, Belgium",RLM10
"""been""","Amsterdam, The Netherlands",RLM10
"""been""","Sydney, Australia",RLM10
"""been""","Pozieres, France",RLM10
"""been""","Dublin, Ireland",RLM10
"""been""","Roatan, Honduras",RLM10
"""been""","Albert, France",RLM10
"""been""","Edinburgh, UK",RLM10
"""been""","Princeville, HI, USA",RLM10
"""been""","Murchison Falls National Park, Uganda",RLM10
"""been""","Las Vegas, NV, USA",RLM10
"""been""","Tarangire National Park, Tanzania",RLM10
"""been""","Brisbane, Australia",RLM10
"""been""","Melbourne, Australia",RLM10
"""been""","New Orleans, LA, USA",RLM10
"""been""","Florence, Italy",RLM10
"""been""","Boston, MA, USA",RLM10
"""been""","Mangere, New Zealand",RLM10
