tag,place,user
"""been""","Athens, Greece",RichardMeg
"""been""","Ballina, Australia",RichardMeg
"""been""","Fogang County, China",RichardMeg
"""been""","Broken Hill, Australia",RichardMeg
"""been""","Kyoto, Japan",RichardMeg
"""been""","Myrtleford, Australia",RichardMeg
"""been""","Killarney, Ireland",RichardMeg
"""been""","London, UK",RichardMeg
"""been""","Mildura, Australia",RichardMeg
"""been""","Kilkenny, Ireland",RichardMeg
"""been""","Windsor, UK",RichardMeg
"""been""","Weston, Australia",RichardMeg
"""been""","New York City, NY, USA",RichardMeg
"""been""","Anaheim, CA, USA",RichardMeg
"""been""","Narrandera, Australia",RichardMeg
"""been""","Hiroshima, Japan",RichardMeg
"""been""","Bretton Woods, NH, USA",RichardMeg
"""been""","Dunster, UK",RichardMeg
"""been""","Gerringong, Australia",RichardMeg
"""been""","Nafplio, Greece",RichardMeg
"""been""","Bath, UK",RichardMeg
"""been""","Nimbin, Australia",RichardMeg
"""been""","Sherborne, UK",RichardMeg
"""been""","Venice, Italy",RichardMeg
"""been""","Las Vegas, NV, USA",RichardMeg
"""been""","Rothenburg, Germany",RichardMeg
"""been""","Orange, Australia",RichardMeg
"""been""","Sunbury, Australia",RichardMeg
"""been""","Varenna, Italy",RichardMeg
"""been""","Young, Australia",RichardMeg
"""been""","Taftsville, VT, USA",RichardMeg
"""been""","Dubbo, Australia",RichardMeg
"""been""","San Francisco, CA, USA",RichardMeg
"""been""","Harden-Murrumburrah, Australia",RichardMeg
"""been""","Washington DC, DC, USA",RichardMeg
"""been""","Buronga, Australia",RichardMeg
"""been""","Cronulla, Australia",RichardMeg
"""been""","Springdale, UT, USA",RichardMeg
"""been""","Rome, Italy",RichardMeg
"""been""","Hay, Australia",RichardMeg
"""been""","Menindee, Australia",RichardMeg
"""been""","Crows Nest, Australia",RichardMeg
"""been""","Como, Australia",RichardMeg
"""been""","Heidelberg, Germany",RichardMeg
"""been""","Cobar, Australia",RichardMeg
"""been""","Jackson, NH, USA",RichardMeg
"""been""","Narellan, Australia",RichardMeg
"""been""","Cashel, Ireland",RichardMeg
"""been""","Shinjuku, Japan",RichardMeg
"""been""","Canberra, Australia",RichardMeg
"""been""","Bar Harbor, ME, USA",RichardMeg
"""been""","Bright, Australia",RichardMeg
"""been""","Tusayan, AZ, USA",RichardMeg
"""been""","Coffs Harbour, Australia",RichardMeg
"""been""","Santa Monica, CA, USA",RichardMeg
"""been""","Santa Barbara, CA, USA",RichardMeg
"""been""","Boston, MA, USA",RichardMeg
"""been""","Stowe, VT, USA",RichardMeg
"""been""","Silverton, Australia",RichardMeg
"""been""","Sans Souci, Australia",RichardMeg
"""been""","Mystic, CT, USA",RichardMeg
"""been""","Hatsukaichi, Japan",RichardMeg
"""been""","Marblehead, MA, USA",RichardMeg
"""been""","Kiama, Australia",RichardMeg
"""been""","St Ives, UK",RichardMeg
"""been""","Grassington, UK",RichardMeg
"""been""","Guangzhou, China",RichardMeg
"""been""","Oatley, Australia",RichardMeg
"""been""","Polperro, UK",RichardMeg
"""been""","Grasmere, UK",RichardMeg
"""been""","Lausanne, Switzerland",RichardMeg
"""been""","Lucca, Italy",RichardMeg
"""been""","New Ross, Ireland",RichardMeg
"""been""","Ludlow, UK",RichardMeg
"""been""","Quechee, VT, USA",RichardMeg
"""been""","Newport, RI, USA",RichardMeg
"""been""","Edinburgh, UK",RichardMeg
"""been""","Carmel, CA, USA",RichardMeg
"""been""","Hermosa Beach, CA, USA",RichardMeg
"""been""","Sedona, AZ, USA",RichardMeg
"""been""","The Entrance, Australia",RichardMeg
"""been""","Sydney, Australia",RichardMeg
"""been""","Woodstock, VT, USA",RichardMeg
"""been""","Vincentia, Australia",RichardMeg
"""been""","Lennox Head, Australia",RichardMeg
"""been""","Bourton-on-the-Water, UK",RichardMeg
"""been""","Blackheath, Australia",RichardMeg
"""been""","Lake Placid, NY, USA",RichardMeg
"""been""","Lucerne, Switzerland",RichardMeg
"""been""","Norah Head, Australia",RichardMeg
