tag,place,user
"""been""","Saint Ignace, MI, USA",Riley73
"""been""","Daytona Beach, FL, USA",Riley73
"""been""","Fort Myers, FL, USA",Riley73
"""been""","St. Augustine, FL, USA",Riley73
"""been""","Marina del Rey, CA, USA",Riley73
"""been""","Burbank, CA, USA",Riley73
"""been""","Boston, MA, USA",Riley73
"""been""","Cape Coral, FL, USA",Riley73
"""been""","Jacksonville, FL, USA",Riley73
"""been""","Charleston, SC, USA",Riley73
"""been""","Minneapolis, MN, USA",Riley73
"""been""","Brighton, MI, USA",Riley73
"""been""","Middleton, WI, USA",Riley73
"""been""","Plymouth, MN, USA",Riley73
"""been""","Tamarindo, Costa Rica",Riley73
"""been""","Monteverde Cloud Forest Reserve, Costa Rica",Riley73
"""been""","Pasadena, CA, USA",Riley73
"""been""","Milwaukee, WI, USA",Riley73
"""been""","Seoul, South Korea",Riley73
"""been""","Tavernier, FL, USA",Riley73
"""been""","Flagler Beach, FL, USA",Riley73
"""been""","Busan, South Korea",Riley73
"""been""","Columbus, OH, USA",Riley73
"""been""","Cocoa Beach, FL, USA",Riley73
"""been""","Los Angeles, CA, USA",Riley73
"""been""","Gyeongju, South Korea",Riley73
"""been""","Washington DC, DC, USA",Riley73
"""been""","Madison, WI, USA",Riley73
"""been""","Bunnell, FL, USA",Riley73
"""been""","Urbana, IL, USA",Riley73
"""been""","Philadelphia, PA, USA",Riley73
"""been""","Mackinac Island, MI, USA",Riley73
