tag,place,user
"""been""","Castro Valley, CA, USA",RobinA911
"""been""","Burien, WA, USA",RobinA911
"""been""","Edmonds, WA, USA",RobinA911
"""been""","San Pedro, Belize",RobinA911
"""been""","Heraklion, Greece",RobinA911
"""been""","Delos, Greece",RobinA911
"""been""","Barcelona, Spain",RobinA911
"""been""","Issaquah, WA, USA",RobinA911
"""been""","Kapaa, HI, USA",RobinA911
"""been""","Los Angeles, CA, USA",RobinA911
"""been""","Miami, FL, USA",RobinA911
"""been""","Seattle, WA, USA",RobinA911
"""been""","Shoreline, WA, USA",RobinA911
"""been""","Beverly Hills, CA, USA",RobinA911
"""been""","Wilmington, VT, USA",RobinA911
"""been""","Istanbul, Turkey",RobinA911
"""been""","Rhodes, Greece",RobinA911
"""been""","Chilliwack, British Columbia, Canada",RobinA911
"""been""","Marmaris, Turkey",RobinA911
"""been"",""want""","Las Vegas, NV, USA",RobinA911
"""been""","Athens, Greece",RobinA911
"""been""","Lindos, Greece",RobinA911
"""been""","Salem, OR, USA",RobinA911
"""been""","Antalya, Turkey",RobinA911
"""been""","West Hollywood, CA, USA",RobinA911
"""been""","Fort Lauderdale, FL, USA",RobinA911
"""been""","Lynnwood, WA, USA",RobinA911
"""been""","Key West, FL, USA",RobinA911
