tag,place,user
"""been""","Carlstadt, NJ, USA",RonVermont
"""want""","St. George, UT, USA",RonVermont
"""been""","Hill City, SD, USA",RonVermont
"""been""","Tampa, FL, USA",RonVermont
"""been""","Orlando, FL, USA",RonVermont
"""been""","Wall, SD, USA",RonVermont
"""been""","Monument Valley, UT, USA",RonVermont
"""been""","Lady Lake, FL, USA",RonVermont
"""been""","Colonie, NY, USA",RonVermont
"""been""","Escalante, UT, USA",RonVermont
"""been""","Plattsburgh, NY, USA",RonVermont
"""been""","Oakhurst, CA, USA",RonVermont
"""been"",""want""","Rapid City, SD, USA",RonVermont
"""been""","Furnace Creek, CA, USA",RonVermont
"""been""","Long Beach, CA, USA",RonVermont
"""been""","Boulder City, NV, USA",RonVermont
"""been""","Bryce Canyon National Park, UT, USA",RonVermont
"""been""","Cody, WY, USA",RonVermont
"""been""","Leesburg, FL, USA",RonVermont
"""been""","Bryce Canyon City, UT, USA",RonVermont
"""been""","Moab, UT, USA",RonVermont
"""been""","South Burlington, VT, USA",RonVermont
"""been""","Paradise Valley, NV, USA",RonVermont
"""been""","Jacksonville, FL, USA",RonVermont
"""been""","Zion National Park, UT, USA",RonVermont
"""been""","Green River, UT, USA",RonVermont
"""been""","Badlands National Park, SD, USA",RonVermont
"""been""","Keystone, SD, USA",RonVermont
"""been""","Enola, PA, USA",RonVermont
"""been""","West Yellowstone, MT, USA",RonVermont
"""been""","Albany, NY, USA",RonVermont
"""been""","Escondido, CA, USA",RonVermont
"""been""","Sanford, FL, USA",RonVermont
"""been""","Niagara Falls, NY, USA",RonVermont
"""been""","Clifton Park, NY, USA",RonVermont
"""been""","Victor, NY, USA",RonVermont
"""been""","Buffalo, WY, USA",RonVermont
"""been""","San Diego, CA, USA",RonVermont
"""been""","Mammoth Lakes, CA, USA",RonVermont
"""been""","Grand Canyon National Park, AZ, USA",RonVermont
"""been""","Page, AZ, USA",RonVermont
"""been""","Yellowstone National Park, WY, USA",RonVermont
"""been""","Henderson, NV, USA",RonVermont
"""been""","East Rutherford, NJ, USA",RonVermont
"""been""","Strasburg, PA, USA",RonVermont
"""been""","Ronks, PA, USA",RonVermont
"""been""","Death Valley National Park, CA, USA",RonVermont
"""been""","Mooresville, NC, USA",RonVermont
"""been""","Hasbrouck Heights, NJ, USA",RonVermont
"""been""","Jean, NV, USA",RonVermont
"""been""","Niagara Falls, Ontario, Canada",RonVermont
"""been""","Las Vegas, NV, USA",RonVermont
"""been""","Blue Diamond, NV, USA",RonVermont
"""been""","Custer, SD, USA",RonVermont
"""been""","Sharon, MA, USA",RonVermont
"""been""","Saint Albans, VT, USA",RonVermont
