tag,place,user
"""been""","Florence, Italy",SR260
"""been""","Stockholm, Sweden",SR260
"""been""","Limerick, Ireland",SR260
"""been""","Chandler, AZ, USA",SR260
"""been""","Charleston, SC, USA",SR260
"""been""","Frankfurt, Germany",SR260
"""been""","Phoenix, AZ, USA",SR260
"""been""","Tempe, AZ, USA",SR260
"""been""","Scottsdale, AZ, USA",SR260
"""been""","Chicago, IL, USA",SR260
"""been""","Pinetop-Lakeside, AZ, USA",SR260
"""been""","Los Angeles, CA, USA",SR260
"""been""","Payson, AZ, USA",SR260
"""been""","London, UK",SR260
"""been""","Munich, Germany",SR260
"""been""","Augusta, GA, USA",SR260
"""been""","Manchester, UK",SR260
"""been""","Kyoto, Japan",SR260
"""been""","Marina di Massa, Italy",SR260
"""been""","Berlin, Germany",SR260
"""been""","Tokyo, Japan",SR260
"""been""","Guadalajara, Mexico",SR260
"""been""","Sydney, Australia",SR260
"""been""","Toronto, Ontario, Canada",SR260
"""been""","Melbourne, Australia",SR260
"""been""","Sierra Vista, AZ, USA",SR260
"""been""","San Francisco, CA, USA",SR260
"""been""","Atlanta, GA, USA",SR260
"""been""","Dublin, Ireland",SR260
"""been""","Tucson, AZ, USA",SR260
"""been""","Philadelphia, PA, USA",SR260
