tag,place,user
"""been""","Taupo, New Zealand",Sabretoothed
"""been""","Homer, AK, USA",Sabretoothed
"""been""","Luderitz, Namibia",Sabretoothed
"""been""","Antananarivo, Madagascar",Sabretoothed
"""been""","Hwange National Park, Zimbabwe",Sabretoothed
"""been""","National Park Village, New Zealand",Sabretoothed
"""been""","Houston, TX, USA",Sabretoothed
"""been""","Toliara, Madagascar",Sabretoothed
"""been""","Flores, Guatemala",Sabretoothed
"""been""","Quetzaltenango, Guatemala",Sabretoothed
"""been""","Puerto Guadal, Chile",Sabretoothed
"""been""","Victoria Falls, Zimbabwe",Sabretoothed
"""been""","Antigua, Guatemala",Sabretoothed
"""been""","Fira, Greece",Sabretoothed
"""been""","Addis Ababa, Ethiopia",Sabretoothed
"""been""","Los Angeles, CA, USA",Sabretoothed
"""been""","Swakopmund, Namibia",Sabretoothed
"""been""","Anakao, Madagascar",Sabretoothed
"""been""","Panajachel, Guatemala",Sabretoothed
"""been""","Namib-Naukluft Park, Namibia",Sabretoothed
"""been""","Windhoek, Namibia",Sabretoothed
