tag,place,user
"""been""","Punta Cana, Dominican Republic",Sask_Rider_Fan_001
"""been""","Red Deer, Alberta, Canada",Sask_Rider_Fan_001
"""been""","Atlanta, GA, USA",Sask_Rider_Fan_001
"""been""","Las Vegas, NV, USA",Sask_Rider_Fan_001
"""been""","Huatulco, Mexico",Sask_Rider_Fan_001
"""been""","Panama City, Panama",Sask_Rider_Fan_001
"""been""","Puerto Morelos, Mexico",Sask_Rider_Fan_001
"""been""","Cancun, Mexico",Sask_Rider_Fan_001
"""been""","Garden Grove, CA, USA",Sask_Rider_Fan_001
"""been""","Tisdale, Saskatchewan, Canada",Sask_Rider_Fan_001
"""been""","Saskatoon, Saskatchewan, Canada",Sask_Rider_Fan_001
"""been""","Los Angeles, CA, USA",Sask_Rider_Fan_001
"""been""","Duluth, GA, USA",Sask_Rider_Fan_001
"""been""","Ixtapa, Mexico",Sask_Rider_Fan_001
"""been""","Rochester, NY, USA",Sask_Rider_Fan_001
"""been""","Niagara Falls, Ontario, Canada",Sask_Rider_Fan_001
"""been""","Puerto Vallarta, Mexico",Sask_Rider_Fan_001
"""been""","Ocho Rios, Jamaica",Sask_Rider_Fan_001
"""been""","Anaheim, CA, USA",Sask_Rider_Fan_001
"""been""","Calgary, Alberta, Canada",Sask_Rider_Fan_001
"""been""","Playa del Carmen, Mexico",Sask_Rider_Fan_001
"""been""","Edmonton, Alberta, Canada",Sask_Rider_Fan_001
"""been""","Santa Clarita, CA, USA",Sask_Rider_Fan_001
"""been""","Paradise Island, Bahamas",Sask_Rider_Fan_001
"""been""","Nassau, Bahamas",Sask_Rider_Fan_001
"""been""","Runaway Bay, Jamaica",Sask_Rider_Fan_001
