tag,place,user
"""been""","Varenna, Italy",ScotC22
"""been""","Cambria, CA, USA",ScotC22
"""been""","Obidos, Portugal",ScotC22
"""been""","Cuernavaca, Mexico",ScotC22
"""been""","Ravello, Italy",ScotC22
"""been""","Long Beach, CA, USA",ScotC22
"""been""","Rancho Mirage, CA, USA",ScotC22
"""been""","Porto, Portugal",ScotC22
"""been""","Anacapri, Italy",ScotC22
"""been""","Sintra, Portugal",ScotC22
"""been""","Honfleur, France",ScotC22
"""been""","Capri, Italy",ScotC22
"""been""","Temecula, CA, USA",ScotC22
"""been""","Mexico City, Mexico",ScotC22
"""been""","Sorrento, Italy",ScotC22
"""been""","Seal Beach, CA, USA",ScotC22
"""been""","San Francisco, CA, USA",ScotC22
"""been""","Pompeii, Italy",ScotC22
"""been""","Paris, France",ScotC22
"""been""","London, UK",ScotC22
"""been""","Monterey, CA, USA",ScotC22
"""been""","Milan, Italy",ScotC22
"""been""","Munich, Germany",ScotC22
"""been""","Agoura Hills, CA, USA",ScotC22
"""been""","Los Angeles, CA, USA",ScotC22
"""been""","Solvang, CA, USA",ScotC22
"""been""","Positano, Italy",ScotC22
"""been""","Orlando, FL, USA",ScotC22
"""been""","Mont-Saint-Michel, France",ScotC22
"""been""","Issy-les-Moulineaux, France",ScotC22
"""been""","St. Anton am Arlberg, Austria",ScotC22
"""been""","Rome, Italy",ScotC22
"""been""","Lisbon, Portugal",ScotC22
"""been""","New York City, NY, USA",ScotC22
"""want""","Barcelona, Spain",ScotC22
"""been""","Buellton, CA, USA",ScotC22
"""been""","Los Olivos, CA, USA",ScotC22
"""been""","San Jose del Cabo, Mexico",ScotC22
"""been""","Las Vegas, NV, USA",ScotC22
"""been""","Nazelles-Negron, France",ScotC22
"""been""","Amboise, France",ScotC22
"""been""","Hong Kong, China",ScotC22
"""been""","Florence, Italy",ScotC22
"""want""","Madrid, Spain",ScotC22
"""been""","Beijing, China",ScotC22
