tag,place,user
"""been""","Manchester, UK",Scotrocker
"""been""","Palma de Mallorca, Spain",Scotrocker
"""been""","Santa Monica, CA, USA",Scotrocker
"""been""","Kasane, Botswana",Scotrocker
"""been""","Rundu, Namibia",Scotrocker
"""been""","Christchurch, New Zealand",Scotrocker
"""been""","Chobe National Park, Botswana",Scotrocker
"""been""","Alcudia, Spain",Scotrocker
"""been""","Biggera Waters, Australia",Scotrocker
"""been""","Mermaid Beach, Australia",Scotrocker
"""been""","Palm Beach, Australia",Scotrocker
"""been""","Central Kalahari Game Reserve, Botswana",Scotrocker
"""been""","Victoria Falls, Zambia",Scotrocker
"""been""","Burleigh Heads, Australia",Scotrocker
"""been""","Caloundra, Australia",Scotrocker
"""been""","Bulawayo, Zimbabwe",Scotrocker
"""been"",""fave""","Airlie Beach, Australia",Scotrocker
"""been""","Wicklow, Ireland",Scotrocker
"""been""","Edinburgh, UK",Scotrocker
"""been""","Namib-Naukluft Park, Namibia",Scotrocker
"""been""","Las Vegas, NV, USA",Scotrocker
"""been""","Kilsyth, UK",Scotrocker
"""been""","Gympie, Australia",Scotrocker
"""been""","Sesriem, Namibia",Scotrocker
"""been"",""fave""","Queenstown, New Zealand",Scotrocker
"""been""","Warrnambool, Australia",Scotrocker
"""been""","Birmingham, UK",Scotrocker
"""been""","Lanzarote, Spain",Scotrocker
"""been""","Farukolhufushi Island, Asia",Scotrocker
"""been""","Auckland Central, New Zealand",Scotrocker
"""been""","Geelong, Australia",Scotrocker
"""been""","Bangkok, Thailand",Scotrocker
"""been""","Townsville, Australia",Scotrocker
"""been""","Surfers Paradise, Australia",Scotrocker
"""been""","Rockhampton, Australia",Scotrocker
"""been""","Palm Beach, Australia",Scotrocker
"""been""","Port Douglas, Australia",Scotrocker
"""been""","Gweru, Zimbabwe",Scotrocker
"""been""","Uluru-Kata Tjuta National Park, Australia",Scotrocker
"""been""","Newtown Mount Kennedy, Ireland",Scotrocker
"""been""","Sale, Australia",Scotrocker
"""been""","Beverly Hills, CA, USA",Scotrocker
"""been""","Glasgow, UK",Scotrocker
"""been""","Singapore, Singapore",Scotrocker
"""been"",""fave""","Cape Town Central, South Africa",Scotrocker
"""been""","Troon, UK",Scotrocker
"""been""","Newcastle upon Tyne, UK",Scotrocker
"""been""","Ashmore, Australia",Scotrocker
"""been""","Main Beach, Australia",Scotrocker
"""been""","Port d'Alcudia, Spain",Scotrocker
"""been""","Cala d'Or, Spain",Scotrocker
"""been""","Ca'n Picafort, Spain",Scotrocker
"""been""","Apollo Bay, Australia",Scotrocker
"""been""","Swakopmund, Namibia",Scotrocker
"""been""","Abu Dhabi, United Arab Emirates",Scotrocker
"""been""","Eden, Australia",Scotrocker
"""been""","Paradise Island, Bahamas",Scotrocker
"""been"",""fave""","Nassau, Bahamas",Scotrocker
"""been""","Puerto Rico, Spain",Scotrocker
"""been""","Hervey Bay, Australia",Scotrocker
"""been""","Blue Bay, Africa",Scotrocker
"""been""","Krabi Town, Thailand",Scotrocker
"""been""","Palmanova, Spain",Scotrocker
"""been""","Magaluf, Spain",Scotrocker
"""been""","Cattolica, Italy",Scotrocker
"""been""","Tweed Heads, Australia",Scotrocker
"""been""","Palm Springs, CA, USA",Scotrocker
"""been""","Lyndoch, Australia",Scotrocker
"""been""","Rimini, Italy",Scotrocker
"""been""","Adelaide, Australia",Scotrocker
"""been""","Freeport, Bahamas",Scotrocker
"""been"",""fave""","Paris, France",Scotrocker
"""been""","Lyon, France",Scotrocker
"""been""","Auckland, New Zealand",Scotrocker
"""been""","Blackpool, UK",Scotrocker
"""been""","West Hollywood, CA, USA",Scotrocker
"""been""","Batemans Bay, Australia",Scotrocker
"""been""","Surat Thani, Thailand",Scotrocker
"""been"",""fave""","Ko Nang Yuan, Thailand",Scotrocker
"""been""","Los Cristianos, Spain",Scotrocker
"""been""","Mission Beach, Australia",Scotrocker
"""been""","Noosa, Australia",Scotrocker
"""been""","Playa de las Americas, Spain",Scotrocker
"""been""","Maun, Botswana",Scotrocker
"""been""","Playa del Carmen, Mexico",Scotrocker
"""been""","Windhoek, Namibia",Scotrocker
"""been""","Kuala Lumpur, Malaysia",Scotrocker
"""been""","Dublin, Ireland",Scotrocker
"""been""","Pitlochry, UK",Scotrocker
"""been""","Montpellier, France",Scotrocker
"""been""","Rome, Italy",Scotrocker
"""been""","Broadbeach, Australia",Scotrocker
"""been""","New York City, NY, USA",Scotrocker
"""been""","Tete, Mozambique",Scotrocker
"""been""","Malibu, CA, USA",Scotrocker
"""been""","Stobo, UK",Scotrocker
"""been""","Paphos, Cyprus",Scotrocker
"""been""","Jesolo, Italy",Scotrocker
"""been""","Southport, Australia",Scotrocker
"""been""","Aberfeldy, UK",Scotrocker
"""been"",""fave""","London, UK",Scotrocker
"""been""","Sossusvlei, Namibia",Scotrocker
"""been""","Bega, Australia",Scotrocker
"""been"",""fave""","Cancun, Mexico",Scotrocker
"""been""","Aberfoyle, UK",Scotrocker
"""been""","Derby, UK",Scotrocker
"""been""","Grand Canyon National Park, AZ, USA",Scotrocker
"""been""","Brodick, UK",Scotrocker
"""been""","Mackay, Australia",Scotrocker
"""been""","Byron Bay, Australia",Scotrocker
"""been""","Ibiza Town, Spain",Scotrocker
"""been""","Nerang, Australia",Scotrocker
"""been""","Kings Canyon, Australia",Scotrocker
"""been""","Alice Springs, Australia",Scotrocker
"""been""","Peebles, UK",Scotrocker
"""been""","Sydney, Australia",Scotrocker
"""been""","Magnetic Island, Australia",Scotrocker
"""been""","Cairns, Australia",Scotrocker
"""been""","Launceston, Australia",Scotrocker
"""been""","Brisbane, Australia",Scotrocker
"""been""","Nadi, Fiji",Scotrocker
