tag,place,user
"""been""","Kahului, HI, USA",Scruffybiker
"""been""","Wheeling, WV, USA",Scruffybiker
"""been""","Virginia Beach, VA, USA",Scruffybiker
"""been""","Punta Gorda, FL, USA",Scruffybiker
"""been""","Lahaina, HI, USA",Scruffybiker
"""been""","Wailuku, HI, USA",Scruffybiker
"""been""","Bedford, PA, USA",Scruffybiker
"""been""","Winchester, VA, USA",Scruffybiker
"""been""","Wellsboro, PA, USA",Scruffybiker
"""been""","Goodyear, AZ, USA",Scruffybiker
"""been""","Williamsburg, VA, USA",Scruffybiker
"""been""","Glendale, AZ, USA",Scruffybiker
"""been""","Sedona, AZ, USA",Scruffybiker
"""been""","Galeton, PA, USA",Scruffybiker
"""been""","Statesville, NC, USA",Scruffybiker
"""been""","Erie, PA, USA",Scruffybiker
"""been""","Boulder City, NV, USA",Scruffybiker
"""been""","Concord, NC, USA",Scruffybiker
"""been""","Glen Burnie, MD, USA",Scruffybiker
"""been""","Avondale, AZ, USA",Scruffybiker
"""been""","Fort Myers, FL, USA",Scruffybiker
"""been""","Orlando, FL, USA",Scruffybiker
"""been""","Oil City, PA, USA",Scruffybiker
"""been""","Sharon, PA, USA",Scruffybiker
"""been""","Cass, WV, USA",Scruffybiker
"""been"",""fave""","Maggie Valley, NC, USA",Scruffybiker
"""been""","Mobile, AL, USA",Scruffybiker
"""been""","Yorktown, VA, USA",Scruffybiker
"""been""","Black Canyon City, AZ, USA",Scruffybiker
"""been""","Baltimore, MD, USA",Scruffybiker
"""been""","Youngstown, OH, USA",Scruffybiker
"""been""","Foxburg, PA, USA",Scruffybiker
"""been""","Weirton, WV, USA",Scruffybiker
"""been""","Englewood, FL, USA",Scruffybiker
"""been""","Middlefield, OH, USA",Scruffybiker
"""been""","Franklin, PA, USA",Scruffybiker
"""been""","Arlington, VA, USA",Scruffybiker
"""been""","Triadelphia, WV, USA",Scruffybiker
"""been""","Newport News, VA, USA",Scruffybiker
"""been""","Oceanside, CA, USA",Scruffybiker
"""been""","Grand Canyon National Park, AZ, USA",Scruffybiker
"""been""","Charlotte, NC, USA",Scruffybiker
"""been""","Cherokee, NC, USA",Scruffybiker
"""been""","Matewan, WV, USA",Scruffybiker
"""been""","Daytona Beach, FL, USA",Scruffybiker
"""been""","Fredericksburg, VA, USA",Scruffybiker
"""been""","Fountain Hills, AZ, USA",Scruffybiker
"""been""","Jefferson, OH, USA",Scruffybiker
"""been""","Spartanburg, SC, USA",Scruffybiker
"""been""","State College, PA, USA",Scruffybiker
"""been""","Cave Creek, AZ, USA",Scruffybiker
"""been""","Port Charlotte, FL, USA",Scruffybiker
"""been""","Rogers, OH, USA",Scruffybiker
"""been""","Jennerstown, PA, USA",Scruffybiker
"""been""","Aurora, OH, USA",Scruffybiker
"""been""","Washington DC, DC, USA",Scruffybiker
