tag,place,user
"""been""","Tijuana, Mexico",Sightsee804833
"""been""","Puerto Nuevo, Mexico",Sightsee804833
"""been""","Rosarito, Mexico",Sightsee804833
"""been""","Bath, UK",Sightsee804833
"""been""","Dunfermline, UK",Sightsee804833
"""been""","Paris, France",Sightsee804833
"""been""","Anaheim, CA, USA",Sightsee804833
"""been""","Glasgow, UK",Sightsee804833
"""been""","Cannes, France",Sightsee804833
"""been""","Laguna Beach, CA, USA",Sightsee804833
"""been""","Manchester, UK",Sightsee804833
"""been""","Munich, Germany",Sightsee804833
"""been""","London, UK",Sightsee804833
"""been""","Assisi, Italy",Sightsee804833
"""been""","Avalon, CA, USA",Sightsee804833
"""been""","Siena, Italy",Sightsee804833
"""been""","Ensenada, Mexico",Sightsee804833
"""been""","Brno, Czech Republic",Sightsee804833
"""been""","Arezzo, Italy",Sightsee804833
"""been""","Carmel, CA, USA",Sightsee804833
"""been""","Carlsbad, CA, USA",Sightsee804833
"""been""","Coronado, CA, USA",Sightsee804833
"""been""","Aarhus, Denmark",Sightsee804833
"""been""","Los Angeles, CA, USA",Sightsee804833
"""been""","Stockholm, Sweden",Sightsee804833
"""been""","Nice, France",Sightsee804833
"""been""","Chicago, IL, USA",Sightsee804833
"""been""","Orlando, FL, USA",Sightsee804833
"""been""","Pasadena, CA, USA",Sightsee804833
"""been""","Monterey, CA, USA",Sightsee804833
"""been""","Helsinki, Finland",Sightsee804833
"""been""","Hong Kong, China",Sightsee804833
"""been""","Honolulu, HI, USA",Sightsee804833
"""been""","Monterrey, Mexico",Sightsee804833
"""been""","Las Vegas, NV, USA",Sightsee804833
"""been""","Boston, MA, USA",Sightsee804833
"""been""","Pecs, Hungary",Sightsee804833
"""been""","North Queensferry, UK",Sightsee804833
"""been""","Hayes, UK",Sightsee804833
"""been""","Hounslow, UK",Sightsee804833
"""been""","Belfast, UK",Sightsee804833
"""been""","Santa Monica, CA, USA",Sightsee804833
"""been""","Clearwater, FL, USA",Sightsee804833
"""been""","Shanghai, China",Sightsee804833
"""been""","Key West, FL, USA",Sightsee804833
"""been""","Cardiff-by-the-Sea, CA, USA",Sightsee804833
"""been""","Fort Lauderdale, FL, USA",Sightsee804833
"""been""","Phoenix, AZ, USA",Sightsee804833
"""been""","Copenhagen, Denmark",Sightsee804833
"""been""","Corona, CA, USA",Sightsee804833
"""been""","Naples, FL, USA",Sightsee804833
"""been""","Inglewood, CA, USA",Sightsee804833
"""been""","Napa, CA, USA",Sightsee804833
"""been""","Washington DC, DC, USA",Sightsee804833
"""been""","Niagara Falls, NY, USA",Sightsee804833
"""been""","La Rochelle, France",Sightsee804833
"""been""","Oahu, HI, USA",Sightsee804833
"""been""","Palm Springs, CA, USA",Sightsee804833
"""been""","London, Ontario, Canada",Sightsee804833
"""been""","Cotignac, France",Sightsee804833
"""been""","Shenzhen, China",Sightsee804833
"""been""","San Diego, CA, USA",Sightsee804833
"""been""","San Francisco, CA, USA",Sightsee804833
"""been""","Vienna, Austria",Sightsee804833
"""been""","Lahaina, HI, USA",Sightsee804833
"""been""","Abbeville, France",Sightsee804833
"""been""","Mexico City, Mexico",Sightsee804833
"""been""","Oxford, UK",Sightsee804833
"""been""","Florence, Italy",Sightsee804833
"""been""","Salton City, CA, USA",Sightsee804833
"""been""","Kiel, Germany",Sightsee804833
"""been""","Fiesole, Italy",Sightsee804833
"""been""","Temecula, CA, USA",Sightsee804833
"""been""","Santa Barbara, CA, USA",Sightsee804833
"""want""","Providenciales, Turks and Caicos",Sightsee804833
"""been""","Aberdeen, UK",Sightsee804833
"""been""","Edinburgh, UK",Sightsee804833
"""been""","Aschheim, Germany",Sightsee804833
"""been""","Hibbing, MN, USA",Sightsee804833
"""been""","Toronto, Ontario, Canada",Sightsee804833
"""been""","Dublin, Ireland",Sightsee804833
"""been""","Apodaca, Mexico",Sightsee804833
"""been""","New York City, NY, USA",Sightsee804833
"""been""","Budapest, Hungary",Sightsee804833
