tag,place,user
"""been""","Cancun, Mexico",Start_Here_Travel
"""been""","Las Vegas, NV, USA",Start_Here_Travel
"""been""","Roslin, UK",Start_Here_Travel
"""been""","Aberdeen, UK",Start_Here_Travel
"""been""","Kissimmee, FL, USA",Start_Here_Travel
"""been""","Ocho Rios, Jamaica",Start_Here_Travel
"""been""","Negril, Jamaica",Start_Here_Travel
"""been""","New York City, NY, USA",Start_Here_Travel
"""been""","Gatlinburg, TN, USA",Start_Here_Travel
"""been""","Runaway Bay, Jamaica",Start_Here_Travel
"""been""","Staffin, UK",Start_Here_Travel
"""been""","Los Angeles, CA, USA",Start_Here_Travel
"""been""","Orlando, FL, USA",Start_Here_Travel
"""been""","Miami, FL, USA",Start_Here_Travel
"""been""","San Antonio, TX, USA",Start_Here_Travel
"""want""","Puerto Aventuras, Mexico",Start_Here_Travel
"""been""","Miami Beach, FL, USA",Start_Here_Travel
"""been""","Chicago, IL, USA",Start_Here_Travel
"""want""","Rio de Janeiro, Brazil",Start_Here_Travel
"""been""","San Juan, Puerto Rico",Start_Here_Travel
"""been""","Santo Domingo, Dominican Republic",Start_Here_Travel
"""been""","Bayahibe, Dominican Republic",Start_Here_Travel
"""been""","Tampa, FL, USA",Start_Here_Travel
"""want""","Philadelphia, PA, USA",Start_Here_Travel
"""been""","Hilton Head, SC, USA",Start_Here_Travel
"""been""","Seattle, WA, USA",Start_Here_Travel
"""been""","Washington DC, DC, USA",Start_Here_Travel
"""want""","Puerto Vallarta, Mexico",Start_Here_Travel
"""want""","Mazatlan, Mexico",Start_Here_Travel
"""been""","Montego Bay, Jamaica",Start_Here_Travel
"""been""","Culbokie, UK",Start_Here_Travel
"""been""","Strathpeffer, UK",Start_Here_Travel
"""been""","Aberdour, UK",Start_Here_Travel
"""been""","Zachary, LA, USA",Start_Here_Travel
"""been""","New Orleans, LA, USA",Start_Here_Travel
"""want""","Boston, MA, USA",Start_Here_Travel
"""been""","Savannah, GA, USA",Start_Here_Travel
"""been""","Dallas, TX, USA",Start_Here_Travel
"""been""","Bridge of Orchy, UK",Start_Here_Travel
"""been""","Freeport, Bahamas",Start_Here_Travel
"""been""","Castries, St. Lucia",Start_Here_Travel
"""been""","Houston, TX, USA",Start_Here_Travel
"""want""","Acapulco, Mexico",Start_Here_Travel
"""been""","Vancouver, British Columbia, Canada",Start_Here_Travel
"""been""","Clearwater, FL, USA",Start_Here_Travel
"""been""","Charleston, SC, USA",Start_Here_Travel
"""been""","Playa Paraiso, Mexico",Start_Here_Travel
"""want""","Oranjestad, Aruba",Start_Here_Travel
"""want""","Palm - Eagle Beach, Aruba",Start_Here_Travel
"""been""","Atlanta, GA, USA",Start_Here_Travel
"""been""","Naples, FL, USA",Start_Here_Travel
"""been""","Tulum, Mexico",Start_Here_Travel
"""been""","Puerto Plata, Dominican Republic",Start_Here_Travel
"""been""","Playa del Carmen, Mexico",Start_Here_Travel
"""been""","Fort Lauderdale, FL, USA",Start_Here_Travel
"""been""","Erskine, UK",Start_Here_Travel
"""been""","Cabo San Lucas, Mexico",Start_Here_Travel
