tag,place,user
"""been""","Paris, France",Steven_John48
"""been""","Blackpool, UK",Steven_John48
"""been""","Southampton, UK",Steven_John48
"""been""","Portsmouth, UK",Steven_John48
"""want""","Windermere, UK",Steven_John48
"""want""","Munich, Germany",Steven_John48
"""been""","Rhodes Town, Greece",Steven_John48
"""been""","West Hollywood, CA, USA",Steven_John48
"""been""","London, UK",Steven_John48
"""been""","Liverpool, UK",Steven_John48
"""been""","Naples, FL, USA",Steven_John48
"""been""","Seattle, WA, USA",Steven_John48
"""been""","Fort Lauderdale, FL, USA",Steven_John48
"""been""","Stowmarket, UK",Steven_John48
"""been""","Palm Springs, CA, USA",Steven_John48
"""want""","Riccione, Italy",Steven_John48
"""been""","Playa de las Americas, Spain",Steven_John48
"""been""","Grange-over-Sands, UK",Steven_John48
"""been""","Washington DC, DC, USA",Steven_John48
"""been""","Llandudno, UK",Steven_John48
"""been""","Bucknell, UK",Steven_John48
"""been""","Eastbourne, UK",Steven_John48
"""been""","Bristol, UK",Steven_John48
"""been"",""fave""","Cardiff, UK",Steven_John48
"""been""","Poole, UK",Steven_John48
"""been""","Montpellier, France",Steven_John48
"""want""","Rome, Italy",Steven_John48
"""been""","Carlsbad, CA, USA",Steven_John48
"""want""","Dresden, Germany",Steven_John48
"""been""","Fort Myers Beach, FL, USA",Steven_John48
"""been""","Kissimmee, FL, USA",Steven_John48
"""been""","Playa del Ingles, Spain",Steven_John48
"""been""","Maspalomas, Spain",Steven_John48
"""been""","Fort Myers, FL, USA",Steven_John48
"""want""","Abu Dhabi, United Arab Emirates",Steven_John48
"""been""","Porto, Portugal",Steven_John48
"""been""","Boston, MA, USA",Steven_John48
"""been""","La Jolla, CA, USA",Steven_John48
"""been""","Orlando, FL, USA",Steven_John48
"""been""","Anaheim, CA, USA",Steven_John48
"""been""","Salou, Spain",Steven_John48
"""want""","Tokyo, Japan",Steven_John48
"""been"",""fave""","Belfast, UK",Steven_John48
"""want""","Quebec City, Quebec, Canada",Steven_John48
"""want""","Mumbai, India",Steven_John48
"""been""","Casablanca, Morocco",Steven_John48
"""been""","Marrakech, Morocco",Steven_John48
"""want""","Santiago, Chile",Steven_John48
"""been""","Brighton, UK",Steven_John48
"""want""","Cape Town Central, South Africa",Steven_John48
"""been""","Big Sur, CA, USA",Steven_John48
"""want""","Jasper, Alberta, Canada",Steven_John48
"""want""","Calgary, Alberta, Canada",Steven_John48
"""been""","Laguna Beach, CA, USA",Steven_John48
"""been""","Cambridge, MA, USA",Steven_John48
"""want""","Nabq Bay, Egypt",Steven_John48
"""been""","Hammamet, Tunisia",Steven_John48
"""been""","Sousse, Tunisia",Steven_John48
"""been""","Monastir, Tunisia",Steven_John48
"""want""","Dusseldorf, Germany",Steven_John48
"""want""","Palermo, Italy",Steven_John48
"""been""","Dublin, Ireland",Steven_John48
"""been""","Beverly Hills, CA, USA",Steven_John48
"""been""","Lisbon, Portugal",Steven_John48
"""been""","Barcelona, Spain",Steven_John48
"""been""","Llanberis, UK",Steven_John48
"""want""","Florence, Italy",Steven_John48
"""been""","Kendal, UK",Steven_John48
"""been""","Santa Barbara, CA, USA",Steven_John48
"""been""","Amsterdam, The Netherlands",Steven_John48
"""been""","New York City, NY, USA",Steven_John48
"""been""","Tetbury, UK",Steven_John48
"""been""","Tamworth, UK",Steven_John48
"""been""","Annecy, France",Steven_John48
"""been""","Bowness-on-Windermere, UK",Steven_John48
"""been""","Stoke-on-Trent, UK",Steven_John48
"""been""","Saint-Malo, France",Steven_John48
"""want""","Luxor, Egypt",Steven_John48
"""been""","Manchester, UK",Steven_John48
"""been""","Cannes, France",Steven_John48
"""been""","Lanercost, UK",Steven_John48
"""been""","Dudley, UK",Steven_John48
"""been""","Windsor, UK",Steven_John48
