tag,place,user
"""been""","Quebec City, Quebec, Canada",Sugarmillgirl
"""been""","Nairobi, Kenya",Sugarmillgirl
"""been""","London, UK",Sugarmillgirl
"""been""","Paris, France",Sugarmillgirl
"""been""","Montreal, Quebec, Canada",Sugarmillgirl
"""been"",""fave""","Bangkok, Thailand",Sugarmillgirl
"""been""","Vancouver, British Columbia, Canada",Sugarmillgirl
"""been""","Avalon, CA, USA",Sugarmillgirl
"""been""","Kuala Lumpur, Malaysia",Sugarmillgirl
"""been""","San Antonio, TX, USA",Sugarmillgirl
"""been""","San Francisco, CA, USA",Sugarmillgirl
"""been""","Cabo San Lucas, Mexico",Sugarmillgirl
"""been"",""fave""","Austin, TX, USA",Sugarmillgirl
"""been""","Budapest, Hungary",Sugarmillgirl
"""been"",""fave""","Beijing, China",Sugarmillgirl
"""been"",""fave""","Victoria Falls, Zimbabwe",Sugarmillgirl
"""been""","Philadelphia, PA, USA",Sugarmillgirl
"""been"",""fave""","Dublin, Ireland",Sugarmillgirl
"""been""","Hong Kong, China",Sugarmillgirl
"""been""","Halong Bay, Vietnam",Sugarmillgirl
"""been""","Hanoi, Vietnam",Sugarmillgirl
"""been""","Ho Chi Minh City, Vietnam",Sugarmillgirl
"""been""","Clearwater, FL, USA",Sugarmillgirl
"""been""","Barcelona, Spain",Sugarmillgirl
"""been""","Niagara Falls, Ontario, Canada",Sugarmillgirl
"""been""","Thomasville, GA, USA",Sugarmillgirl
"""been""","Bakersfield, CA, USA",Sugarmillgirl
"""been"",""fave""","Tokyo, Japan",Sugarmillgirl
"""been""","Anchorage, AK, USA",Sugarmillgirl
"""been""","Singapore, Singapore",Sugarmillgirl
"""been""","Catalina Island, CA, USA",Sugarmillgirl
"""been""","New York City, NY, USA",Sugarmillgirl
"""been""","Milan, Italy",Sugarmillgirl
"""been""","Gatlinburg, TN, USA",Sugarmillgirl
"""been"",""fave""","Valencia, Spain",Sugarmillgirl
"""been"",""fave""","St. Petersburg, Russia",Sugarmillgirl
"""been""","Sydney, Australia",Sugarmillgirl
"""been""","Seville, Spain",Sugarmillgirl
"""been""","Toronto, Ontario, Canada",Sugarmillgirl
"""been"",""fave""","Nashville, TN, USA",Sugarmillgirl
"""been"",""fave""","Granada, Spain",Sugarmillgirl
"""been""","Vienna, Austria",Sugarmillgirl
"""been""","Rio de Janeiro, Brazil",Sugarmillgirl
"""been""","Glendale, CA, USA",Sugarmillgirl
"""been""","Atlanta, GA, USA",Sugarmillgirl
"""been""","Buenos Aires, Argentina",Sugarmillgirl
"""been""","Savannah, GA, USA",Sugarmillgirl
"""been""","Pigeon Forge, TN, USA",Sugarmillgirl
"""been""","Tel Aviv, Israel",Sugarmillgirl
"""been"",""fave""","Shanghai, China",Sugarmillgirl
"""been""","Malaga, Spain",Sugarmillgirl
"""been"",""fave""","Venice, Italy",Sugarmillgirl
"""been""","Rome, Italy",Sugarmillgirl
"""been""","Haines, AK, USA",Sugarmillgirl
"""been""","Siem Reap, Cambodia",Sugarmillgirl
"""been""","Dallas, TX, USA",Sugarmillgirl
"""been""","Amsterdam, The Netherlands",Sugarmillgirl
"""been"",""fave""","Los Angeles, CA, USA",Sugarmillgirl
"""been""","Orlando, FL, USA",Sugarmillgirl
"""been""","Miami, FL, USA",Sugarmillgirl
"""been""","Fairbanks, AK, USA",Sugarmillgirl
"""been"",""fave""","Kyoto, Japan",Sugarmillgirl
"""been""","Egmont, British Columbia, Canada",Sugarmillgirl
"""been""","Miami Beach, FL, USA",Sugarmillgirl
"""been""","San Juan, Puerto Rico",Sugarmillgirl
"""been""","Chicago, IL, USA",Sugarmillgirl
"""been""","Moscow, Russia",Sugarmillgirl
"""been""","Osaka, Japan",Sugarmillgirl
"""been""","Honolulu, HI, USA",Sugarmillgirl
"""been""","Las Vegas, NV, USA",Sugarmillgirl
