tag,place,user
"""been""","Riverside, CA, USA",T2118MYjackp
"""been""","Fort Worth, TX, USA",T2118MYjackp
"""been""","Eagle, WI, USA",T2118MYjackp
"""been""","Avalon, CA, USA",T2118MYjackp
"""been""","Cabazon, CA, USA",T2118MYjackp
"""been""","Houston, TX, USA",T2118MYjackp
"""been""","Cave Creek, AZ, USA",T2118MYjackp
"""been""","Montclair, CA, USA",T2118MYjackp
"""been""","La Jolla, CA, USA",T2118MYjackp
"""been""","Dallas, TX, USA",T2118MYjackp
"""been""","Cottage Grove, MN, USA",T2118MYjackp
"""been""","Harrison, ID, USA",T2118MYjackp
"""been""","Ketchikan, AK, USA",T2118MYjackp
"""been""","Scottsdale, AZ, USA",T2118MYjackp
"""been""","Iowa City, IA, USA",T2118MYjackp
"""been""","Waunakee, WI, USA",T2118MYjackp
"""been""","Green Bay, WI, USA",T2118MYjackp
"""been""","Coeur d'Alene, ID, USA",T2118MYjackp
"""been""","Madison, WI, USA",T2118MYjackp
"""been""","Barneveld, WI, USA",T2118MYjackp
"""been""","Moreno Valley, CA, USA",T2118MYjackp
"""been""","Hayden, ID, USA",T2118MYjackp
"""been""","Poplar Grove, IL, USA",T2118MYjackp
"""been""","Fort Lauderdale, FL, USA",T2118MYjackp
"""been""","Grand Terrace, CA, USA",T2118MYjackp
"""been""","Cabo San Lucas, Mexico",T2118MYjackp
"""been""","Carefree, AZ, USA",T2118MYjackp
"""been""","Rice Lake, WI, USA",T2118MYjackp
"""been""","Kailua-Kona, HI, USA",T2118MYjackp
"""been""","Ensenada, Mexico",T2118MYjackp
