tag,place,user
"""been""","Los Angeles, CA, USA",TLDinPortland
"""been""","Ocean Shores, WA, USA",TLDinPortland
"""been""","Bucharest, Romania",TLDinPortland
"""been""","Kwethluk, AK, USA",TLDinPortland
"""been""","Portland, OR, USA",TLDinPortland
"""been""","Fairfax, VA, USA",TLDinPortland
"""been""","Neptun, Romania",TLDinPortland
"""been""","Chicago, IL, USA",TLDinPortland
"""been""","Placerville, CA, USA",TLDinPortland
"""been""","Madrid, Spain",TLDinPortland
"""been"",""fave""","Yelapa, Mexico",TLDinPortland
"""been""","Las Vegas, NV, USA",TLDinPortland
"""been""","Hannover, Germany",TLDinPortland
"""been""","Ashland, OR, USA",TLDinPortland
"""been""","Burien, WA, USA",TLDinPortland
"""been""","Nogales, AZ, USA",TLDinPortland
"""been""","Kodiak Island, AK, USA",TLDinPortland
"""been""","Phoenix, AZ, USA",TLDinPortland
"""been""","Portland, ME, USA",TLDinPortland
"""been""","Muri, Cook Islands",TLDinPortland
"""been""","Kent, WA, USA",TLDinPortland
"""been""","Olympia, WA, USA",TLDinPortland
"""been""","Roskilde, Denmark",TLDinPortland
"""want""","Burbank, CA, USA",TLDinPortland
"""been""","Flagstaff, AZ, USA",TLDinPortland
"""been""","Geneva, Switzerland",TLDinPortland
"""been""","Helsingoer, Denmark",TLDinPortland
"""been""","Tacoma, WA, USA",TLDinPortland
"""been""","Santander, Spain",TLDinPortland
"""been""","Copenhagen, Denmark",TLDinPortland
"""been""","Anaheim, CA, USA",TLDinPortland
"""been""","Eugene, OR, USA",TLDinPortland
"""been""","Alexandria, VA, USA",TLDinPortland
"""been""","Florence, OR, USA",TLDinPortland
"""been""","Victoria, British Columbia, Canada",TLDinPortland
"""been""","Vancouver, British Columbia, Canada",TLDinPortland
"""been""","Jackson, NH, USA",TLDinPortland
"""been""","Wasilla, AK, USA",TLDinPortland
"""been""","Cannon Beach, OR, USA",TLDinPortland
"""been""","Nampa, ID, USA",TLDinPortland
"""been""","Lima, Peru",TLDinPortland
"""been""","Flensburg, Germany",TLDinPortland
"""been""","Malmo, Sweden",TLDinPortland
"""been""","Barcelona, Spain",TLDinPortland
"""been"",""fave""","Waimanalo, HI, USA",TLDinPortland
"""been""","Washington DC, DC, USA",TLDinPortland
"""been""","Lake Geneva, WI, USA",TLDinPortland
"""been""","San Antonio de Pichincha, Ecuador",TLDinPortland
"""been""","Minneapolis, MN, USA",TLDinPortland
"""been""","Goslar, Germany",TLDinPortland
"""been""","Dusseldorf, Germany",TLDinPortland
"""been""","Salamanca, Spain",TLDinPortland
"""been""","Cologne, Germany",TLDinPortland
"""been""","Boise, ID, USA",TLDinPortland
"""been""","Burgos, Spain",TLDinPortland
"""been""","Brooklyn, NY, USA",TLDinPortland
"""been""","Fairbanks, AK, USA",TLDinPortland
"""been""","Bellingham, WA, USA",TLDinPortland
"""been""","Ggantija, Malta",TLDinPortland
"""been""","San Francisco, CA, USA",TLDinPortland
"""been""","Herndon, VA, USA",TLDinPortland
"""been""","Gettysburg, PA, USA",TLDinPortland
"""been""","Paris, France",TLDinPortland
"""been""","Ann Arbor, MI, USA",TLDinPortland
"""been""","Tucson, AZ, USA",TLDinPortland
"""been""","Arlington, VA, USA",TLDinPortland
