tag,place,user
"""been""","Pasadena, CA, USA",TR1721
"""been""","Riverside, CA, USA",TR1721
"""been""","Paradise Island, Bahamas",TR1721
"""been""","Oakland, CA, USA",TR1721
"""been""","Vancouver, British Columbia, Canada",TR1721
"""been""","Avalon, CA, USA",TR1721
"""been""","New York City, NY, USA",TR1721
"""been""","San Jose, CA, USA",TR1721
"""been""","Anaheim, CA, USA",TR1721
"""been""","Carlsbad, CA, USA",TR1721
"""been""","Los Angeles, CA, USA",TR1721
"""been""","Solvang, CA, USA",TR1721
"""been""","Wailea, HI, USA",TR1721
"""been""","Irvine, CA, USA",TR1721
"""been""","Leyte Island, Philippines",TR1721
"""been""","Palm Springs, CA, USA",TR1721
"""been""","Cebu City, Philippines",TR1721
"""been""","Long Beach, CA, USA",TR1721
"""been""","Norman, OK, USA",TR1721
"""been""","Ogden, UT, USA",TR1721
"""been""","Atascadero, CA, USA",TR1721
"""been""","Seville, Spain",TR1721
"""been""","Santa Monica, CA, USA",TR1721
"""been""","Catalina Island, CA, USA",TR1721
"""been""","Phoenix, AZ, USA",TR1721
"""been""","Fort Bragg, CA, USA",TR1721
"""been""","Buena Park, CA, USA",TR1721
"""been""","Burbank, CA, USA",TR1721
"""been""","Santa Rosa, CA, USA",TR1721
"""been"",""fave""","Negril, Jamaica",TR1721
"""been""","Ocho Rios, Jamaica",TR1721
"""been""","Manhattan Beach, CA, USA",TR1721
"""been""","Huntington Beach, CA, USA",TR1721
"""been""","Galveston, TX, USA",TR1721
"""been""","Henderson, NV, USA",TR1721
"""been""","Cozumel, Mexico",TR1721
"""been""","Reno, NV, USA",TR1721
"""been""","Montego Bay, Jamaica",TR1721
"""been""","Barcelona, Spain",TR1721
"""been""","Dublin, Ireland",TR1721
"""been""","Santa Cruz, CA, USA",TR1721
"""been""","Temecula, CA, USA",TR1721
"""been""","Santa Barbara, CA, USA",TR1721
"""been""","Playa del Carmen, Mexico",TR1721
"""been"",""fave""","Seven Mile Beach, Cayman Islands",TR1721
"""been""","Ontario, CA, USA",TR1721
"""been""","Tijuana, Mexico",TR1721
"""been""","Cabo San Lucas, Mexico",TR1721
"""been""","San Francisco, CA, USA",TR1721
"""been""","Seattle, WA, USA",TR1721
"""been""","Las Vegas, NV, USA",TR1721
"""been""","Laughlin, NV, USA",TR1721
"""been""","Baguio, Philippines",TR1721
"""been""","San Diego, CA, USA",TR1721
"""been""","Nairobi, Kenya",TR1721
"""been""","Laguna Beach, CA, USA",TR1721
"""been""","Oklahoma City, OK, USA",TR1721
"""been""","Ensenada, Mexico",TR1721
"""been""","Long Island City, NY, USA",TR1721
"""been""","Garden Grove, CA, USA",TR1721
"""been""","Newport Beach, CA, USA",TR1721
