tag,place,user
"""been""","Dubai, United Arab Emirates",Taestensen
"""been""","Flensburg, Germany",Taestensen
"""been"",""want"",""fave""","Hamburg, Germany",Taestensen
"""been""","Barcelona, Spain",Taestensen
"""been""","Orlando, FL, USA",Taestensen
"""been"",""want""","Las Vegas, NV, USA",Taestensen
"""been""","Prato allo Stelvio, Italy",Taestensen
"""been""","Coron, Philippines",Taestensen
"""been""","Agra, India",Taestensen
"""been""","Phuket, Thailand",Taestensen
"""been""","Manila, Philippines",Taestensen
"""been""","Pasay, Philippines",Taestensen
"""been""","Frankfurt, Germany",Taestensen
"""been""","Madrid, Spain",Taestensen
"""been""","Fresno, CA, USA",Taestensen
"""been"",""want"",""fave""","Los Angeles, CA, USA",Taestensen
"""been""","Resia, Italy",Taestensen
"""been""","Amsterdam, The Netherlands",Taestensen
"""been""","Magaluf, Spain",Taestensen
"""been""","Kolkata (Calcutta), India",Taestensen
"""been""","Jaipur, India",Taestensen
"""been""","Paris, France",Taestensen
"""been""","Berlin, Germany",Taestensen
"""been""","Palma de Mallorca, Spain",Taestensen
"""been""","New Delhi, India",Taestensen
"""been""","San Francisco, CA, USA",Taestensen
"""been"",""want""","Copenhagen, Denmark",Taestensen
"""been""","Milan, Italy",Taestensen
"""been""","Sundsvall, Sweden",Taestensen
"""been"",""want""","London, UK",Taestensen
"""been"",""want""","Yosemite National Park, CA, USA",Taestensen
"""been""","Singapore, Singapore",Taestensen
"""been""","San Diego, CA, USA",Taestensen
"""been""","Pattaya, Thailand",Taestensen
"""been""","Bangkok, Thailand",Taestensen
"""been""","Karon, Thailand",Taestensen
"""been""","Cologne, Germany",Taestensen
"""been""","Gran Canaria, Spain",Taestensen
"""been""","Soenderborg, Denmark",Taestensen
"""been""","Malles Venosta, Italy",Taestensen
"""been""","Livigno, Italy",Taestensen
