tag,place,user
"""been""","Los Angeles, CA, USA",Tayfuns
"""want""","Alexandria, VA, USA",Tayfuns
"""been""","Napa, CA, USA",Tayfuns
"""want""","San Francisco, CA, USA",Tayfuns
"""been""","West Hollywood, CA, USA",Tayfuns
"""want""","Milan, Italy",Tayfuns
"""want""","Fort Lauderdale, FL, USA",Tayfuns
"""want""","Phoenix, AZ, USA",Tayfuns
"""been""","Istanbul, Turkey",Tayfuns
"""been""","Nicosia, Cyprus",Tayfuns
"""want""","Newark, NJ, USA",Tayfuns
"""been""","Oxford, UK",Tayfuns
"""want""","Vienna, Austria",Tayfuns
"""want""","Cologne, Germany",Tayfuns
"""want""","Breckenridge, CO, USA",Tayfuns
"""been""","Lido di Venezia, Italy",Tayfuns
"""want""","Atlantic City, NJ, USA",Tayfuns
"""want""","Banff, Alberta, Canada",Tayfuns
"""want""","Niagara Falls, Ontario, Canada",Tayfuns
"""want""","Florence, Italy",Tayfuns
"""been"",""want""","New York City, NY, USA",Tayfuns
"""been""","Barcelona, Spain",Tayfuns
"""want""","Hamburg, Germany",Tayfuns
"""been""","Sant'Agata sui Due Golfi, Italy",Tayfuns
"""been""","Beverly Hills, CA, USA",Tayfuns
"""been""","Edinburgh, UK",Tayfuns
"""want""","Dallas, TX, USA",Tayfuns
"""been"",""want""","Prague, Czech Republic",Tayfuns
"""been""","Kutna Hora, Czech Republic",Tayfuns
"""been""","Bath, UK",Tayfuns
"""want""","Niagara Falls, NY, USA",Tayfuns
"""been""","Glasgow, UK",Tayfuns
"""want""","Paris, France",Tayfuns
"""want""","Naples, Italy",Tayfuns
"""been""","Washington DC, DC, USA",Tayfuns
"""want""","Rio de Janeiro, Brazil",Tayfuns
"""been""","London, UK",Tayfuns
"""been""","Lloret de Mar, Spain",Tayfuns
"""been""","Grindavik, Iceland",Tayfuns
"""been""","Reykjavik, Iceland",Tayfuns
"""been""","Rome, Italy",Tayfuns
"""want""","Chicago, IL, USA",Tayfuns
"""want""","Brooklyn, NY, USA",Tayfuns
"""want""","Miami Beach, FL, USA",Tayfuns
"""want""","Orlando, FL, USA",Tayfuns
"""want""","Miami, FL, USA",Tayfuns
"""want""","Las Vegas, NV, USA",Tayfuns
"""want""","Honolulu, HI, USA",Tayfuns
"""want""","Venice, Italy",Tayfuns
