tag,place,user
"""been""","Laguna Beach, CA, USA",TheKurtzKrew
"""been""","Playa Samara, Costa Rica",TheKurtzKrew
"""been""","Kauai, HI, USA",TheKurtzKrew
"""been""","Playa Grande, Costa Rica",TheKurtzKrew
"""been""","Playa Hermosa, Costa Rica",TheKurtzKrew
"""been""","Rawlins, WY, USA",TheKurtzKrew
"""been""","Irving, TX, USA",TheKurtzKrew
"""been""","Liberia, Costa Rica",TheKurtzKrew
"""been""","Cleveland, OH, USA",TheKurtzKrew
"""been""","Playa Flamingo, Costa Rica",TheKurtzKrew
"""been""","Lucerne, Switzerland",TheKurtzKrew
"""been""","Monterey, CA, USA",TheKurtzKrew
"""been""","Marseille, France",TheKurtzKrew
"""been""","Lisbon, Portugal",TheKurtzKrew
"""been""","Hawaii Volcanoes National Park, HI, USA",TheKurtzKrew
"""been""","Florence, Italy",TheKurtzKrew
"""been""","Pasadena, CA, USA",TheKurtzKrew
"""been""","Maui, HI, USA",TheKurtzKrew
"""been""","Santa Cruz, CA, USA",TheKurtzKrew
"""been""","Anza, CA, USA",TheKurtzKrew
"""been""","Bethlehem, PA, USA",TheKurtzKrew
"""been""","Pisa, Italy",TheKurtzKrew
"""been""","Santa Barbara, CA, USA",TheKurtzKrew
"""been""","Huntington Beach, CA, USA",TheKurtzKrew
"""been""","Parker, AZ, USA",TheKurtzKrew
"""been""","St. George, UT, USA",TheKurtzKrew
"""been""","Arenal Volcano National Park, Costa Rica",TheKurtzKrew
"""been""","Detroit, MI, USA",TheKurtzKrew
"""been""","Canton, OH, USA",TheKurtzKrew
"""been""","Porto Venere, Italy",TheKurtzKrew
"""been""","Southend-on-Sea, UK",TheKurtzKrew
"""been""","Barberino Val d'Elsa, Italy",TheKurtzKrew
"""been""","Positano, Italy",TheKurtzKrew
"""been""","Yosemite National Park, CA, USA",TheKurtzKrew
"""been""","Morro Bay, CA, USA",TheKurtzKrew
"""been""","Zurich, Switzerland",TheKurtzKrew
"""been""","Paris, France",TheKurtzKrew
"""been""","Pompeii, Italy",TheKurtzKrew
"""been""","Phoenix, AZ, USA",TheKurtzKrew
"""been""","Courmayeur, Italy",TheKurtzKrew
"""been""","Eureka, CA, USA",TheKurtzKrew
"""been""","Napa, CA, USA",TheKurtzKrew
"""been""","Siena, Italy",TheKurtzKrew
"""been""","Santa Monica, CA, USA",TheKurtzKrew
"""been""","Tijuana, Mexico",TheKurtzKrew
"""been""","Roissy-en-France, France",TheKurtzKrew
"""been""","Sequoia and Kings Canyon National Park, CA, USA",TheKurtzKrew
"""been""","Las Vegas, NV, USA",TheKurtzKrew
"""been""","Venice, Italy",TheKurtzKrew
"""been""","Verona, Italy",TheKurtzKrew
"""been""","Pismo Beach, CA, USA",TheKurtzKrew
"""been""","Ventura, CA, USA",TheKurtzKrew
"""been""","Miami, FL, USA",TheKurtzKrew
"""been""","Oakland, CA, USA",TheKurtzKrew
"""been""","Fresno, CA, USA",TheKurtzKrew
"""been""","Los Angeles, CA, USA",TheKurtzKrew
"""been""","New York City, NY, USA",TheKurtzKrew
"""been""","Monte-Carlo, Monaco",TheKurtzKrew
"""been""","Villa Park, CA, USA",TheKurtzKrew
"""been""","Monaco-Ville, Monaco",TheKurtzKrew
"""been""","Park City, UT, USA",TheKurtzKrew
"""been""","Ypsilanti, MI, USA",TheKurtzKrew
"""been""","Ojochal, Costa Rica",TheKurtzKrew
"""been""","Bern, Switzerland",TheKurtzKrew
"""been""","Tamarindo, Costa Rica",TheKurtzKrew
"""been""","Long Beach, CA, USA",TheKurtzKrew
"""been""","Uvita, Costa Rica",TheKurtzKrew
"""been""","Saint-Tropez, France",TheKurtzKrew
"""been""","Pittsburgh, PA, USA",TheKurtzKrew
"""been""","Whangarei, New Zealand",TheKurtzKrew
"""been""","Arlington, VA, USA",TheKurtzKrew
"""been""","Garden Grove, CA, USA",TheKurtzKrew
"""been""","Dominical, Costa Rica",TheKurtzKrew
"""been""","Joshua Tree, CA, USA",TheKurtzKrew
"""been""","Milan, Italy",TheKurtzKrew
"""been""","Newport Beach, CA, USA",TheKurtzKrew
"""been"",""fave""","Cairns, Australia",TheKurtzKrew
"""been""","Perth, Australia",TheKurtzKrew
"""been""","Niagara Falls, Ontario, Canada",TheKurtzKrew
"""been""","Auckland Central, New Zealand",TheKurtzKrew
"""been""","State College, PA, USA",TheKurtzKrew
"""been""","Anaheim, CA, USA",TheKurtzKrew
"""been""","Sydney, Australia",TheKurtzKrew
"""been""","Miami Beach, FL, USA",TheKurtzKrew
"""been"",""fave""","Coromandel, New Zealand",TheKurtzKrew
"""been""","Chicago, IL, USA",TheKurtzKrew
"""been""","Newark, NJ, USA",TheKurtzKrew
"""been""","Drake Bay, Costa Rica",TheKurtzKrew
"""been""","Washington DC, DC, USA",TheKurtzKrew
"""been""","Honolulu, HI, USA",TheKurtzKrew
"""been""","Malibu, CA, USA",TheKurtzKrew
"""been""","Bakersfield, CA, USA",TheKurtzKrew
"""been""","Dana Point, CA, USA",TheKurtzKrew
"""been""","Keystone, SD, USA",TheKurtzKrew
"""been""","Playa Avellanas, Costa Rica",TheKurtzKrew
"""been""","Taupo, New Zealand",TheKurtzKrew
"""been""","Rotorua, New Zealand",TheKurtzKrew
"""been""","Jaco, Costa Rica",TheKurtzKrew
"""been""","Manuel Antonio, Costa Rica",TheKurtzKrew
"""been""","Bath, UK",TheKurtzKrew
"""been""","Orange, CA, USA",TheKurtzKrew
"""been"",""fave""","Cannes, France",TheKurtzKrew
"""been""","Walla Walla, WA, USA",TheKurtzKrew
"""been""","San Diego, CA, USA",TheKurtzKrew
"""been""","Hershey, PA, USA",TheKurtzKrew
"""been""","Casper, WY, USA",TheKurtzKrew
"""been""","Fort Lauderdale, FL, USA",TheKurtzKrew
"""been""","San Francisco, CA, USA",TheKurtzKrew
"""been""","Sedona, AZ, USA",TheKurtzKrew
"""been""","London, UK",TheKurtzKrew
"""been""","Key Largo, FL, USA",TheKurtzKrew
"""been""","Ann Arbor, MI, USA",TheKurtzKrew
"""been""","Key West, FL, USA",TheKurtzKrew
"""been""","La Fortuna de San Carlos, Costa Rica",TheKurtzKrew
"""been""","Whitianga, New Zealand",TheKurtzKrew
"""been""","Scottsdale, AZ, USA",TheKurtzKrew
"""been""","Cabo San Lucas, Mexico",TheKurtzKrew
"""been"",""fave""","Rome, Italy",TheKurtzKrew
"""been""","Whakapapa, New Zealand",TheKurtzKrew
