tag,place,user
"""been""","San Francisco, CA, USA",Thepeacemaker68
"""been""","West Yellowstone, MT, USA",Thepeacemaker68
"""been""","New York City, NY, USA",Thepeacemaker68
"""been""","Orem, UT, USA",Thepeacemaker68
"""been""","Springdale, UT, USA",Thepeacemaker68
"""been""","San Diego, CA, USA",Thepeacemaker68
"""been""","Lehi, UT, USA",Thepeacemaker68
"""been""","Lindon, UT, USA",Thepeacemaker68
"""been""","Austin, TX, USA",Thepeacemaker68
"""been""","San Jose, CA, USA",Thepeacemaker68
"""been""","Cambridge, MA, USA",Thepeacemaker68
"""been""","Provo, UT, USA",Thepeacemaker68
"""been""","Orlando, FL, USA",Thepeacemaker68
"""been""","London, UK",Thepeacemaker68
"""been""","Los Angeles, CA, USA",Thepeacemaker68
