tag,place,user
"""want""","Las Vegas, NV, USA",TioGabriel
"""want""","Rome, Italy",TioGabriel
"""been""","Newark, NJ, USA",TioGabriel
"""been""","New York City, NY, USA",TioGabriel
"""been""","Sao Paulo, Brazil",TioGabriel
"""been""","Dearborn, MI, USA",TioGabriel
"""been""","Winter Haven, FL, USA",TioGabriel
"""been""","Natal, Brazil",TioGabriel
"""been""","Jundiai, Brazil",TioGabriel
"""been""","Buenos Aires, Argentina",TioGabriel
"""been""","West Hollywood, CA, USA",TioGabriel
"""been""","Curitiba, Brazil",TioGabriel
"""been""","Lages, Brazil",TioGabriel
"""been""","San Diego, CA, USA",TioGabriel
"""been""","Santos, Brazil",TioGabriel
"""been""","Niteroi, Brazil",TioGabriel
"""been""","Atlantic City, NJ, USA",TioGabriel
"""been""","Brasilia, Brazil",TioGabriel
"""been""","Orlando, FL, USA",TioGabriel
"""been""","Miami, FL, USA",TioGabriel
"""been""","Washington DC, DC, USA",TioGabriel
"""want""","Chicago, IL, USA",TioGabriel
"""been""","Baltimore, MD, USA",TioGabriel
"""been""","Campinas, Brazil",TioGabriel
"""been""","Rio de Janeiro, Brazil",TioGabriel
"""been""","Santa Clarita, CA, USA",TioGabriel
"""been""","Carlsbad, CA, USA",TioGabriel
