tag,place,user
"""want""","Jerusalem, Israel",Trainman95630
"""been"",""fave""","Machu Picchu, Peru",Trainman95630
"""been""","Rapid City, SD, USA",Trainman95630
"""been"",""want""","Amman, Jordan",Trainman95630
"""been""","Cusco, Peru",Trainman95630
"""want""","Hurghada, Egypt",Trainman95630
"""been""","Cairns, Australia",Trainman95630
"""been""","Dar es Salaam, Tanzania",Trainman95630
"""been""","Lima, Peru",Trainman95630
"""been""","Jerash, Jordan",Trainman95630
"""been""","San Quirico d'Orcia, Italy",Trainman95630
"""been""","Marietta, OH, USA",Trainman95630
"""want""","Dubrovnik, Croatia",Trainman95630
"""been"",""want""","Siem Reap, Cambodia",Trainman95630
"""been""","Hoi An, Vietnam",Trainman95630
"""been""","Da Nang, Vietnam",Trainman95630
"""been""","Roseville, MN, USA",Trainman95630
"""want""","Istanbul, Turkey",Trainman95630
"""been""","Trikala, Greece",Trainman95630
"""been""","Tangier, Morocco",Trainman95630
"""been""","Niagara Falls, Ontario, Canada",Trainman95630
"""been""","Rocklin, CA, USA",Trainman95630
"""been""","Puerto Vallarta, Mexico",Trainman95630
"""been""","San Simeon, CA, USA",Trainman95630
"""want""","Buenos Aires, Argentina",Trainman95630
"""been""","Albertville, MN, USA",Trainman95630
"""been""","Monrovia, CA, USA",Trainman95630
"""been""","New Castle, PA, USA",Trainman95630
"""been""","Saint Paul, MN, USA",Trainman95630
"""been""","Phuket, Thailand",Trainman95630
"""been""","Malaga, Spain",Trainman95630
"""want""","San Francisco, CA, USA",Trainman95630
"""been""","San Antonio, TX, USA",Trainman95630
"""been"",""want""","Hanoi, Vietnam",Trainman95630
"""been""","Halong Bay, Vietnam",Trainman95630
"""been""","Fort Walton Beach, FL, USA",Trainman95630
"""been""","Duong Dong, Vietnam",Trainman95630
"""been""","Fort Myers Beach, FL, USA",Trainman95630
"""been"",""want""","Hue, Vietnam",Trainman95630
"""been""","Fort Collins, CO, USA",Trainman95630
"""been""","St. Moritz, Switzerland",Trainman95630
"""been""","Denver, CO, USA",Trainman95630
"""been""","Kalambaka, Greece",Trainman95630
"""want""","Duong To, Vietnam",Trainman95630
"""been""","Orlando, FL, USA",Trainman95630
"""been""","Zermatt, Switzerland",Trainman95630
"""been""","Reno, NV, USA",Trainman95630
"""been""","Aguas Calientes, Peru",Trainman95630
"""want""","Paris, France",Trainman95630
"""been""","Bloomington, MN, USA",Trainman95630
"""been""","Pompeii, Italy",Trainman95630
"""want""","London, UK",Trainman95630
"""been""","Stoystown, PA, USA",Trainman95630
"""been""","Chiang Mai, Thailand",Trainman95630
"""been""","Bangkok, Thailand",Trainman95630
"""been""","Castiglioncello, Italy",Trainman95630
"""been""","Naples, FL, USA",Trainman95630
"""been""","Kamala, Thailand",Trainman95630
"""been""","Stevenson Ranch, CA, USA",Trainman95630
"""been""","Rome, Italy",Trainman95630
"""want""","Punta Cana, Dominican Republic",Trainman95630
"""been""","Florence, Italy",Trainman95630
"""want""","Salta, Argentina",Trainman95630
"""been""","Pisa, Italy",Trainman95630
"""been""","Colorado Springs, CO, USA",Trainman95630
"""been""","Petra - Wadi Musa, Jordan",Trainman95630
"""been""","Honolulu, HI, USA",Trainman95630
"""been""","Amalfi, Italy",Trainman95630
"""been""","Nags Head, NC, USA",Trainman95630
"""been""","Edina, MN, USA",Trainman95630
"""been""","Rancho Cordova, CA, USA",Trainman95630
"""been""","Tourlos, Greece",Trainman95630
"""been""","Stillwater, MN, USA",Trainman95630
"""been""","Midvale, UT, USA",Trainman95630
"""been""","Grand Canyon National Park, AZ, USA",Trainman95630
"""been""","Frederick, MD, USA",Trainman95630
"""been""","Virginia Beach, VA, USA",Trainman95630
"""been""","Nata, Botswana",Trainman95630
"""been""","Folsom, CA, USA",Trainman95630
"""been""","San Diego, CA, USA",Trainman95630
"""been""","Arlington, VA, USA",Trainman95630
"""been""","Cincinnati, OH, USA",Trainman95630
"""been""","Washington DC, DC, USA",Trainman95630
"""been""","Dusseldorf, Germany",Trainman95630
"""been""","Cua Lap, Vietnam",Trainman95630
"""been""","Venice, Italy",Trainman95630
"""been""","Las Vegas, NV, USA",Trainman95630
"""been""","Pacific Harbour, Fiji",Trainman95630
"""been""","Newark, OH, USA",Trainman95630
"""been""","Mijas, Spain",Trainman95630
"""want""","Puerto Iguazu, Argentina",Trainman95630
"""been""","Bridgetown, Barbados",Trainman95630
"""been""","New York City, NY, USA",Trainman95630
"""been""","Mexico Beach, FL, USA",Trainman95630
"""been""","Columbus, OH, USA",Trainman95630
"""been"",""want"",""fave""","Athens, Greece",Trainman95630
"""been""","Olympia, Greece",Trainman95630
"""want""","Marsa Alam, Egypt",Trainman95630
"""been""","Siena, Italy",Trainman95630
"""been""","St. Thomas, U.S. Virgin Islands",Trainman95630
"""been""","Pensacola Beach, FL, USA",Trainman95630
"""been""","Delphi, Greece",Trainman95630
"""been""","Great Smoky Mountains National Park, NC, USA",Trainman95630
"""been""","Clearwater, FL, USA",Trainman95630
"""been""","Grand Junction, CO, USA",Trainman95630
"""been""","Burlingame, CA, USA",Trainman95630
"""been""","Phoenix, AZ, USA",Trainman95630
"""been""","Alexandria, VA, USA",Trainman95630
"""been""","Long Beach, CA, USA",Trainman95630
"""been""","Jackson, WY, USA",Trainman95630
