tag,place,user
"""want""","Jakarta, Indonesia",TrojanSkyCop1
"""want""","Virginia Beach, VA, USA",TrojanSkyCop1
"""want""","Warsaw, Poland",TrojanSkyCop1
"""want""","Lisbon, Portugal",TrojanSkyCop1
"""been""","Simi Valley, CA, USA",TrojanSkyCop1
"""want""","Boise, ID, USA",TrojanSkyCop1
"""want""","Granada, Nicaragua",TrojanSkyCop1
"""want""","Cayo Santa Maria, Cuba",TrojanSkyCop1
"""want""","Kamala, Thailand",TrojanSkyCop1
"""want""","Oia, Greece",TrojanSkyCop1
"""been"",""fave""","Drumnadrochit, UK",TrojanSkyCop1
"""been""","Hong Kong, China",TrojanSkyCop1
"""been""","Washington DC, DC, USA",TrojanSkyCop1
"""want""","Adelaide, Australia",TrojanSkyCop1
"""want""","Zagreb, Croatia",TrojanSkyCop1
"""want""","Beijing, China",TrojanSkyCop1
"""been"",""want""","Sofia, Bulgaria",TrojanSkyCop1
"""been""","Mombasa, Kenya",TrojanSkyCop1
"""want""","Hobart, Australia",TrojanSkyCop1
"""been""","Indianapolis, IN, USA",TrojanSkyCop1
"""been""","Dubai, United Arab Emirates",TrojanSkyCop1
"""want""","Bern, Switzerland",TrojanSkyCop1
"""want""","Playa del Ingles, Spain",TrojanSkyCop1
"""want""","Santa Ponsa, Spain",TrojanSkyCop1
"""want""","Geneva, Switzerland",TrojanSkyCop1
"""want""","Cattolica, Italy",TrojanSkyCop1
"""want""","Rehoboth Beach, DE, USA",TrojanSkyCop1
"""been""","Nairobi, Kenya",TrojanSkyCop1
"""want""","Tallinn, Estonia",TrojanSkyCop1
"""want""","Cairo, Egypt",TrojanSkyCop1
"""want""","Jackson, WY, USA",TrojanSkyCop1
"""been""","Hirosaki, Japan",TrojanSkyCop1
"""want""","Vilnius, Lithuania",TrojanSkyCop1
"""want""","Luxor, Egypt",TrojanSkyCop1
"""want""","Montevideo, Uruguay",TrojanSkyCop1
"""been""","Sioux Falls, SD, USA",TrojanSkyCop1
"""been""","Gulfport, MS, USA",TrojanSkyCop1
"""want""","Machu Picchu, Peru",TrojanSkyCop1
"""been""","Seal Beach, CA, USA",TrojanSkyCop1
"""want""","Lima, Peru",TrojanSkyCop1
"""want""","Gdansk, Poland",TrojanSkyCop1
"""want""","Riga, Latvia",TrojanSkyCop1
"""want""","Niagara Falls, NY, USA",TrojanSkyCop1
"""want""","Cusco, Peru",TrojanSkyCop1
"""been""","Chattanooga, TN, USA",TrojanSkyCop1
"""been""","Columbus, OH, USA",TrojanSkyCop1
"""been""","Louisville, KY, USA",TrojanSkyCop1
"""been""","Torrance, CA, USA",TrojanSkyCop1
"""been""","Shreveport, LA, USA",TrojanSkyCop1
"""been""","South Bend, IN, USA",TrojanSkyCop1
"""want""","Cocoa Beach, FL, USA",TrojanSkyCop1
"""want""","St. Petersburg, Russia",TrojanSkyCop1
"""been""","Santa Monica, CA, USA",TrojanSkyCop1
"""want""","Clearwater, FL, USA",TrojanSkyCop1
"""been""","Yosemite National Park, CA, USA",TrojanSkyCop1
"""been""","Oklahoma City, OK, USA",TrojanSkyCop1
"""want""","Pune, India",TrojanSkyCop1
"""want""","Singapore, Singapore",TrojanSkyCop1
"""been""","Umm Qasr, Iraq",TrojanSkyCop1
"""want""","Krakow, Poland",TrojanSkyCop1
"""been""","Grand Prairie, TX, USA",TrojanSkyCop1
"""want""","Lourdes, France",TrojanSkyCop1
"""want""","Crawley, UK",TrojanSkyCop1
"""want""","Stuttgart, Germany",TrojanSkyCop1
"""been""","Santa Barbara, CA, USA",TrojanSkyCop1
"""want""","Dresden, Germany",TrojanSkyCop1
"""been""","Abu Dhabi, United Arab Emirates",TrojanSkyCop1
"""been""","Grapevine, TX, USA",TrojanSkyCop1
"""want""","Tulsa, OK, USA",TrojanSkyCop1
"""been"",""fave""","Macau, China",TrojanSkyCop1
"""want""","Busan, South Korea",TrojanSkyCop1
"""want""","Puerto Princesa, Philippines",TrojanSkyCop1
"""want""","Hounslow, UK",TrojanSkyCop1
"""want""","Heidelberg, Germany",TrojanSkyCop1
"""been"",""fave""","Skopje, Republic of North Macedonia",TrojanSkyCop1
"""want""","Kill Devil Hills, NC, USA",TrojanSkyCop1
"""want""","New Delhi, India",TrojanSkyCop1
"""been""","Beverly Hills, CA, USA",TrojanSkyCop1
"""want""","Mumbai, India",TrojanSkyCop1
"""want""","Chennai (Madras), India",TrojanSkyCop1
"""want""","Kolkata (Calcutta), India",TrojanSkyCop1
"""been""","Berkeley, CA, USA",TrojanSkyCop1
"""been""","Doha, Qatar",TrojanSkyCop1
"""been""","Gainesville, FL, USA",TrojanSkyCop1
"""been""","Charlotte, NC, USA",TrojanSkyCop1
"""want""","Manchester, UK",TrojanSkyCop1
"""been""","Kuwait City, Kuwait",TrojanSkyCop1
"""been""","Las Cruces, NM, USA",TrojanSkyCop1
"""been""","Baghdad, Iraq",TrojanSkyCop1
"""been"",""fave""","Fort Augustus, UK",TrojanSkyCop1
"""want""","Ljubljana, Slovenia",TrojanSkyCop1
"""want""","Beirut, Lebanon",TrojanSkyCop1
"""want""","Luxembourg City, Luxembourg",TrojanSkyCop1
"""been""","Denver, CO, USA",TrojanSkyCop1
"""been""","St. Augustine, FL, USA",TrojanSkyCop1
"""want""","Bengaluru, India",TrojanSkyCop1
"""been""","Fort Walton Beach, FL, USA",TrojanSkyCop1
"""want""","Fort Myers Beach, FL, USA",TrojanSkyCop1
"""want""","Carmel, CA, USA",TrojanSkyCop1
"""been""","Balad, Iraq",TrojanSkyCop1
"""want""","Fort Myers, FL, USA",TrojanSkyCop1
"""been""","Dallas, TX, USA",TrojanSkyCop1
"""want""","Cancun, Mexico",TrojanSkyCop1
"""want""","Budapest, Hungary",TrojanSkyCop1
"""want""","Kyiv (Kiev), Ukraine",TrojanSkyCop1
"""been""","Peoria, IL, USA",TrojanSkyCop1
"""want""","Cape Canaveral, FL, USA",TrojanSkyCop1
"""been""","Fahaheel, Kuwait",TrojanSkyCop1
"""want""","Brescia, Italy",TrojanSkyCop1
"""want""","Milano Marittima, Italy",TrojanSkyCop1
"""been""","Vienna, VA, USA",TrojanSkyCop1
"""want""","Williamsburg, VA, USA",TrojanSkyCop1
"""been""","San Diego, CA, USA",TrojanSkyCop1
"""want""","Nusa Dua, Indonesia",TrojanSkyCop1
"""been""","Palm Springs, CA, USA",TrojanSkyCop1
"""want""","Punta del Este, Uruguay",TrojanSkyCop1
"""been""","Palm Desert, CA, USA",TrojanSkyCop1
"""want""","La Paz, Bolivia",TrojanSkyCop1
"""want""","Yangon (Rangoon), Myanmar",TrojanSkyCop1
"""want""","Seoul, South Korea",TrojanSkyCop1
"""want""","Bogota, Colombia",TrojanSkyCop1
"""want""","Tbilisi, Georgia",TrojanSkyCop1
"""want""","Poipu, HI, USA",TrojanSkyCop1
"""been""","Boston, MA, USA",TrojanSkyCop1
"""been""","Omaha, NE, USA",TrojanSkyCop1
"""been""","Springfield, VA, USA",TrojanSkyCop1
"""been""","New York City, NY, USA",TrojanSkyCop1
"""want""","Anchorage, AK, USA",TrojanSkyCop1
"""been""","Redondo Beach, CA, USA",TrojanSkyCop1
"""been""","Branson, MO, USA",TrojanSkyCop1
"""been""","Lexington, KY, USA",TrojanSkyCop1
"""want""","Ankara, Turkey",TrojanSkyCop1
"""want""","Los Cristianos, Spain",TrojanSkyCop1
"""want""","Charlottesville, VA, USA",TrojanSkyCop1
"""been""","Seattle, WA, USA",TrojanSkyCop1
"""been""","McKinney, TX, USA",TrojanSkyCop1
"""been""","Sterling, VA, USA",TrojanSkyCop1
"""want""","Kilkenny, Ireland",TrojanSkyCop1
"""been""","Irving, TX, USA",TrojanSkyCop1
"""been""","Richmond, VA, USA",TrojanSkyCop1
"""want""","Brasilia, Brazil",TrojanSkyCop1
"""been""","Ontario, CA, USA",TrojanSkyCop1
"""want""","Lviv, Ukraine",TrojanSkyCop1
"""want""","Yalta, Europe",TrojanSkyCop1
"""been""","Rancho Cucamonga, CA, USA",TrojanSkyCop1
"""want""","Killarney, Ireland",TrojanSkyCop1
"""want""","Genoa, Italy",TrojanSkyCop1
"""want""","Ooty (Udhagamandalam), India",TrojanSkyCop1
"""want""","Phuket Town, Thailand",TrojanSkyCop1
"""want""","Karon, Thailand",TrojanSkyCop1
"""been""","Oceanside, CA, USA",TrojanSkyCop1
"""been""","Pristina, Kosovo",TrojanSkyCop1
"""want""","Agra, India",TrojanSkyCop1
"""been""","El Paso, TX, USA",TrojanSkyCop1
"""been""","Ventura, CA, USA",TrojanSkyCop1
"""been""","Little Rock, AR, USA",TrojanSkyCop1
"""want""","Wisconsin Dells, WI, USA",TrojanSkyCop1
"""been""","Springfield, IL, USA",TrojanSkyCop1
"""been""","Death Valley Junction, CA, USA",TrojanSkyCop1
"""been""","Memphis, TN, USA",TrojanSkyCop1
"""been"",""want"",""fave""","Dublin, Ireland",TrojanSkyCop1
"""been""","St. Marys, GA, USA",TrojanSkyCop1
"""want""","San Juan, Puerto Rico",TrojanSkyCop1
"""been"",""fave""","Cork, Ireland",TrojanSkyCop1
"""want""","El Gouna, Egypt",TrojanSkyCop1
"""want""","Odessa, Ukraine",TrojanSkyCop1
"""want""","Jodhpur, India",TrojanSkyCop1
"""want""","Zadar, Croatia",TrojanSkyCop1
"""want""","Udaipur, India",TrojanSkyCop1
"""want""","Dubrovnik, Croatia",TrojanSkyCop1
"""been""","Atlanta, GA, USA",TrojanSkyCop1
"""want""","Gettysburg, PA, USA",TrojanSkyCop1
"""been""","Philadelphia, PA, USA",TrojanSkyCop1
"""been""","Atlantic City, NJ, USA",TrojanSkyCop1
"""want""","Havana, Cuba",TrojanSkyCop1
"""been""","Scarborough, Trinidad and Tobago",TrojanSkyCop1
"""been"",""fave""","Pensacola Beach, FL, USA",TrojanSkyCop1
"""want""","Naha, Japan",TrojanSkyCop1
"""want""","Nagoya, Japan",TrojanSkyCop1
"""want""","Calgary, Alberta, Canada",TrojanSkyCop1
"""want""","Mazatlan, Mexico",TrojanSkyCop1
"""been""","Midleton, Ireland",TrojanSkyCop1
"""been""","Tsugaru, Japan",TrojanSkyCop1
"""want""","Guadalajara, Mexico",TrojanSkyCop1
"""been""","Kinsale, Ireland",TrojanSkyCop1
