tag,place,user
"""been""","Sheffield, UK",TurandotBeau
"""want""","Sao Paulo, Brazil",TurandotBeau
"""been""","San Antonio, TX, USA",TurandotBeau
"""been""","Nafplio, Greece",TurandotBeau
"""been""","San Francisco, CA, USA",TurandotBeau
"""been""","Macau, China",TurandotBeau
"""want""","Rio de Janeiro, Brazil",TurandotBeau
"""been"",""want""","Istanbul, Turkey",TurandotBeau
"""been""","Volos, Greece",TurandotBeau
"""want""","San Juan, Puerto Rico",TurandotBeau
"""want""","Marrakech, Morocco",TurandotBeau
"""been""","Miami, FL, USA",TurandotBeau
"""been""","Miami Beach, FL, USA",TurandotBeau
"""been""","Tulsa, OK, USA",TurandotBeau
"""been""","Singapore, Singapore",TurandotBeau
"""want""","Berlin, Germany",TurandotBeau
"""been""","Granada, Spain",TurandotBeau
"""want""","Tokyo, Japan",TurandotBeau
"""been""","Buxton, UK",TurandotBeau
"""want""","Porto, Portugal",TurandotBeau
"""been""","Edale, UK",TurandotBeau
"""been""","Kelheim, Germany",TurandotBeau
"""been""","Hope, UK",TurandotBeau
"""been""","Xiamen, China",TurandotBeau
"""been""","York, UK",TurandotBeau
"""been""","Rancho Cucamonga, CA, USA",TurandotBeau
"""been""","Brussels, Belgium",TurandotBeau
"""been""","Malaga, Spain",TurandotBeau
"""been""","Raleigh, NC, USA",TurandotBeau
"""want""","Budapest, Hungary",TurandotBeau
"""been"",""want""","Nice, France",TurandotBeau
"""been""","Imerovigli, Greece",TurandotBeau
"""been""","Petrified Forest National Park, AZ, USA",TurandotBeau
"""been""","Baltimore, MD, USA",TurandotBeau
"""been""","Makrinitsa, Greece",TurandotBeau
"""been""","Albuquerque, NM, USA",TurandotBeau
"""been""","Savannah, GA, USA",TurandotBeau
"""been""","La Calahorra, Spain",TurandotBeau
"""been""","Anaheim, CA, USA",TurandotBeau
"""been""","Los Escullos, Spain",TurandotBeau
"""been""","Kalambaka, Greece",TurandotBeau
"""been""","Delphi, Greece",TurandotBeau
"""been""","Frejus, France",TurandotBeau
"""been""","Siena, Italy",TurandotBeau
"""been""","San Gimignano, Italy",TurandotBeau
"""been""","Athens, Greece",TurandotBeau
"""been""","Bruges, Belgium",TurandotBeau
"""been""","Panama City, Panama",TurandotBeau
"""want""","Palma de Mallorca, Spain",TurandotBeau
"""been""","East Rutherford, NJ, USA",TurandotBeau
"""want""","Playa de las Americas, Spain",TurandotBeau
"""been""","Duluth, MN, USA",TurandotBeau
"""been""","Arachova, Greece",TurandotBeau
"""been""","Koke'e State Park, HI, USA",TurandotBeau
"""been""","Firostefani, Greece",TurandotBeau
"""been""","Perissa, Greece",TurandotBeau
"""been""","Guangzhou, China",TurandotBeau
"""been""","Seoul, South Korea",TurandotBeau
"""been""","Palm Springs, CA, USA",TurandotBeau
"""been""","Ann Arbor, MI, USA",TurandotBeau
"""want""","Lisbon, Portugal",TurandotBeau
"""been""","Lucerne, Switzerland",TurandotBeau
"""been""","Florence, Italy",TurandotBeau
"""been""","Kihei, HI, USA",TurandotBeau
"""want""","Mexico City, Mexico",TurandotBeau
"""been""","Lahaina, HI, USA",TurandotBeau
"""been""","Beilngries, Germany",TurandotBeau
"""been""","Toronto, Ontario, Canada",TurandotBeau
"""been""","Kissimmee, FL, USA",TurandotBeau
"""been""","New York City, NY, USA",TurandotBeau
"""been""","Denver, CO, USA",TurandotBeau
"""been""","Monterey, CA, USA",TurandotBeau
"""been""","New Orleans, LA, USA",TurandotBeau
"""been""","Montreal, Quebec, Canada",TurandotBeau
"""been""","Boston, MA, USA",TurandotBeau
"""been""","Bern, Switzerland",TurandotBeau
"""been""","Poipu, HI, USA",TurandotBeau
"""been""","Waimea, HI, USA",TurandotBeau
"""been""","San Diego, CA, USA",TurandotBeau
"""been""","Kahului, HI, USA",TurandotBeau
"""been""","Berkeley, CA, USA",TurandotBeau
"""been""","Eichstatt, Germany",TurandotBeau
