tag,place,user
"""been""","Rosslare Harbour, Ireland",Tyanra
"""been""","Port Douglas, Australia",Tyanra
"""been""","Broadbeach, Australia",Tyanra
"""been""","Noosa, Australia",Tyanra
"""been""","Surfers Paradise, Australia",Tyanra
"""been""","Devonport, New Zealand",Tyanra
"""been""","Beverly Hills, CA, USA",Tyanra
"""been""","Geelong, Australia",Tyanra
"""been""","Stuttgart, Germany",Tyanra
"""been""","Meizhou, China",Tyanra
"""been""","Shepparton, Australia",Tyanra
"""been""","Wellington, New Zealand",Tyanra
"""been""","Tauranga, New Zealand",Tyanra
"""been""","Mildura, Australia",Tyanra
"""been""","Hoppers Crossing, Australia",Tyanra
"""been""","Waterford, Ireland",Tyanra
"""been""","Christchurch, New Zealand",Tyanra
"""been""","Chicago, IL, USA",Tyanra
"""been""","Ennis, Ireland",Tyanra
"""been""","Red Rock, AZ, USA",Tyanra
"""been""","Singapore, Singapore",Tyanra
"""been""","Port Vila, Vanuatu",Tyanra
"""been""","Sligo, Ireland",Tyanra
"""been""","Cape Town Central, South Africa",Tyanra
"""been""","Los Angeles, CA, USA",Tyanra
"""been""","Honolulu, HI, USA",Tyanra
"""been""","Carnarvon, Australia",Tyanra
"""been""","Waimanalo, HI, USA",Tyanra
"""been""","Fossa, Ireland",Tyanra
"""been""","Milford Sound, New Zealand",Tyanra
"""been""","Las Vegas, NV, USA",Tyanra
"""been""","Denarau Island, Fiji",Tyanra
"""been""","Daintree, Australia",Tyanra
"""been""","Luganville, Vanuatu",Tyanra
"""been""","Dingle, Ireland",Tyanra
"""been""","Moree, Australia",Tyanra
"""been""","Tenby, UK",Tyanra
"""been""","Beijing, China",Tyanra
"""been""","Limerick, Ireland",Tyanra
"""been""","San Francisco, CA, USA",Tyanra
"""been""","Hong Kong, China",Tyanra
"""been""","Nadi, Fiji",Tyanra
"""been""","Diamond Creek, Australia",Tyanra
"""been""","Noumea, New Caledonia",Tyanra
"""been""","Adelaide, Australia",Tyanra
"""been""","Tramore, Ireland",Tyanra
"""been""","Windsor, UK",Tyanra
"""been""","Millmerran, Australia",Tyanra
"""been""","Munich, Germany",Tyanra
"""been""","Silverton, Australia",Tyanra
"""been""","Paris, France",Tyanra
"""been""","Plymouth, UK",Tyanra
"""been""","Tralee, Ireland",Tyanra
"""been""","London, UK",Tyanra
"""been""","Killarney, Ireland",Tyanra
"""been""","Cherbourg-Octeville, France",Tyanra
"""been""","Boulder City, NV, USA",Tyanra
"""been""","Sydney, Australia",Tyanra
"""been""","Melbourne, Australia",Tyanra
"""been""","Darwin, Australia",Tyanra
"""been""","Cairns, Australia",Tyanra
"""been""","Brisbane, Australia",Tyanra
"""been""","Wallan, Australia",Tyanra
"""been""","Dublin, Ireland",Tyanra
"""been""","Auckland Central, New Zealand",Tyanra
"""been""","Galway, Ireland",Tyanra
"""been""","Santa Monica, CA, USA",Tyanra
"""been""","Napier, New Zealand",Tyanra
