tag,place,user
"""been""","Beaverton, OR, USA",UofA1
"""been""","Billings, MT, USA",UofA1
"""been""","Columbia Falls, MT, USA",UofA1
"""been""","Oakhurst, CA, USA",UofA1
"""been""","Dickinson, ND, USA",UofA1
"""been""","Taos, NM, USA",UofA1
"""been""","Manitou Springs, CO, USA",UofA1
"""been""","Mariposa, CA, USA",UofA1
"""been""","Phoenix, AZ, USA",UofA1
"""been""","Driggs, ID, USA",UofA1
"""been""","Vernal, UT, USA",UofA1
"""been""","Chinle, AZ, USA",UofA1
"""been""","Sausalito, CA, USA",UofA1
"""been""","Bentonville, AR, USA",UofA1
"""been""","Pioneertown, CA, USA",UofA1
"""been""","Twentynine Palms, CA, USA",UofA1
"""been""","Beatty, NV, USA",UofA1
"""been""","El Prado, NM, USA",UofA1
"""been""","Kanab, UT, USA",UofA1
"""been""","San Francisco, CA, USA",UofA1
"""been""","Sioux Falls, SD, USA",UofA1
"""been""","Sulphur Springs, AR, USA",UofA1
"""been""","Johnson, AR, USA",UofA1
"""been""","Missoula, MT, USA",UofA1
"""been""","Pueblo, CO, USA",UofA1
"""been""","Death Valley National Park, CA, USA",UofA1
"""been""","Baker, CA, USA",UofA1
"""been""","Twin Falls, ID, USA",UofA1
"""been""","Pinetop-Lakeside, AZ, USA",UofA1
"""been""","Fayetteville, AR, USA",UofA1
"""been""","Green River, UT, USA",UofA1
"""been""","Staunton, VA, USA",UofA1
"""been""","Arlington, TX, USA",UofA1
"""been""","Snowmass Village, CO, USA",UofA1
"""been""","Panama City Beach, FL, USA",UofA1
"""been""","Ventura, CA, USA",UofA1
"""been""","Cassville, MO, USA",UofA1
"""been""","Atascadero, CA, USA",UofA1
"""been""","Santa Rosa, NM, USA",UofA1
"""been""","Little Rock, AR, USA",UofA1
"""been""","Three Rivers, CA, USA",UofA1
"""been""","Saint Mary, MT, USA",UofA1
"""been""","Channel Islands National Park, CA, USA",UofA1
"""been""","Clovis, CA, USA",UofA1
"""been""","Lamar, CO, USA",UofA1
"""been""","Glen Allen, VA, USA",UofA1
"""been""","Paso Robles, CA, USA",UofA1
"""been""","Spearfish, SD, USA",UofA1
"""been""","Garden City, KS, USA",UofA1
"""been""","San Simeon, CA, USA",UofA1
"""been""","Sun Valley, ID, USA",UofA1
"""been""","Wind Cave National Park, SD, USA",UofA1
"""been""","Springdale, AR, USA",UofA1
"""been""","Victor, CO, USA",UofA1
"""been""","Flagstaff, AZ, USA",UofA1
"""been""","Morrison, CO, USA",UofA1
"""been""","Aspen, CO, USA",UofA1
"""been""","Eureka Springs, AR, USA",UofA1
"""been""","Lake Havasu City, AZ, USA",UofA1
"""been""","Greenville, MS, USA",UofA1
"""been""","Spokane Valley, WA, USA",UofA1
"""been""","Albuquerque, NM, USA",UofA1
"""been""","Provincetown, MA, USA",UofA1
"""been""","Mill Valley, CA, USA",UofA1
"""been""","Siloam Springs, AR, USA",UofA1
"""been""","Keystone, SD, USA",UofA1
"""been""","Saint Louis, MO, USA",UofA1
"""been""","Winter Park, CO, USA",UofA1
"""been""","Dallas, TX, USA",UofA1
"""been""","Telluride, CO, USA",UofA1
"""been""","Gunnison, CO, USA",UofA1
"""been""","Durango, CO, USA",UofA1
"""been""","Amarillo, TX, USA",UofA1
"""been""","Los Olivos, CA, USA",UofA1
"""been""","Jerome, ID, USA",UofA1
"""been""","Arco, ID, USA",UofA1
"""been""","Whitefish, MT, USA",UofA1
"""been""","Lubec, ME, USA",UofA1
"""been""","Custer, SD, USA",UofA1
"""been""","Death Valley Junction, CA, USA",UofA1
"""been""","Boston, MA, USA",UofA1
