tag,place,user
"""been""","Vancouver, British Columbia, Canada",ValRal77
"""been""","Rumlang, Switzerland",ValRal77
"""been""","Los Angeles, CA, USA",ValRal77
"""been""","Ayia Napa, Cyprus",ValRal77
"""been""","Tallinn, Estonia",ValRal77
"""been""","Amesbury, UK",ValRal77
"""been""","Sinaia, Romania",ValRal77
"""been""","Paris, France",ValRal77
"""been""","Zurich, Switzerland",ValRal77
"""been""","Athens, Greece",ValRal77
"""been""","Kalamaria, Greece",ValRal77
"""been""","Iliochori, Greece",ValRal77
"""been""","McKinley Village, AK, USA",ValRal77
"""been""","Munich, Germany",ValRal77
"""been""","Kos Town, Greece",ValRal77
"""been""","North Vancouver, British Columbia, Canada",ValRal77
"""been""","Richmond, British Columbia, Canada",ValRal77
"""been""","Barcelona, Spain",ValRal77
"""been""","Budapest, Hungary",ValRal77
"""been""","Larnaca, Cyprus",ValRal77
"""been""","Magura, Romania",ValRal77
"""been""","Florence, Italy",ValRal77
"""been""","Belgrade, Serbia",ValRal77
"""been""","Lisbon, Portugal",ValRal77
"""been""","Santorini, Greece",ValRal77
"""been""","Mykonos, Greece",ValRal77
"""been""","Beaumont, France",ValRal77
"""been""","Riga, Latvia",ValRal77
"""been""","Toulouse, France",ValRal77
"""been""","Thessaloniki, Greece",ValRal77
"""been""","Edirne, Turkey",ValRal77
"""been""","Thermi, Greece",ValRal77
"""been""","Possidi, Greece",ValRal77
"""been""","Czestochowa, Poland",ValRal77
"""been""","Vradeto, Greece",ValRal77
"""been""","Frankfurt, Germany",ValRal77
"""been""","Malibu, CA, USA",ValRal77
"""been""","Limassol City, Cyprus",ValRal77
"""been""","Nicosia, Cyprus",ValRal77
"""been""","Nea Redestos, Greece",ValRal77
"""been""","Paphos, Cyprus",ValRal77
"""been""","Berlin, Germany",ValRal77
"""been""","Hersonissos, Greece",ValRal77
"""been""","Ano Pedina, Greece",ValRal77
"""been""","Istanbul, Turkey",ValRal77
"""been""","Prague, Czech Republic",ValRal77
"""been""","Malmesbury, UK",ValRal77
"""been""","Sofia, Bulgaria",ValRal77
"""been""","Crete, Greece",ValRal77
"""been""","Gothenburg, Sweden",ValRal77
"""been""","Bran, Romania",ValRal77
"""been""","Bodrum City, Turkey",ValRal77
"""been""","Rome, Italy",ValRal77
"""been""","Novi Sad, Serbia",ValRal77
"""been""","Santa Monica, CA, USA",ValRal77
"""been""","Oia, Greece",ValRal77
"""been""","Bucharest, Romania",ValRal77
"""been""","Dubai, United Arab Emirates",ValRal77
"""been""","Helsinki, Finland",ValRal77
"""been""","Abu Dhabi, United Arab Emirates",ValRal77
