tag,place,user
"""been""","Daytona Beach, FL, USA",Vegasphotoman1
"""been""","Killeen, TX, USA",Vegasphotoman1
"""been""","Gaylord, MI, USA",Vegasphotoman1
"""been""","Amsterdam, The Netherlands",Vegasphotoman1
"""been""","Pahrump, NV, USA",Vegasphotoman1
"""been""","Tijuana, Mexico",Vegasphotoman1
"""been""","Leadville, CO, USA",Vegasphotoman1
"""been""","Shoshone, CA, USA",Vegasphotoman1
"""been""","Malibu, CA, USA",Vegasphotoman1
"""been""","Barstow, CA, USA",Vegasphotoman1
"""been""","Silverton, CO, USA",Vegasphotoman1
"""been""","North Las Vegas, NV, USA",Vegasphotoman1
"""been""","Cologne, Germany",Vegasphotoman1
"""been""","Wrightstown, NJ, USA",Vegasphotoman1
"""want""","Barcelona, Spain",Vegasphotoman1
"""been""","Newport Beach, CA, USA",Vegasphotoman1
"""want""","Dublin, Ireland",Vegasphotoman1
"""been""","Downieville, CA, USA",Vegasphotoman1
"""been""","Myrtle Beach, SC, USA",Vegasphotoman1
"""been""","Gold Beach, OR, USA",Vegasphotoman1
"""been""","Yakima, WA, USA",Vegasphotoman1
"""been""","June Lake, CA, USA",Vegasphotoman1
"""been""","Aspen, CO, USA",Vegasphotoman1
"""been""","North Vancouver, British Columbia, Canada",Vegasphotoman1
"""been""","Washington DC, DC, USA",Vegasphotoman1
"""want""","Jasper, Alberta, Canada",Vegasphotoman1
"""been""","Detroit, MI, USA",Vegasphotoman1
"""been""","Kanab, UT, USA",Vegasphotoman1
"""been""","Girdwood, AK, USA",Vegasphotoman1
"""been""","Escalante, UT, USA",Vegasphotoman1
"""been""","Glennallen, AK, USA",Vegasphotoman1
"""been""","Amargosa Valley, NV, USA",Vegasphotoman1
"""been""","Tropic, UT, USA",Vegasphotoman1
"""been""","Portland, OR, USA",Vegasphotoman1
"""been""","Basalt, CO, USA",Vegasphotoman1
"""been""","Homer, AK, USA",Vegasphotoman1
"""been""","Chickaloon, AK, USA",Vegasphotoman1
"""been""","La Jolla, CA, USA",Vegasphotoman1
"""been""","Mount Clemens, MI, USA",Vegasphotoman1
"""been""","Soldotna, AK, USA",Vegasphotoman1
"""been"",""want""","Orlando, FL, USA",Vegasphotoman1
"""want""","Banff, Alberta, Canada",Vegasphotoman1
"""been""","Farmington, NM, USA",Vegasphotoman1
"""been""","Grand Rapids, MI, USA",Vegasphotoman1
"""want""","Puerto Vallarta, Mexico",Vegasphotoman1
"""been""","Teton Village, WY, USA",Vegasphotoman1
"""been""","Boyne Falls, MI, USA",Vegasphotoman1
"""been""","Boyne City, MI, USA",Vegasphotoman1
"""been""","Glendale, AZ, USA",Vegasphotoman1
"""been""","Sedona, AZ, USA",Vegasphotoman1
"""been""","Chico, CA, USA",Vegasphotoman1
"""been""","Mariposa, CA, USA",Vegasphotoman1
"""been""","Scottsdale, AZ, USA",Vegasphotoman1
"""been""","Logan, UT, USA",Vegasphotoman1
"""been""","Manitou Springs, CO, USA",Vegasphotoman1
"""been""","Steamboat Springs, CO, USA",Vegasphotoman1
"""want""","Prague, Czech Republic",Vegasphotoman1
"""been""","Reno, NV, USA",Vegasphotoman1
"""been""","Panguitch, UT, USA",Vegasphotoman1
"""been""","East Lansing, MI, USA",Vegasphotoman1
"""been""","Wyandotte, MI, USA",Vegasphotoman1
"""want""","Cabo San Lucas, Mexico",Vegasphotoman1
"""want""","Cairo, Egypt",Vegasphotoman1
"""been""","Juneau, AK, USA",Vegasphotoman1
"""want""","Glasgow, UK",Vegasphotoman1
"""been""","DuBois, PA, USA",Vegasphotoman1
"""been""","Brooklyn, NY, USA",Vegasphotoman1
"""been""","Escondido, CA, USA",Vegasphotoman1
"""been""","Glenwood Springs, CO, USA",Vegasphotoman1
"""been""","Lansing, MI, USA",Vegasphotoman1
