tag,place,user
"""been""","Hong Kong, China",Venetian25
"""want""","Helsinki, Finland",Venetian25
"""want""","Madrid, Spain",Venetian25
"""want""","Beijing, China",Venetian25
"""want""","Antalya, Turkey",Venetian25
"""want""","Nahari-cho, Japan",Venetian25
"""want""","Hanoi, Vietnam",Venetian25
"""want""","Ho Chi Minh City, Vietnam",Venetian25
"""been""","North Conway, NH, USA",Venetian25
"""been""","Kusadasi, Turkey",Venetian25
"""want""","Copenhagen, Denmark",Venetian25
"""been""","Sedona, AZ, USA",Venetian25
"""been""","Scottsdale, AZ, USA",Venetian25
"""been""","Seattle, WA, USA",Venetian25
"""been"",""want""","Chiang Mai, Thailand",Venetian25
"""want""","Bophut, Thailand",Venetian25
"""been""","Bangkok, Thailand",Venetian25
"""want""","Taipei, Taiwan",Venetian25
"""want""","Shanghai, China",Venetian25
"""been"",""want"",""fave""","Kurashiki, Japan",Venetian25
"""been"",""want"",""fave""","Okayama, Japan",Venetian25
"""been"",""want"",""fave""","Matsue, Japan",Venetian25
"""been""","Venice, Italy",Venetian25
"""want""","Nice, France",Venetian25
"""been""","Cabo San Lucas, Mexico",Venetian25
"""been""","New York City, NY, USA",Venetian25
"""want""","Prague, Czech Republic",Venetian25
"""been""","Santa Barbara, CA, USA",Venetian25
"""been""","New Orleans, LA, USA",Venetian25
"""want""","Lima, Peru",Venetian25
"""been""","Santa Ana, CA, USA",Venetian25
"""want""","Cusco, Peru",Venetian25
"""been""","Boston, MA, USA",Venetian25
"""been"",""want"",""fave""","Ise, Japan",Venetian25
"""been"",""want"",""fave""","Komatsu, Japan",Venetian25
"""been""","Dallas, TX, USA",Venetian25
"""been""","Huntington Beach, CA, USA",Venetian25
"""been"",""want"",""fave""","Matsumoto, Japan",Venetian25
"""want""","Chiyoda, Japan",Venetian25
"""want""","Moscow, Russia",Venetian25
"""been""","Amsterdam, The Netherlands",Venetian25
"""been""","Paris, France",Venetian25
"""been""","Naples, Italy",Venetian25
"""want""","Hoi An, Vietnam",Venetian25
"""been"",""want"",""fave""","Aso, Japan",Venetian25
"""want""","Minato, Japan",Venetian25
"""been""","Istanbul, Turkey",Venetian25
"""want""","Patong, Thailand",Venetian25
"""want""","Shinjuku, Japan",Venetian25
"""been"",""want"",""fave""","Shirakawa-mura, Japan",Venetian25
"""been"",""want"",""fave""","Nara, Japan",Venetian25
"""been"",""want"",""fave""","Takamatsu, Japan",Venetian25
"""been"",""want"",""fave""","Takayama, Japan",Venetian25
"""been"",""want"",""fave""","Kanazawa, Japan",Venetian25
"""want""","Barcelona, Spain",Venetian25
"""want""","Playa Blanca, Spain",Venetian25
"""been""","Niagara Falls, Ontario, Canada",Venetian25
"""been""","Florence, Italy",Venetian25
"""want""","Lisbon, Portugal",Venetian25
"""want""","Cologne, Germany",Venetian25
"""want""","Marseille, France",Venetian25
"""been"",""want"",""fave""","Kumano, Japan",Venetian25
"""been""","Seal Beach, CA, USA",Venetian25
"""been"",""want"",""fave""","Matsusaka, Japan",Venetian25
"""been""","Miami, FL, USA",Venetian25
"""been"",""want"",""fave""","Nabari, Japan",Venetian25
"""been"",""want"",""fave""","Owase, Japan",Venetian25
"""been""","Portland, OR, USA",Venetian25
"""want""","Naha, Japan",Venetian25
"""been""","Long Beach, CA, USA",Venetian25
"""want""","Singapore, Singapore",Venetian25
"""want""","Granada, Spain",Venetian25
"""want""","Seville, Spain",Venetian25
"""been"",""want"",""fave""","Nikko, Japan",Venetian25
"""been"",""want""","Tokyo, Japan",Venetian25
"""want""","London, UK",Venetian25
"""been""","Munich, Germany",Venetian25
"""been"",""want"",""fave""","Hida, Japan",Venetian25
"""been""","Montreal, Quebec, Canada",Venetian25
"""been""","San Francisco, CA, USA",Venetian25
"""been""","Rhodes, Greece",Venetian25
"""been""","Santa Monica, CA, USA",Venetian25
"""been""","San Antonio, TX, USA",Venetian25
"""been"",""want"",""fave""","Shingu, Japan",Venetian25
"""been"",""want"",""fave""","Nagasaki, Japan",Venetian25
"""been""","Napa, CA, USA",Venetian25
"""want""","Fukuoka, Japan",Venetian25
"""been""","Phoenix, AZ, USA",Venetian25
"""been"",""want"",""fave""","Kumamoto, Japan",Venetian25
"""want""","Stockholm, Sweden",Venetian25
"""been"",""want""","Rome, Italy",Venetian25
"""been""","Imerovigli, Greece",Venetian25
"""been"",""want"",""fave""","Takachiho-cho, Japan",Venetian25
"""been"",""want"",""fave""","Koya-cho, Japan",Venetian25
"""been""","Brooklyn, NY, USA",Venetian25
"""been""","Bar Harbor, ME, USA",Venetian25
"""want""","Sapporo, Japan",Venetian25
"""been""","Kyoto, Japan",Venetian25
"""want""","Osaka, Japan",Venetian25
"""been""","Toronto, Ontario, Canada",Venetian25
"""been"",""want""","Athens, Greece",Venetian25
"""want""","Rio de Janeiro, Brazil",Venetian25
"""been""","Atlanta, GA, USA",Venetian25
"""been""","Anaheim, CA, USA",Venetian25
"""been""","Milan, Italy",Venetian25
"""been""","Garden Grove, CA, USA",Venetian25
"""want""","Buenos Aires, Argentina",Venetian25
"""want""","Brisbane, Australia",Venetian25
"""want""","Melbourne, Australia",Venetian25
"""been""","Vienna, Austria",Venetian25
"""been""","Chicago, IL, USA",Venetian25
"""want""","Seoul, South Korea",Venetian25
"""been""","Las Vegas, NV, USA",Venetian25
