tag,place,user
"""been""","Copenhagen, Denmark",Ville_VK
"""been""","Grand Canyon National Park, AZ, USA",Ville_VK
"""been""","Lafayette, LA, USA",Ville_VK
"""been""","Verdun, France",Ville_VK
"""been""","Alghero, Italy",Ville_VK
"""been""","Vienna, Austria",Ville_VK
"""been""","Alexandria, Egypt",Ville_VK
"""been""","Berlin, Germany",Ville_VK
"""been""","La Rochelle, France",Ville_VK
"""been""","Catania, Italy",Ville_VK
"""been""","Shanghai, China",Ville_VK
"""been""","Tampere, Finland",Ville_VK
"""been""","West Hollywood, CA, USA",Ville_VK
"""been""","Birmingham, AL, USA",Ville_VK
"""been""","Santa Cruz, CA, USA",Ville_VK
"""been""","New Orleans, LA, USA",Ville_VK
"""been""","Roswell, NM, USA",Ville_VK
"""been""","Mont-Saint-Michel, France",Ville_VK
"""been""","Rome, Italy",Ville_VK
"""been""","Nantes, France",Ville_VK
"""been""","Crete, Greece",Ville_VK
"""been""","Stockholm, Sweden",Ville_VK
"""been""","Dijon, France",Ville_VK
"""been""","Venice, Italy",Ville_VK
"""been""","Vatican City, Vatican City",Ville_VK
"""been""","Bordeaux, France",Ville_VK
"""been""","Kata Beach, Thailand",Ville_VK
"""been""","Malaga, Spain",Ville_VK
"""been""","Austin, TX, USA",Ville_VK
"""been""","Houston, TX, USA",Ville_VK
"""been""","Marbella, Spain",Ville_VK
"""been""","Dubai, United Arab Emirates",Ville_VK
"""been""","Albuquerque, NM, USA",Ville_VK
"""been""","Suez, Egypt",Ville_VK
"""been""","Atlanta, GA, USA",Ville_VK
"""been""","Bangkok, Thailand",Ville_VK
"""been""","Napa, CA, USA",Ville_VK
"""been""","Petrified Forest National Park, AZ, USA",Ville_VK
"""been""","Le Havre, France",Ville_VK
"""been""","Pattaya, Thailand",Ville_VK
"""been""","Oslo, Norway",Ville_VK
"""been""","Sancerre, France",Ville_VK
"""been""","Philae, Egypt",Ville_VK
"""been""","Funchal, Portugal",Ville_VK
"""been""","Luxembourg City, Luxembourg",Ville_VK
"""been""","Rotterdam, The Netherlands",Ville_VK
"""been""","Paris, France",Ville_VK
"""been""","Palma de Mallorca, Spain",Ville_VK
"""been""","Lyon, France",Ville_VK
"""been""","Porto Santo Island, Portugal",Ville_VK
"""been""","Luxor, Egypt",Ville_VK
"""been""","Versailles, France",Ville_VK
"""been""","Calistoga, CA, USA",Ville_VK
"""been""","Almeria, Spain",Ville_VK
"""been""","Cairo, Egypt",Ville_VK
"""been""","Manama, Bahrain",Ville_VK
"""been""","London, UK",Ville_VK
"""been""","Giza, Egypt",Ville_VK
"""been""","Sonoma, CA, USA",Ville_VK
"""been""","Los Angeles, CA, USA",Ville_VK
"""been""","Prague, Czech Republic",Ville_VK
"""been""","Monterey, CA, USA",Ville_VK
"""been""","New York City, NY, USA",Ville_VK
"""been""","Amsterdam, The Netherlands",Ville_VK
"""been""","Las Vegas, NV, USA",Ville_VK
"""been""","Palermo, Italy",Ville_VK
"""been""","Marseille, France",Ville_VK
"""been""","Syracuse, Italy",Ville_VK
"""been""","Tours, France",Ville_VK
"""been""","Beverly Hills, CA, USA",Ville_VK
"""been""","Playa del Ingles, Spain",Ville_VK
"""been""","Florence, Italy",Ville_VK
"""been""","Hamburg, Germany",Ville_VK
"""been""","Taormina, Italy",Ville_VK
"""been""","Riga, Latvia",Ville_VK
"""been""","Lille, France",Ville_VK
"""been""","Hurghada, Egypt",Ville_VK
"""been""","Reims, France",Ville_VK
"""been""","Santa Barbara, CA, USA",Ville_VK
"""been""","St. Helena, CA, USA",Ville_VK
"""been""","San Francisco, CA, USA",Ville_VK
"""been""","San Simeon, CA, USA",Ville_VK
"""been"",""fave""","Milan, Italy",Ville_VK
"""been""","Al Karnak, Egypt",Ville_VK
"""been""","Tallinn, Estonia",Ville_VK
"""been""","San Diego, CA, USA",Ville_VK
"""been""","Washington DC, DC, USA",Ville_VK
"""been""","Playa de las Americas, Spain",Ville_VK
