tag,place,user
"""been""","Hawthorn, Australia",Walshfamily4
"""been""","Paris, France",Walshfamily4
"""been""","Anacapri, Italy",Walshfamily4
"""been""","London, UK",Walshfamily4
"""been""","Patong, Thailand",Walshfamily4
"""been""","Chalong, Thailand",Walshfamily4
"""been""","Warwick, Australia",Walshfamily4
"""been""","Kata Beach, Thailand",Walshfamily4
"""been""","Blackburn, Australia",Walshfamily4
"""been""","Los Angeles, CA, USA",Walshfamily4
"""been""","Moltrasio, Italy",Walshfamily4
"""been""","Huddersfield, UK",Walshfamily4
"""been""","Wichit, Thailand",Walshfamily4
"""been""","Blairgowrie, Australia",Walshfamily4
"""been""","Noosaville, Australia",Walshfamily4
"""been""","Alghero, Italy",Walshfamily4
"""been""","Sorrento, Italy",Walshfamily4
"""been""","Kamala, Thailand",Walshfamily4
"""been""","Florence, Italy",Walshfamily4
"""been""","Sorrento, Australia",Walshfamily4
"""been""","Positano, Italy",Walshfamily4
"""been""","Dubbo, Australia",Walshfamily4
"""been""","Kew, Australia",Walshfamily4
"""been""","Rome, Italy",Walshfamily4
"""been""","Noosa, Australia",Walshfamily4
"""been""","West Hollywood, CA, USA",Walshfamily4
