tag,place,user
"""been""","Tusayan, AZ, USA",Wayicit
"""been""","Philadelphia, PA, USA",Wayicit
"""been""","Santa Monica, CA, USA",Wayicit
"""been""","Tucson, AZ, USA",Wayicit
"""been""","Puerto Morelos, Mexico",Wayicit
"""been""","Gettysburg, PA, USA",Wayicit
"""been""","San Francisco, CA, USA",Wayicit
"""been""","Atlantic City, NJ, USA",Wayicit
"""been""","Toronto, Ontario, Canada",Wayicit
"""been""","San Salvador, El Salvador",Wayicit
"""been""","Florence, Italy",Wayicit
"""been""","Columbus, OH, USA",Wayicit
"""been""","Sacramento, CA, USA",Wayicit
"""been""","Huntington Beach, CA, USA",Wayicit
"""been""","Dublin, Ireland",Wayicit
"""been""","Santa Fe, NM, USA",Wayicit
"""been""","Palm Beach, FL, USA",Wayicit
"""been""","George Town, Cayman Islands",Wayicit
"""been""","Grand Cayman, Cayman Islands",Wayicit
"""been""","Beverly Hills, CA, USA",Wayicit
"""been""","Hershey, PA, USA",Wayicit
"""been""","Las Vegas, NV, USA",Wayicit
"""been""","Chicago, IL, USA",Wayicit
"""been""","Wildwood, NJ, USA",Wayicit
"""been""","Pompeii, Italy",Wayicit
"""been""","Paris, France",Wayicit
"""been""","Naples, Italy",Wayicit
"""been""","Capri, Italy",Wayicit
"""been""","Laguna Beach, CA, USA",Wayicit
"""been""","Providence, RI, USA",Wayicit
"""been""","Durham, NC, USA",Wayicit
"""been""","Playa Paraiso, Mexico",Wayicit
"""been""","London, UK",Wayicit
"""been""","Seven Mile Beach, Cayman Islands",Wayicit
"""been""","Boardman, OH, USA",Wayicit
"""been""","Anaheim, CA, USA",Wayicit
"""been""","North Myrtle Beach, SC, USA",Wayicit
"""been""","Punta Cana, Dominican Republic",Wayicit
"""been""","Baltimore, MD, USA",Wayicit
"""been""","Albuquerque, NM, USA",Wayicit
"""been""","Ocean City, MD, USA",Wayicit
"""been""","Puerto Plata, Dominican Republic",Wayicit
"""been""","Nuevo Vallarta, Mexico",Wayicit
"""been""","Rome, Italy",Wayicit
"""been""","Raleigh, NC, USA",Wayicit
"""been""","Canton, OH, USA",Wayicit
"""been""","Oceanside, CA, USA",Wayicit
"""been""","Miami Beach, FL, USA",Wayicit
"""been""","Cleveland, OH, USA",Wayicit
"""been""","Miami, FL, USA",Wayicit
"""been""","Los Angeles, CA, USA",Wayicit
"""been""","Tampa, FL, USA",Wayicit
"""been""","Irvine, CA, USA",Wayicit
"""been""","Canfield, OH, USA",Wayicit
"""been""","New York City, NY, USA",Wayicit
"""been""","Poland, OH, USA",Wayicit
"""been""","Pittsburgh, PA, USA",Wayicit
"""been""","Alexandria, VA, USA",Wayicit
"""been""","Long Beach, CA, USA",Wayicit
"""been""","Napa, CA, USA",Wayicit
"""been""","Niagara Falls, NY, USA",Wayicit
"""been""","Milan, Italy",Wayicit
"""been""","Phoenix, AZ, USA",Wayicit
"""been""","West Hollywood, CA, USA",Wayicit
"""been""","Winston Salem, NC, USA",Wayicit
"""been""","Erie, PA, USA",Wayicit
"""been""","Rochester, NY, USA",Wayicit
"""been""","Sandusky, OH, USA",Wayicit
"""been""","Aurora, OH, USA",Wayicit
"""been""","Dana Point, CA, USA",Wayicit
"""been""","West Palm Beach, FL, USA",Wayicit
"""been""","Delray Beach, FL, USA",Wayicit
"""been""","St. Helena, CA, USA",Wayicit
"""been""","Hollywood, FL, USA",Wayicit
"""been""","Cabo San Lucas, Mexico",Wayicit
"""been""","New Orleans, LA, USA",Wayicit
"""been""","Detroit, MI, USA",Wayicit
"""been""","Boston, MA, USA",Wayicit
"""been""","Ashtabula, OH, USA",Wayicit
"""been""","Washington DC, DC, USA",Wayicit
"""been""","Myrtle Beach, SC, USA",Wayicit
"""been""","Manchester, UK",Wayicit
"""been""","Long Island City, NY, USA",Wayicit
"""been""","Nairobi, Kenya",Wayicit
"""been""","Arlington, VA, USA",Wayicit
"""been""","Lancaster, PA, USA",Wayicit
"""been""","Williamsburg, VA, USA",Wayicit
"""been""","Boca Raton, FL, USA",Wayicit
"""been""","Flagstaff, AZ, USA",Wayicit
"""been""","Provincetown, MA, USA",Wayicit
"""been""","Newark, NJ, USA",Wayicit
"""been""","Williams, AZ, USA",Wayicit
"""been""","Harrisburg, PA, USA",Wayicit
"""been""","Venice, Italy",Wayicit
"""been""","Orlando, FL, USA",Wayicit
"""been""","Newport, RI, USA",Wayicit
"""been""","La Jolla, CA, USA",Wayicit
"""been""","Cape Canaveral, FL, USA",Wayicit
"""been""","Yountville, CA, USA",Wayicit
"""been""","Carlsbad, CA, USA",Wayicit
"""been""","Niagara Falls, Ontario, Canada",Wayicit
"""been""","Freeport, Bahamas",Wayicit
"""been""","Hanoverton, OH, USA",Wayicit
"""been""","Puerto Vallarta, Mexico",Wayicit
"""been""","Wilmington, NC, USA",Wayicit
"""been""","Palm Springs, CA, USA",Wayicit
"""been""","Palm Desert, CA, USA",Wayicit
"""been""","Fort Lauderdale, FL, USA",Wayicit
"""been""","Cap-Haitien, Haiti",Wayicit
"""been""","Naples, FL, USA",Wayicit
"""been""","Geneva on the Lake, OH, USA",Wayicit
"""been""","Youngstown, OH, USA",Wayicit
"""been""","Sedona, AZ, USA",Wayicit
"""been""","Wilton Manors, FL, USA",Wayicit
"""been""","Bologna, Italy",Wayicit
"""been""","Scottsdale, AZ, USA",Wayicit
