tag,place,user
"""been""","Casper, WY, USA",WestJordanJim
"""been""","West Valley City, UT, USA",WestJordanJim
"""been""","Taylorsville, UT, USA",WestJordanJim
"""been""","West Jordan, UT, USA",WestJordanJim
"""been""","Sandy, UT, USA",WestJordanJim
"""been""","Syracuse, UT, USA",WestJordanJim
"""been""","Alta, UT, USA",WestJordanJim
"""been""","Groveland, CA, USA",WestJordanJim
"""been""","Bingham Canyon, UT, USA",WestJordanJim
"""been""","Sutherlin, OR, USA",WestJordanJim
"""been""","Farmington, UT, USA",WestJordanJim
"""been""","Holladay, UT, USA",WestJordanJim
"""been""","Crescent City, CA, USA",WestJordanJim
"""been""","Salt Lake City, UT, USA",WestJordanJim
"""been""","Redding, CA, USA",WestJordanJim
"""been""","Los Angeles, CA, USA",WestJordanJim
"""been""","Kearns, UT, USA",WestJordanJim
"""been""","Murray, UT, USA",WestJordanJim
"""been""","South Jordan, UT, USA",WestJordanJim
"""been""","Orlando, FL, USA",WestJordanJim
"""been""","Magna, UT, USA",WestJordanJim
"""been""","Park City, UT, USA",WestJordanJim
"""been""","Hill City, SD, USA",WestJordanJim
"""been""","Roseburg, OR, USA",WestJordanJim
"""been""","St. George, UT, USA",WestJordanJim
"""been""","Fillmore, UT, USA",WestJordanJim
"""been""","Brighton, UT, USA",WestJordanJim
"""been""","Newport, OR, USA",WestJordanJim
"""been""","Bountiful, UT, USA",WestJordanJim
"""been""","Layton, UT, USA",WestJordanJim
"""been""","Midvale, UT, USA",WestJordanJim
