tag,place,user
"""been"",""fave""","Geneva, Switzerland",Wirraltravller
"""been"",""fave""","Cape Town Central, South Africa",Wirraltravller
"""been"",""fave""","New York City, NY, USA",Wirraltravller
"""been""","Aberystwyth, UK",Wirraltravller
"""been""","Hong Kong, China",Wirraltravller
"""been""","Adelaide, Australia",Wirraltravller
"""been""","Adeje, Spain",Wirraltravller
"""been""","Toronto, Ontario, Canada",Wirraltravller
"""been""","Benalmadena, Spain",Wirraltravller
"""been""","Limassol City, Cyprus",Wirraltravller
"""been""","Playa Mujeres, Mexico",Wirraltravller
"""been""","Marmaris, Turkey",Wirraltravller
"""been""","Lucerne, Switzerland",Wirraltravller
"""been""","Playa del Ingles, Spain",Wirraltravller
"""been""","Paphos, Cyprus",Wirraltravller
"""been""","San Diego, CA, USA",Wirraltravller
"""been""","Jakarta, Indonesia",Wirraltravller
"""been""","Beverly Hills, CA, USA",Wirraltravller
"""been""","Mauritius, Africa",Wirraltravller
"""been""","Playa de las Americas, Spain",Wirraltravller
"""been""","Santa Barbara, CA, USA",Wirraltravller
"""been""","Picton, New Zealand",Wirraltravller
"""been""","Amalfi, Italy",Wirraltravller
"""been""","Sorrento, Italy",Wirraltravller
"""been""","Funchal, Portugal",Wirraltravller
"""been""","Windermere, UK",Wirraltravller
"""been""","Fremantle, Australia",Wirraltravller
"""been""","Kos Town, Greece",Wirraltravller
"""been""","Blackpool, UK",Wirraltravller
"""been""","Naples, Italy",Wirraltravller
"""been""","Liverpool, UK",Wirraltravller
"""been""","Cairo, Egypt",Wirraltravller
"""been""","London, UK",Wirraltravller
"""been""","Clearwater, FL, USA",Wirraltravller
"""been""","Santa Monica, CA, USA",Wirraltravller
"""been""","Phoenix, AZ, USA",Wirraltravller
"""been""","Vancouver, British Columbia, Canada",Wirraltravller
"""been""","Cocoa Beach, FL, USA",Wirraltravller
"""been""","Mykonos Town, Greece",Wirraltravller
"""been""","Southport, UK",Wirraltravller
"""been""","Reykjavik, Iceland",Wirraltravller
"""been""","Rome, Italy",Wirraltravller
"""been""","Kassiopi, Greece",Wirraltravller
"""been""","Cardiff, UK",Wirraltravller
"""been""","Bristol, UK",Wirraltravller
"""been""","Lake Tekapo, New Zealand",Wirraltravller
"""been""","Norwich, UK",Wirraltravller
"""been""","Bromley Cross, UK",Wirraltravller
"""been""","Las Vegas, NV, USA",Wirraltravller
"""been""","York, UK",Wirraltravller
"""been""","Dubai, United Arab Emirates",Wirraltravller
"""been""","Malaga, Spain",Wirraltravller
"""been""","Beijing, China",Wirraltravller
"""been""","Antalya, Turkey",Wirraltravller
"""been""","Fira, Greece",Wirraltravller
"""been""","Luxor, Egypt",Wirraltravller
"""been""","Oia, Greece",Wirraltravller
"""been""","Vaitape, French Polynesia",Wirraltravller
"""been""","Anaheim, CA, USA",Wirraltravller
"""been""","Bangkok, Thailand",Wirraltravller
"""been""","Memphis, TN, USA",Wirraltravller
"""been""","Table Mountain National Park, South Africa",Wirraltravller
"""been""","New Brighton, UK",Wirraltravller
"""been""","Miami, FL, USA",Wirraltravller
"""been""","Llandrindod Wells, UK",Wirraltravller
"""been""","Miami Beach, FL, USA",Wirraltravller
"""been""","Tampa, FL, USA",Wirraltravller
"""been""","Jersey, UK",Wirraltravller
"""been""","Torremolinos, Spain",Wirraltravller
"""been""","Chester, UK",Wirraltravller
"""been"",""want""","Berlin, Germany",Wirraltravller
"""been""","Pointe Aux Piments, Africa",Wirraltravller
"""been""","Canberra, Australia",Wirraltravller
"""been""","Newquay, UK",Wirraltravller
"""been""","Krabi Town, Thailand",Wirraltravller
"""been""","Marbella, Spain",Wirraltravller
"""want""","Rio de Janeiro, Brazil",Wirraltravller
"""been""","Llandudno, UK",Wirraltravller
"""been""","Corralejo, Spain",Wirraltravller
"""been""","Acapulco, Mexico",Wirraltravller
"""been""","Palmanova, Spain",Wirraltravller
"""been""","Oxford, UK",Wirraltravller
"""been""","Hamburg, Germany",Wirraltravller
