tag,place,user
"""been""","Chattanooga, TN, USA",WolfgangThis
"""been""","Playa del Carmen, Mexico",WolfgangThis
"""been""","Columbus, OH, USA",WolfgangThis
"""want""","Tijuana, Mexico",WolfgangThis
"""been""","Niagara Falls, NY, USA",WolfgangThis
"""been""","Parsons, KS, USA",WolfgangThis
"""been""","Sacramento, CA, USA",WolfgangThis
"""been""","Dublin, Ireland",WolfgangThis
"""been""","Philadelphia, PA, USA",WolfgangThis
"""been""","Santa Barbara, CA, USA",WolfgangThis
"""been""","Florence, Italy",WolfgangThis
"""been""","Tucson, AZ, USA",WolfgangThis
"""want""","Barcelona, Spain",WolfgangThis
"""been""","Ensenada, Mexico",WolfgangThis
"""been""","San Antonio, TX, USA",WolfgangThis
"""been""","San Francisco, CA, USA",WolfgangThis
"""been""","Cologne, Germany",WolfgangThis
"""been""","Beverly Hills, CA, USA",WolfgangThis
"""been""","Santa Fe, NM, USA",WolfgangThis
"""been""","Memphis, TN, USA",WolfgangThis
"""been""","Lexington, GA, USA",WolfgangThis
"""want""","Kuala Lumpur, Malaysia",WolfgangThis
"""been""","Pittsburgh, PA, USA",WolfgangThis
"""been""","Nashville, TN, USA",WolfgangThis
"""been""","Salzburg, Austria",WolfgangThis
"""want""","Stockholm, Sweden",WolfgangThis
"""been""","Napa, CA, USA",WolfgangThis
"""been""","Atlantic City, NJ, USA",WolfgangThis
"""been""","Long Beach, CA, USA",WolfgangThis
"""been""","Raleigh, NC, USA",WolfgangThis
"""want""","Nassau, Bahamas",WolfgangThis
"""been""","Grand Junction, CO, USA",WolfgangThis
"""been""","Montreal, Quebec, Canada",WolfgangThis
"""want""","Quebec City, Quebec, Canada",WolfgangThis
"""been""","Manchester, TN, USA",WolfgangThis
"""been""","Gatlinburg, TN, USA",WolfgangThis
"""been""","Phoenix, AZ, USA",WolfgangThis
"""been""","Panama City Beach, FL, USA",WolfgangThis
"""been""","Geneva, Switzerland",WolfgangThis
"""been""","Clearwater, FL, USA",WolfgangThis
"""been""","Santa Monica, CA, USA",WolfgangThis
"""been""","North Myrtle Beach, SC, USA",WolfgangThis
"""been""","Irving, TX, USA",WolfgangThis
"""been""","Los Angeles, CA, USA",WolfgangThis
"""been""","Miami, FL, USA",WolfgangThis
"""been"",""want""","Miami Beach, FL, USA",WolfgangThis
"""been""","Tampa, FL, USA",WolfgangThis
"""been""","Milwaukee, WI, USA",WolfgangThis
"""been""","Avalon, CA, USA",WolfgangThis
"""been""","Chicago, IL, USA",WolfgangThis
"""been""","Richmond, VA, USA",WolfgangThis
"""want""","Madrid, Spain",WolfgangThis
"""been""","Anaheim, CA, USA",WolfgangThis
"""been""","Louisville, KY, USA",WolfgangThis
"""been""","Austin, TX, USA",WolfgangThis
"""been""","Pensacola, FL, USA",WolfgangThis
"""been""","Richlands, VA, USA",WolfgangThis
"""been""","Atlanta, GA, USA",WolfgangThis
"""been""","Nice, France",WolfgangThis
"""want""","Sydney, Australia",WolfgangThis
"""been""","Venice, Italy",WolfgangThis
"""been""","Rawlins, WY, USA",WolfgangThis
"""been""","Savannah, GA, USA",WolfgangThis
"""been""","Portland, OR, USA",WolfgangThis
"""been""","Baltimore, MD, USA",WolfgangThis
"""been""","Albuquerque, NM, USA",WolfgangThis
"""been""","Vienna, Austria",WolfgangThis
"""been""","Duncanville, TX, USA",WolfgangThis
"""been""","Pounding Mill, VA, USA",WolfgangThis
"""want""","Mexico City, Mexico",WolfgangThis
"""been""","Las Vegas, NV, USA",WolfgangThis
"""been""","Hershey, PA, USA",WolfgangThis
"""been""","Budapest, Hungary",WolfgangThis
"""been""","Cancun, Mexico",WolfgangThis
"""been"",""want""","Melbourne, Australia",WolfgangThis
"""want""","Brisbane, Australia",WolfgangThis
"""want""","Glasgow, UK",WolfgangThis
"""been""","Arlington, VA, USA",WolfgangThis
"""want""","Manchester, UK",WolfgangThis
"""been""","Oklahoma City, OK, USA",WolfgangThis
"""been""","Saint Charles, MO, USA",WolfgangThis
"""been""","Toronto, Ontario, Canada",WolfgangThis
"""want""","Bruges, Belgium",WolfgangThis
"""been""","Brooklyn, NY, USA",WolfgangThis
"""been""","Reno, NV, USA",WolfgangThis
"""want""","Cabo San Lucas, Mexico",WolfgangThis
"""been"",""want""","San Juan, Puerto Rico",WolfgangThis
"""been""","Dallas, TX, USA",WolfgangThis
"""been""","College Park, GA, USA",WolfgangThis
"""been""","Washington DC, DC, USA",WolfgangThis
"""been""","Athens, Greece",WolfgangThis
"""been""","Indianapolis, IN, USA",WolfgangThis
"""been""","Cairo, Egypt",WolfgangThis
"""been""","San Diego, CA, USA",WolfgangThis
"""been""","La Vergne, TN, USA",WolfgangThis
"""want""","Edinburgh, UK",WolfgangThis
"""been""","Cincinnati, OH, USA",WolfgangThis
"""been""","Colorado Springs, CO, USA",WolfgangThis
"""been""","Frankfurt, Germany",WolfgangThis
"""been""","Pigeon Forge, TN, USA",WolfgangThis
"""been""","West Palm Beach, FL, USA",WolfgangThis
"""been""","Lahaina, HI, USA",WolfgangThis
"""been""","Hamburg, Germany",WolfgangThis
"""want""","Bangkok, Thailand",WolfgangThis
"""been""","Seattle, WA, USA",WolfgangThis
"""been""","Houston, TX, USA",WolfgangThis
"""been""","Fontana, CA, USA",WolfgangThis
"""been""","Daytona Beach, FL, USA",WolfgangThis
"""been""","Newark, NJ, USA",WolfgangThis
"""want""","Victoria, British Columbia, Canada",WolfgangThis
"""been""","Fargo, ND, USA",WolfgangThis
"""been""","Carlisle, PA, USA",WolfgangThis
"""been""","Kent, WA, USA",WolfgangThis
"""been""","Minneapolis, MN, USA",WolfgangThis
"""been""","Fort Lauderdale, FL, USA",WolfgangThis
"""been""","Milan, Italy",WolfgangThis
"""been""","Beijing, China",WolfgangThis
"""been""","Palm Springs, CA, USA",WolfgangThis
"""been""","Charlotte, NC, USA",WolfgangThis
"""want""","Dubai, United Arab Emirates",WolfgangThis
"""been""","West Hollywood, CA, USA",WolfgangThis
"""been""","Charleston, SC, USA",WolfgangThis
"""want""","Hong Kong, China",WolfgangThis
"""been""","Prague, Czech Republic",WolfgangThis
"""been""","Scottsdale, AZ, USA",WolfgangThis
"""been""","Sedona, AZ, USA",WolfgangThis
"""been""","Naples, FL, USA",WolfgangThis
"""been""","Berlin, Germany",WolfgangThis
"""been""","New York City, NY, USA",WolfgangThis
"""been""","Butte, MT, USA",WolfgangThis
"""been""","Kansas City, MO, USA",WolfgangThis
"""been""","Salt Lake City, UT, USA",WolfgangThis
