tag,place,user
"""been""","Lompoc, CA, USA",Zekesgirl
"""been""","Cambria, CA, USA",Zekesgirl
"""been""","Thousand Oaks, CA, USA",Zekesgirl
"""been""","Nipomo, CA, USA",Zekesgirl
"""been""","South Pasadena, CA, USA",Zekesgirl
"""been""","Oak Glen, CA, USA",Zekesgirl
"""been""","Long Beach, CA, USA",Zekesgirl
"""been""","Grover Beach, CA, USA",Zekesgirl
"""been""","Blue Jay, CA, USA",Zekesgirl
"""been""","Commerce, CA, USA",Zekesgirl
"""been""","Scottsdale, AZ, USA",Zekesgirl
"""been""","Capitola, CA, USA",Zekesgirl
"""been""","Burbank, CA, USA",Zekesgirl
"""been""","Los Osos, CA, USA",Zekesgirl
"""been""","Buena Park, CA, USA",Zekesgirl
"""been""","Crestline, CA, USA",Zekesgirl
"""been""","Buellton, CA, USA",Zekesgirl
"""been""","Santa Ynez, CA, USA",Zekesgirl
"""been""","Las Vegas, NV, USA",Zekesgirl
"""been""","Santa Maria, CA, USA",Zekesgirl
"""been""","Anaheim, CA, USA",Zekesgirl
"""been""","Simi Valley, CA, USA",Zekesgirl
"""want""","Honolulu, HI, USA",Zekesgirl
"""been""","Port Hueneme, CA, USA",Zekesgirl
"""been""","Vancouver, WA, USA",Zekesgirl
"""been""","Oxnard, CA, USA",Zekesgirl
"""been""","Arroyo Grande, CA, USA",Zekesgirl
"""been""","North Las Vegas, NV, USA",Zekesgirl
"""been""","Redlands, CA, USA",Zekesgirl
"""been""","Los Angeles, CA, USA",Zekesgirl
"""been""","Goleta, CA, USA",Zekesgirl
"""been""","Ventura, CA, USA",Zekesgirl
"""been""","Lake Arrowhead, CA, USA",Zekesgirl
"""been""","Cerritos, CA, USA",Zekesgirl
"""been""","Santa Ana, CA, USA",Zekesgirl
"""been""","San Luis Obispo, CA, USA",Zekesgirl
"""been""","Pismo Beach, CA, USA",Zekesgirl
"""been""","Los Alamos, CA, USA",Zekesgirl
"""been""","Santa Barbara, CA, USA",Zekesgirl
"""been""","Henderson, NV, USA",Zekesgirl
"""been""","Orcutt, CA, USA",Zekesgirl
"""been""","San Diego, CA, USA",Zekesgirl
