tag,place,user
"""want""","Dublin, Ireland",Zitalai
"""been""","Furano, Japan",Zitalai
"""been""","Chuo, Japan",Zitalai
"""been""","Sapporo, Japan",Zitalai
"""been""","Amsterdam, The Netherlands",Zitalai
"""been""","Langkawi, Malaysia",Zitalai
"""been""","Urayasu, Japan",Zitalai
"""been""","Paris, France",Zitalai
"""been""",Disneyland Paris,Zitalai
"""been""","Taichung, Taiwan",Zitalai
"""been""","The Hague, The Netherlands",Zitalai
"""been""","Otsu, Japan",Zitalai
"""been""","Nagano, Japan",Zitalai
"""been""","Liverpool, UK",Zitalai
"""been""","Osaka, Japan",Zitalai
"""been""","London, UK",Zitalai
"""been""","Bondi, Australia",Zitalai
"""been""","Munich, Germany",Zitalai
"""been""","Taoyuan, Taiwan",Zitalai
"""been""","Calais, France",Zitalai
"""been""","Kuala Lumpur, Malaysia",Zitalai
"""been""","Piti, Mariana Islands",Zitalai
"""been""","Candidasa, Indonesia",Zitalai
"""been""","Shanghai, China",Zitalai
"""been""","Ibusuki, Japan",Zitalai
"""been""","Tamuning, Mariana Islands",Zitalai
"""been""","Cardiff, UK",Zitalai
"""been""","Rome, Italy",Zitalai
"""been""","Tumon, Mariana Islands",Zitalai
"""been""","Bristol, UK",Zitalai
"""been""","Kagoshima, Japan",Zitalai
"""been""","Cambridge, UK",Zitalai
"""been""","Brussels, Belgium",Zitalai
"""been""","Halls Gap, Australia",Zitalai
"""been""","Hong Kong, China",Zitalai
"""been""","Poole, UK",Zitalai
"""been""","Heidelberg, Germany",Zitalai
"""been""","Nanjing, China",Zitalai
"""been""","Chester, UK",Zitalai
"""want""","Berlin, Germany",Zitalai
"""been""","New Taipei, Taiwan",Zitalai
"""been""","Milan, Italy",Zitalai
"""been""","Sydney, Australia",Zitalai
"""been""","Kata Beach, Thailand",Zitalai
"""been""","Kenting National Park, Taiwan",Zitalai
"""been""","Pontypridd, UK",Zitalai
"""want""","Vienna, Austria",Zitalai
"""been""","Qingyuan, China",Zitalai
"""been""","Otaru, Japan",Zitalai
"""want""","Cairns, Australia",Zitalai
"""been""","Penzance, UK",Zitalai
"""been""","Oxford, UK",Zitalai
"""been""","St Ives, UK",Zitalai
"""been""","Budapest, Hungary",Zitalai
"""been""","Aberdeen, UK",Zitalai
"""been""","Seoul, South Korea",Zitalai
"""been""","Seminyak, Indonesia",Zitalai
"""been""","Melbourne, Australia",Zitalai
"""been""","Brisbane, Australia",Zitalai
"""been""","Frankfurt, Germany",Zitalai
"""been""","Guangzhou, China",Zitalai
"""been""","Edinburgh, UK",Zitalai
"""been""","Prague, Czech Republic",Zitalai
"""been""","Bath, UK",Zitalai
"""been""","Hoi An, Vietnam",Zitalai
"""been""","Bruges, Belgium",Zitalai
"""been""","Da Nang, Vietnam",Zitalai
"""been""","Kirishima, Japan",Zitalai
"""been""","Surfers Paradise, Australia",Zitalai
"""been""","Manchester, UK",Zitalai
"""been""","Motobu-cho, Japan",Zitalai
"""been""","Blue Mountains National Park, Australia",Zitalai
"""been""","Macau, China",Zitalai
"""want""","Fitzroy Island, Australia",Zitalai
"""been""","Taipei, Taiwan",Zitalai
"""want""","Green Island, Australia",Zitalai
"""been""","Bangkok, Thailand",Zitalai
"""been""","San Diego, CA, USA",Zitalai
"""been""","Phillip Island, Australia",Zitalai
"""been"",""fave""","Bournemouth, UK",Zitalai
"""been""","Venice, Italy",Zitalai
"""want""","Nice, France",Zitalai
"""want""","Madrid, Spain",Zitalai
"""been""","Incheon, South Korea",Zitalai
"""been""","Los Angeles, CA, USA",Zitalai
"""been""","Wolverhampton, UK",Zitalai
"""been""","Brighton, UK",Zitalai
"""been""","Shinjuku, Japan",Zitalai
"""been""","Tokyo, Japan",Zitalai
"""been""","Singapore, Singapore",Zitalai
"""been""","Nagoya, Japan",Zitalai
"""been""","Shenzhen, China",Zitalai
"""been""","Naha, Japan",Zitalai
"""been""","Okinawa City, Japan",Zitalai
"""been""","Zhongshan, China",Zitalai
"""been""","Zhuhai, China",Zitalai
"""been""","Las Vegas, NV, USA",Zitalai
"""been""","Cologne, Germany",Zitalai
"""want""","Barcelona, Spain",Zitalai
"""been""","Florence, Italy",Zitalai
"""want""","Lisbon, Portugal",Zitalai
"""been""","Kata Noi Beach, Thailand",Zitalai
"""been""","Shirakawa-mura, Japan",Zitalai
"""been""","Takayama, Japan",Zitalai
"""been""","Pisa, Italy",Zitalai
"""been""","Kanazawa, Japan",Zitalai
