tag,place,user
"""been""","Port Douglas, Australia",aadams0715
"""been""","Carson, CA, USA",aadams0715
"""been""","Kissimmee, FL, USA",aadams0715
"""been""","Denver, CO, USA",aadams0715
"""been""","Myrtle Beach, SC, USA",aadams0715
"""been""","Alexandria Bay, NY, USA",aadams0715
"""been""","Orlando, FL, USA",aadams0715
"""been""","Cairns, Australia",aadams0715
"""been""","Pretoria, South Africa",aadams0715
"""been""","New London, NH, USA",aadams0715
"""been""","New York City, NY, USA",aadams0715
"""been""","Portsmouth, NH, USA",aadams0715
"""been""","Huntington, NY, USA",aadams0715
"""been""","Cambridge, MA, USA",aadams0715
"""been""","Sydney, Australia",aadams0715
"""been""","Vancouver, British Columbia, Canada",aadams0715
"""been""","Scottsdale, AZ, USA",aadams0715
"""been""","Whistler, British Columbia, Canada",aadams0715
"""been""","Tokyo, Japan",aadams0715
"""been""","Gold Coast, Australia",aadams0715
"""been""","Edgartown, MA, USA",aadams0715
"""been""","Worcester, MA, USA",aadams0715
"""been""","Baltimore, MD, USA",aadams0715
"""been""","Scarborough, ME, USA",aadams0715
"""been""","Damariscotta, ME, USA",aadams0715
"""been""","Rochester, NY, USA",aadams0715
"""been""","Eastham, MA, USA",aadams0715
"""been""","Johannesburg, South Africa",aadams0715
"""been""","Cooperstown, NY, USA",aadams0715
"""been""","Providence, RI, USA",aadams0715
"""been""","Shimoda, Japan",aadams0715
"""been""","Manchester, NH, USA",aadams0715
"""been""","Bretton Woods, NH, USA",aadams0715
"""been""","Newton, MA, USA",aadams0715
"""been""","Brighton, NY, USA",aadams0715
"""been""","Brooklyn, NY, USA",aadams0715
"""been""","Oneonta, NY, USA",aadams0715
"""been""","Bronx, NY, USA",aadams0715
"""been""","Williamstown, MA, USA",aadams0715
"""been""","Assisi, Italy",aadams0715
"""been""","Chatillon, France",aadams0715
"""been""","Toronto, Ontario, Canada",aadams0715
"""been""","St. John's, Newfoundland and Labrador, Canada",aadams0715
"""been""","Arlington, VA, USA",aadams0715
"""been""","Washington DC, DC, USA",aadams0715
"""been""","San Francisco, CA, USA",aadams0715
"""been""","Hiroshima, Japan",aadams0715
"""been""","Lincoln, NH, USA",aadams0715
"""been""","Somerville, MA, USA",aadams0715
"""been""","Philadelphia, PA, USA",aadams0715
"""been""","Cannes, France",aadams0715
"""been""","Provincetown, MA, USA",aadams0715
"""been""","Grand Cayman, Cayman Islands",aadams0715
"""been""","Kyoto, Japan",aadams0715
"""been""","Westwood, MA, USA",aadams0715
"""been""","Duxbury, MA, USA",aadams0715
"""been""","Osaka, Japan",aadams0715
"""been""","Gouda, The Netherlands",aadams0715
"""been""","Bethesda, MD, USA",aadams0715
"""been""","Dublin, Ireland",aadams0715
"""been""","Durham, NC, USA",aadams0715
"""been""","Los Angeles, CA, USA",aadams0715
"""been""","Killington, VT, USA",aadams0715
"""been""","Lucerne, Switzerland",aadams0715
"""been""","Harrison, NJ, USA",aadams0715
"""been""","Laconia, NH, USA",aadams0715
"""been""","Florence, Italy",aadams0715
"""been""","Syracuse, NY, USA",aadams0715
"""been""","Dedham, MA, USA",aadams0715
"""been""","Cork, Ireland",aadams0715
"""been""","Montreal, Quebec, Canada",aadams0715
"""been""","Braintree, MA, USA",aadams0715
"""been""","Santa Monica, CA, USA",aadams0715
"""been""","Columbus, OH, USA",aadams0715
"""been""","Fuji, Japan",aadams0715
"""been""","Anaheim, CA, USA",aadams0715
"""been""","Phoenix, AZ, USA",aadams0715
"""been""","New London, CT, USA",aadams0715
"""been""","Alexandria, VA, USA",aadams0715
"""been""","Newport, RI, USA",aadams0715
"""been""","Portland, ME, USA",aadams0715
"""been""","Walpole, MA, USA",aadams0715
"""been""","Nantucket, MA, USA",aadams0715
"""been""","Lee, MA, USA",aadams0715
"""been""","Cape Town Central, South Africa",aadams0715
"""been""","Orleans, MA, USA",aadams0715
"""been""","Potchefstroom, South Africa",aadams0715
"""been""","Buffalo, NY, USA",aadams0715
"""been""","Beverly Hills, CA, USA",aadams0715
"""been""","Gloucester, MA, USA",aadams0715
"""been""","Niagara Falls, Ontario, Canada",aadams0715
"""been""","Salzburg, Austria",aadams0715
"""been""","Doolin, Ireland",aadams0715
"""been""","Holden Beach, NC, USA",aadams0715
"""been""","Raleigh, NC, USA",aadams0715
"""been""","Rome, Italy",aadams0715
"""been""","Honolulu, HI, USA",aadams0715
"""been""","Norwood, MA, USA",aadams0715
"""been""","Limerick, Ireland",aadams0715
"""been""","Boston, MA, USA",aadams0715
"""been""","Hyannis, MA, USA",aadams0715
"""been""","Bridgton, ME, USA",aadams0715
"""been""","London, UK",aadams0715
"""been""","Ithaca, NY, USA",aadams0715
"""been""","Foxborough, MA, USA",aadams0715
"""been""","Melchtal, Switzerland",aadams0715
"""been""","Merlischachen, Switzerland",aadams0715
"""been""","Amsterdam, The Netherlands",aadams0715
"""been""","Durham, NH, USA",aadams0715
"""been""","North Conway, NH, USA",aadams0715
"""been""","Paris, France",aadams0715
"""been""","Zurich, Switzerland",aadams0715
"""been""","Freeport, ME, USA",aadams0715
"""been""","Pittsford, NY, USA",aadams0715
"""been""","Versailles, France",aadams0715
"""been""","Killarney, Ireland",aadams0715
"""been""","Natick, MA, USA",aadams0715
