tag,place,user
"""been""","Los Angeles, CA, USA",abizerr
"""been""","San Francisco, CA, USA",abizerr
"""been""","Kuala Lumpur, Malaysia",abizerr
"""been""","Santa Monica, CA, USA",abizerr
"""been""","Jaffna, Sri Lanka",abizerr
"""been""","Sentosa Island, Singapore",abizerr
"""been""","Haputale, Sri Lanka",abizerr
"""been""","Petaling Jaya, Malaysia",abizerr
"""been""","Weligama, Sri Lanka",abizerr
"""been""","Kandy, Sri Lanka",abizerr
"""been""","Dubai, United Arab Emirates",abizerr
"""been""","Kalkudah, Sri Lanka",abizerr
