tag,place,user
"""been""","Big Sur, CA, USA",alexbN2436FA
"""been""","Jakarta, Indonesia",alexbN2436FA
"""been""","Santa Cruz, CA, USA",alexbN2436FA
"""been""","Santa Barbara, CA, USA",alexbN2436FA
"""been""","Lisbon, Portugal",alexbN2436FA
"""been""","Barcelona, Spain",alexbN2436FA
"""been""","Kyiv (Kiev), Ukraine",alexbN2436FA
"""been""","Cork, Ireland",alexbN2436FA
"""been""","Lausanne, Switzerland",alexbN2436FA
"""been""","Le Puy-en-Velay, France",alexbN2436FA
"""been""","Cologne, Germany",alexbN2436FA
"""been""","Lucerne, Switzerland",alexbN2436FA
"""been""","Tours, France",alexbN2436FA
"""been""","Marseille, France",alexbN2436FA
"""been""","Playa de las Americas, Spain",alexbN2436FA
"""been""","Tucson, AZ, USA",alexbN2436FA
"""been""","Hong Kong, China",alexbN2436FA
"""been""","Shanghai, China",alexbN2436FA
"""been""","San Antonio, TX, USA",alexbN2436FA
"""been""","Burbank, CA, USA",alexbN2436FA
"""been""","Phoenix, AZ, USA",alexbN2436FA
"""been""","Santa Fe, NM, USA",alexbN2436FA
"""been""","Argenton-sur-Creuse, France",alexbN2436FA
"""been""","Alexandria, Egypt",alexbN2436FA
"""been""","Sacramento, CA, USA",alexbN2436FA
"""been""","Adelaide, Australia",alexbN2436FA
"""been""","Dingle, Ireland",alexbN2436FA
"""been""","San Jose, CA, USA",alexbN2436FA
"""been""","Gosport, UK",alexbN2436FA
"""been""","Saumur, France",alexbN2436FA
"""been""","Venice, Italy",alexbN2436FA
"""been""","Nice, France",alexbN2436FA
"""been""","Budapest, Hungary",alexbN2436FA
"""been""","Basel, Switzerland",alexbN2436FA
"""been""","Madrid, Spain",alexbN2436FA
"""been""","Las Palmas de Gran Canaria, Spain",alexbN2436FA
"""been""","Cocles, Costa Rica",alexbN2436FA
"""been""","Palma de Mallorca, Spain",alexbN2436FA
"""been""","Cannes, France",alexbN2436FA
"""been""","Athens, Greece",alexbN2436FA
"""been""","Manchester, UK",alexbN2436FA
"""been""","Dallas, TX, USA",alexbN2436FA
"""been""","Saint-Malo, France",alexbN2436FA
"""been""","La Jolla, CA, USA",alexbN2436FA
"""been""","Glasgow, UK",alexbN2436FA
"""been""","Honolulu, HI, USA",alexbN2436FA
"""been""","Melbourne, Australia",alexbN2436FA
"""been""","New Orleans, LA, USA",alexbN2436FA
"""been""","Brisbane, Australia",alexbN2436FA
"""been""","Boston, MA, USA",alexbN2436FA
"""been""","Marrakech, Morocco",alexbN2436FA
"""been""","Cairns, Australia",alexbN2436FA
"""been""","Arles, France",alexbN2436FA
"""been""","Vienna, Austria",alexbN2436FA
"""been""","Seminyak, Indonesia",alexbN2436FA
"""been""","Odessa, Ukraine",alexbN2436FA
"""been""","Frankfurt, Germany",alexbN2436FA
"""been""","Algarve, Portugal",alexbN2436FA
"""been""","Puerto Vallarta, Mexico",alexbN2436FA
"""been""","Chatel, France",alexbN2436FA
"""been""","Seattle, WA, USA",alexbN2436FA
"""been""","Colombo, Sri Lanka",alexbN2436FA
"""been""","Prague, Czech Republic",alexbN2436FA
"""been""","Singapore, Singapore",alexbN2436FA
"""been""","La Chapelle-D'Abondance, France",alexbN2436FA
"""been""","Afandou, Greece",alexbN2436FA
"""been""","Les Gets, France",alexbN2436FA
"""been""","New York City, NY, USA",alexbN2436FA
"""been""","London, UK",alexbN2436FA
"""been""","Kilkenny, Ireland",alexbN2436FA
"""been""","Munich, Germany",alexbN2436FA
"""been""","Luxor, Egypt",alexbN2436FA
"""been""","Austin, TX, USA",alexbN2436FA
"""been""","Playa Blanca, Spain",alexbN2436FA
"""been""","St Peter Port, UK",alexbN2436FA
"""been""","Bodrum City, Turkey",alexbN2436FA
"""been""","San Francisco, CA, USA",alexbN2436FA
"""been""","Napa, CA, USA",alexbN2436FA
"""been""","Estepona, Spain",alexbN2436FA
"""been""","Zagreb, Croatia",alexbN2436FA
"""been""","Sudurad, Croatia",alexbN2436FA
"""been""","Carcassonne Center, France",alexbN2436FA
"""been""","Cambridge, MA, USA",alexbN2436FA
"""been""","Montpellier, France",alexbN2436FA
"""been""","Rome, Italy",alexbN2436FA
"""been""","Atlanta, GA, USA",alexbN2436FA
"""been""","Playa de Palma, Spain",alexbN2436FA
"""been""","Albuquerque, NM, USA",alexbN2436FA
"""been""","Hurghada, Egypt",alexbN2436FA
"""been""","Dublin, Ireland",alexbN2436FA
"""been""","Zurich, Switzerland",alexbN2436FA
"""been""","Paris, France",alexbN2436FA
"""been""","Los Angeles, CA, USA",alexbN2436FA
"""been""","Liverpool, UK",alexbN2436FA
"""been""","Mont-Saint-Michel, France",alexbN2436FA
"""been""","Izmir, Turkey",alexbN2436FA
"""been""","Cairo, Egypt",alexbN2436FA
"""been""","Las Vegas, NV, USA",alexbN2436FA
"""been""","Amsterdam, The Netherlands",alexbN2436FA
"""been""","Annecy, France",alexbN2436FA
"""been""","Moscow, Russia",alexbN2436FA
