tag,place,user
"""been""","Stateline, NV, USA",amomnus
"""been""","Millbrae, CA, USA",amomnus
"""been""","San Diego, CA, USA",amomnus
"""been""","Mazatlan, Mexico",amomnus
"""been""","Sacramento, CA, USA",amomnus
"""been""","Puerto Vallarta, Mexico",amomnus
"""been"",""fave""","Innsbruck, Austria",amomnus
"""been""","Sparks, NV, USA",amomnus
"""been""","Reno, NV, USA",amomnus
"""been""","Salzburg, Austria",amomnus
"""been""","Boulder, CO, USA",amomnus
"""been""","Cruz Bay, U.S. Virgin Islands",amomnus
"""been""","San Francisco, CA, USA",amomnus
"""been""","Seattle, WA, USA",amomnus
"""been""","Santa Cruz, CA, USA",amomnus
"""been""","Glendale, CA, USA",amomnus
"""been""","Twain Harte, CA, USA",amomnus
"""been""","Mount Shasta, CA, USA",amomnus
"""been""","Manhattan Beach, CA, USA",amomnus
"""been""","Dallas, TX, USA",amomnus
"""been""","Redding, CA, USA",amomnus
"""been"",""fave""","Lahaina, HI, USA",amomnus
"""been"",""fave""","Santa Barbara, CA, USA",amomnus
"""want""","Santa Fe, NM, USA",amomnus
"""been""","Las Vegas, NV, USA",amomnus
"""been""","Orange, CA, USA",amomnus
"""been""","Vienna, Austria",amomnus
"""been""","Honolulu, HI, USA",amomnus
"""been""","Pleasanton, CA, USA",amomnus
"""been"",""fave""","Poipu, HI, USA",amomnus
"""been"",""fave""","Victoria, British Columbia, Canada",amomnus
"""been""","Waimea, HI, USA",amomnus
"""been""","Elk Grove, CA, USA",amomnus
"""been""","Koloa, HI, USA",amomnus
"""been""","Morgan Hill, CA, USA",amomnus
"""been""","Lihue, HI, USA",amomnus
"""been""","South San Francisco, CA, USA",amomnus
"""been""","Anaheim, CA, USA",amomnus
"""been""","Monterey, CA, USA",amomnus
"""want""","Flagstaff, AZ, USA",amomnus
"""been"",""fave""","La Paz, Mexico",amomnus
"""been""","Chicago, IL, USA",amomnus
"""been""","Milwaukee, WI, USA",amomnus
"""been""","Cabo San Lucas, Mexico",amomnus
"""been""","Denver, CO, USA",amomnus
"""been""","Seaside, CA, USA",amomnus
"""been""","Oakland, CA, USA",amomnus
"""been""","Orlando, FL, USA",amomnus
"""been""","Los Angeles, CA, USA",amomnus
"""been""","Atlanta, GA, USA",amomnus
"""been""","South Lake Tahoe, CA, USA",amomnus
"""been""","Tulsa, OK, USA",amomnus
"""been""","Torrance, CA, USA",amomnus
"""want""","Martha's Vineyard, MA, USA",amomnus
"""been""","Portland, OR, USA",amomnus
"""been""","Berchtesgaden, Germany",amomnus
"""been""","Kissimmee, FL, USA",amomnus
"""been"",""want""","San Jose, CA, USA",amomnus
"""been""","Minneapolis, MN, USA",amomnus
"""been""","Long Beach, CA, USA",amomnus
"""been""","St. John, U.S. Virgin Islands",amomnus
"""been""","Pacific Grove, CA, USA",amomnus
"""been""","Phoenix, AZ, USA",amomnus
"""been""","Salt Lake City, UT, USA",amomnus
"""been"",""fave""","Grand Cayman, Cayman Islands",amomnus
"""been""","Buena Park, CA, USA",amomnus
"""been""","Sedona, AZ, USA",amomnus
"""been""","Key West, FL, USA",amomnus
"""been""","Pinecrest, CA, USA",amomnus
"""been""","Eugene, OR, USA",amomnus
"""been""","Cancun, Mexico",amomnus
"""been""","Scottsdale, AZ, USA",amomnus
"""been""","Boise, ID, USA",amomnus
