tag,place,user
"""been""","San Francisco, CA, USA",arleneMontrealQuebec
"""been""","Orlando, FL, USA",arleneMontrealQuebec
"""want""","Chicago, IL, USA",arleneMontrealQuebec
"""been""","Santa Monica, CA, USA",arleneMontrealQuebec
"""been""","Playa del Carmen, Mexico",arleneMontrealQuebec
"""want""","Cascais, Portugal",arleneMontrealQuebec
"""been"",""fave""","Rome, Italy",arleneMontrealQuebec
"""been""","Colorado Springs, CO, USA",arleneMontrealQuebec
"""been""","Granada, Spain",arleneMontrealQuebec
"""been"",""fave""","Venice, Italy",arleneMontrealQuebec
"""been""","Denver, CO, USA",arleneMontrealQuebec
"""been""","Las Vegas, NV, USA",arleneMontrealQuebec
"""been"",""fave""","Paris, France",arleneMontrealQuebec
"""been""","Cancun, Mexico",arleneMontrealQuebec
"""been""","Jerusalem, Israel",arleneMontrealQuebec
"""been""","Madrid, Spain",arleneMontrealQuebec
"""been"",""fave""","London, UK",arleneMontrealQuebec
"""want""","Tel Aviv, Israel",arleneMontrealQuebec
"""been""","Valencia, Spain",arleneMontrealQuebec
"""want""","Prague, Czech Republic",arleneMontrealQuebec
"""been""","Montreal, Quebec, Canada",arleneMontrealQuebec
"""been"",""fave""","New York City, NY, USA",arleneMontrealQuebec
"""been""","Albany, NY, USA",arleneMontrealQuebec
