tag,place,user
"""been""","Santa Monica, CA, USA",asimm76
"""been"",""want""","London, UK",asimm76
"""been""","Key Largo, FL, USA",asimm76
"""been""","Sydney, Australia",asimm76
"""been""","Los Osos, CA, USA",asimm76
"""been"",""want""","Bangkok, Thailand",asimm76
"""been""","Turkey, TX, USA",asimm76
"""been""","Patong, Thailand",asimm76
"""been""","Cairo, Egypt",asimm76
"""been""","Mecca, Saudi Arabia",asimm76
"""been""","Morro Bay, CA, USA",asimm76
"""been""","Key West, FL, USA",asimm76
"""been""","Karachi, Pakistan",asimm76
"""been""","Mosman, Australia",asimm76
"""been"",""want""","Istanbul, Turkey",asimm76
"""been""","Marmaris, Turkey",asimm76
"""been""","Dadu, Pakistan",asimm76
"""been""","Medina, Saudi Arabia",asimm76
"""been""","Kuala Lumpur, Malaysia",asimm76
"""been""","Goreme, Turkey",asimm76
"""been""","Katoomba, Australia",asimm76
"""been""","Las Vegas, NV, USA",asimm76
"""been""","Venice, Italy",asimm76
"""been""","Shenandoah National Park, VA, USA",asimm76
"""been""","Rize, Turkey",asimm76
"""been""","Uzungol, Turkey",asimm76
"""been""","New York City, NY, USA",asimm76
"""been""","Abu Dhabi, United Arab Emirates",asimm76
"""been""","Orlando, FL, USA",asimm76
"""been""","Pismo Beach, CA, USA",asimm76
"""been""","Miami Beach, FL, USA",asimm76
"""been""","Niagara Falls, NY, USA",asimm76
"""been""","Dubai, United Arab Emirates",asimm76
"""been""","Livermore, CA, USA",asimm76
"""been""","Caykara, Turkey",asimm76
"""been""","Amsterdam, The Netherlands",asimm76
"""been""","Orange, CA, USA",asimm76
"""been""","Kusadasi, Turkey",asimm76
"""been""","Sentosa Island, Singapore",asimm76
"""been"",""want""","Singapore, Singapore",asimm76
"""been""","Coomera, Australia",asimm76
"""been""","San Francisco, CA, USA",asimm76
"""been""","Lon, Spain",asimm76
"""been""","Washington DC, DC, USA",asimm76
"""been""","Paris, France",asimm76
"""been"",""want""","Langkawi, Malaysia",asimm76
"""been""","Damnoen Saduak, Thailand",asimm76
