tag,place,user
"""been""","London, UK",ax369
"""been""","Simi Valley, CA, USA",ax369
"""been""","New York City, NY, USA",ax369
"""been""","Berlin, Germany",ax369
"""been""","Portland, OR, USA",ax369
"""been""","Oakland, CA, USA",ax369
"""been""","Redlands, CA, USA",ax369
"""been""","Long Beach, CA, USA",ax369
"""been""","San Jose, Costa Rica",ax369
"""been""","Playa Flamingo, Costa Rica",ax369
"""been""","Medford, OR, USA",ax369
"""been""","Irvine, CA, USA",ax369
"""been""","Phoenix, AZ, USA",ax369
"""been""","Stratford, Ontario, Canada",ax369
"""been""","Los Angeles, CA, USA",ax369
