tag,place,user
"""been""","Tarangire National Park, Tanzania",bbnyla
"""been""","Washington DC, DC, USA",bbnyla
"""been""","Erie, PA, USA",bbnyla
"""been""","Wilmington, NC, USA",bbnyla
"""been""","Sierra Madre, CA, USA",bbnyla
"""been""","Norfolk, VA, USA",bbnyla
"""been""","Wilmington, DE, USA",bbnyla
"""been""","Indianapolis, IN, USA",bbnyla
"""been""","Miyakojima, Japan",bbnyla
"""been""","Nakuru, Kenya",bbnyla
"""been""","Daytona Beach, FL, USA",bbnyla
"""been""","Hollywood, FL, USA",bbnyla
"""been""","Hakodate, Japan",bbnyla
"""been""","Eugene, OR, USA",bbnyla
"""been""","Schenectady, NY, USA",bbnyla
"""been""","Chiba, Japan",bbnyla
"""been""","Puerto Aventuras, Mexico",bbnyla
"""been""","Boise, ID, USA",bbnyla
"""been""","Urayasu, Japan",bbnyla
"""been""","Meru National Park, Kenya",bbnyla
"""been""","Narita, Japan",bbnyla
"""been""","Jackson, WY, USA",bbnyla
"""been""","Ialyssos, Greece",bbnyla
"""been""","Staten Island, NY, USA",bbnyla
"""been""","Seal Beach, CA, USA",bbnyla
"""been""","Louisville, KY, USA",bbnyla
"""been""","Scotts Valley, CA, USA",bbnyla
"""been""","Sebastopol, CA, USA",bbnyla
"""been""","Seaside, CA, USA",bbnyla
"""been""","Bodega Bay, CA, USA",bbnyla
"""been""","Saugus, CA, USA",bbnyla
"""been""","Torrance, CA, USA",bbnyla
"""been""","Asni, Morocco",bbnyla
"""been""","Sausalito, CA, USA",bbnyla
"""been""","Panormos, Greece",bbnyla
"""been""","Boonville, CA, USA",bbnyla
"""been""","Taos, NM, USA",bbnyla
"""been""","Agia Pelagia, Greece",bbnyla
"""been""","Yokohama, Japan",bbnyla
"""been""","Zephyr Cove, NV, USA",bbnyla
"""been""","Hakone-machi, Japan",bbnyla
"""been""","Venice, Italy",bbnyla
"""been""","Kawagoe, Japan",bbnyla
"""been""","Hershey, PA, USA",bbnyla
"""been""","Tustin, CA, USA",bbnyla
"""been""","Errachidia, Morocco",bbnyla
"""been""","Tulare, CA, USA",bbnyla
"""been""","Turlock, CA, USA",bbnyla
"""been""","Chattanooga, TN, USA",bbnyla
"""been""","Cuernavaca, Mexico",bbnyla
"""been""","Guadalajara, Mexico",bbnyla
"""been""","Columbus, OH, USA",bbnyla
"""been""","Pollock Pines, CA, USA",bbnyla
"""been""","Essaouira, Morocco",bbnyla
"""been""","Pomona, CA, USA",bbnyla
"""been""","Niagara Falls, NY, USA",bbnyla
"""been""","Nagoya, Japan",bbnyla
"""been""","Mammoth Lakes, CA, USA",bbnyla
"""been""","Erfoud, Morocco",bbnyla
"""been""","Philadelphia, PA, USA",bbnyla
"""been""","Gettysburg, PA, USA",bbnyla
"""been""","Milan, Italy",bbnyla
"""been""","Cheyenne, WY, USA",bbnyla
"""been""","Matsuyama, Japan",bbnyla
"""been""","Auckland Central, New Zealand",bbnyla
"""been""","Kanazawa, Japan",bbnyla
"""been""","Matsumoto, Japan",bbnyla
"""been""","Melbourne, Australia",bbnyla
"""been""","Oak Glen, CA, USA",bbnyla
"""been""","Atlantic City, NJ, USA",bbnyla
"""been""","Takamatsu, Japan",bbnyla
"""been""","Raleigh, NC, USA",bbnyla
