tag,place,user
"""been""","Machu Picchu, Peru",billmR1073KE
"""been""","Chichen Itza, Mexico",billmR1073KE
"""been""","Urubamba, Peru",billmR1073KE
"""been""","Geiranger, Norway",billmR1073KE
"""been""","Saratoga, WY, USA",billmR1073KE
"""been""","Huntington Beach, CA, USA",billmR1073KE
"""been""","Playa Paraiso, Mexico",billmR1073KE
"""been""","Orange, CA, USA",billmR1073KE
"""been""","Coba, Mexico",billmR1073KE
"""been""","Newport Beach, CA, USA",billmR1073KE
"""been""","Santa Monica, CA, USA",billmR1073KE
"""been""","Anaheim, CA, USA",billmR1073KE
"""been""","Durango, CO, USA",billmR1073KE
