tag,place,user
"""been""","Long Beach, CA, USA",blancam899
"""been""","Cabo San Lucas, Mexico",blancam899
"""want""","Guadalajara, Mexico",blancam899
"""been""","Las Vegas, NV, USA",blancam899
"""been""","San Jose del Cabo, Mexico",blancam899
"""been""","Tucson, AZ, USA",blancam899
"""been""","Mexico City, Mexico",blancam899
"""been""","Kihei, HI, USA",blancam899
"""been""","Costa Mesa, CA, USA",blancam899
"""been""","San Antonio, TX, USA",blancam899
"""been""","Ventura, CA, USA",blancam899
"""been""","Madrid, Spain",blancam899
"""been""","Los Angeles, CA, USA",blancam899
"""been""","Playa Conchal, Costa Rica",blancam899
