tag,place,user
"""been""","Phoenix, AZ, USA",bonzai82
"""been""","Sequoia and Kings Canyon National Park, CA, USA",bonzai82
"""been""","Harriman, TN, USA",bonzai82
"""been""","Hopkinsville, KY, USA",bonzai82
"""been""","Southport, IN, USA",bonzai82
"""been""","Colonial Heights, VA, USA",bonzai82
"""been""","Cuba, MO, USA",bonzai82
"""been""","Brentwood, TN, USA",bonzai82
"""been""","Chandler, AZ, USA",bonzai82
"""been""","Evansville, IN, USA",bonzai82
"""been""","Sundance, UT, USA",bonzai82
"""been""","Clarksville, TN, USA",bonzai82
"""been""","Johnson City, TN, USA",bonzai82
"""been""","Joelton, TN, USA",bonzai82
"""been""","Clermont, IN, USA",bonzai82
"""been""","Oklahoma City, OK, USA",bonzai82
"""been""","Gilbert, AZ, USA",bonzai82
"""been""","Indianapolis, IN, USA",bonzai82
"""been""","Madera, CA, USA",bonzai82
"""been""","Lynchburg, TN, USA",bonzai82
"""been""","Pomona, CA, USA",bonzai82
"""been""","Hendersonville, TN, USA",bonzai82
"""been""","Moab, UT, USA",bonzai82
"""been""","New York City, NY, USA",bonzai82
"""been""","Tarrytown, NY, USA",bonzai82
"""been""","Greenwood, IN, USA",bonzai82
"""been""","Irvington, NY, USA",bonzai82
"""been""","Edinburgh, IN, USA",bonzai82
"""been""","Charlottesville, VA, USA",bonzai82
"""been""","Dinwiddie, VA, USA",bonzai82
"""been""","Leipers Fork, TN, USA",bonzai82
"""been""","Knoxville, TN, USA",bonzai82
"""been""","Shelbyville, TN, USA",bonzai82
"""been""","Elk City, OK, USA",bonzai82
"""been""","Worthington, OH, USA",bonzai82
"""been""","Rancho Cucamonga, CA, USA",bonzai82
"""been""","Amarillo, TX, USA",bonzai82
"""been""","Winslow, AZ, USA",bonzai82
"""been""","Half Moon Bay, CA, USA",bonzai82
"""been""","Ontario, CA, USA",bonzai82
"""been""","Madisonville, KY, USA",bonzai82
"""been""","Albuquerque, NM, USA",bonzai82
"""been""","Tucumcari, NM, USA",bonzai82
"""been""","Manchester, TN, USA",bonzai82
"""been""","Gallup, NM, USA",bonzai82
"""been""","Raleigh, NC, USA",bonzai82
"""been""","Richmond, VA, USA",bonzai82
"""been""","Del City, OK, USA",bonzai82
"""been""","Anthem, AZ, USA",bonzai82
"""been""","Waynesboro, VA, USA",bonzai82
"""been""","Nashville, TN, USA",bonzai82
"""been""","Bowling Green, KY, USA",bonzai82
"""been""","Visalia, CA, USA",bonzai82
"""been""","Goodlettsville, TN, USA",bonzai82
"""been""","Bell Buckle, TN, USA",bonzai82
"""been""","Holbrook, AZ, USA",bonzai82
"""been""","Clinton, OK, USA",bonzai82
"""been""","Memphis, TN, USA",bonzai82
"""been""","Louisville, KY, USA",bonzai82
"""been""","Claremont, CA, USA",bonzai82
"""been""","Los Angeles, CA, USA",bonzai82
"""been""","Queen Creek, AZ, USA",bonzai82
"""been""","Tullahoma, TN, USA",bonzai82
"""been""","Midwest City, OK, USA",bonzai82
"""been""","Columbus, OH, USA",bonzai82
"""been""","Kuttawa, KY, USA",bonzai82
"""been""","Mesa, AZ, USA",bonzai82
"""been""","Springfield, TN, USA",bonzai82
"""been""","Pleasant View, TN, USA",bonzai82
