tag,place,user
"""been""","Carlsbad, CA, USA",brandicoy
"""been""","Santa Ynez, CA, USA",brandicoy
"""been""","Santa Barbara, CA, USA",brandicoy
"""been""","San Clemente, CA, USA",brandicoy
"""been""","Temecula, CA, USA",brandicoy
"""been""","Irvine, CA, USA",brandicoy
"""been""","Sedona, AZ, USA",brandicoy
"""been""","Los Angeles, CA, USA",brandicoy
"""been""","Fallbrook, CA, USA",brandicoy
"""been""","Orlando, FL, USA",brandicoy
"""been""","Lucerne Valley, CA, USA",brandicoy
"""been""","Alpine, CA, USA",brandicoy
"""been""","Fountain Hills, AZ, USA",brandicoy
"""been""","Goleta, CA, USA",brandicoy
"""been""","Oceanside, CA, USA",brandicoy
"""been""","Palm Springs, CA, USA",brandicoy
"""been""","Joshua Tree National Park, CA, USA",brandicoy
"""been""","Agoura, CA, USA",brandicoy
"""been""","Clemson, SC, USA",brandicoy
"""been""","Las Vegas, NV, USA",brandicoy
"""been""","Pahrump, NV, USA",brandicoy
