tag,place,user
"""been""","Honolulu, HI, USA",candlecraver
"""been""","Solvang, CA, USA",candlecraver
"""been""","New York City, NY, USA",candlecraver
"""been""","Avalon, CA, USA",candlecraver
"""been""","San Diego, CA, USA",candlecraver
"""been""","Washington DC, DC, USA",candlecraver
"""been""","Thousand Oaks, CA, USA",candlecraver
"""been""","Bangkok, Thailand",candlecraver
"""been""","Los Angeles, CA, USA",candlecraver
"""been""","Nashville, TN, USA",candlecraver
"""been""","Miami, FL, USA",candlecraver
"""been""","Boston, MA, USA",candlecraver
