tag,place,user
"""been""","Tijuana, Mexico",carfave
"""been""","Puerto Nuevo, Mexico",carfave
"""been""","Manila, Philippines",carfave
"""been""","San Francisco, CA, USA",carfave
"""been""","Seattle, WA, USA",carfave
"""been""","Kennewick, WA, USA",carfave
"""been""","Portland, OR, USA",carfave
"""been""","Carlsbad, CA, USA",carfave
"""been"",""fave""","Rosarito, Mexico",carfave
"""been""","San Diego, CA, USA",carfave
"""been"",""fave""","Anaheim, CA, USA",carfave
"""been""","Los Angeles, CA, USA",carfave
"""been"",""fave""","Las Vegas, NV, USA",carfave
"""been""","Long Beach, CA, USA",carfave
