tag,place,user
"""been""","Florence, Italy",carmita90670
"""been""","San Salvador, El Salvador",carmita90670
"""been""","Barcelona, Spain",carmita90670
"""been""","Syracuse, Italy",carmita90670
"""been"",""want""","Palermo, Italy",carmita90670
"""been""","Nassau, Bahamas",carmita90670
"""been""","Lima, Peru",carmita90670
"""been""","Scottsdale, AZ, USA",carmita90670
"""been""","Ketchikan, AK, USA",carmita90670
"""been""","Madrid, Spain",carmita90670
"""been""","Pisa, Italy",carmita90670
"""been""","Cancun, Mexico",carmita90670
"""been""","Faro, Portugal",carmita90670
"""been""","Miami Beach, FL, USA",carmita90670
"""been"",""want""","Los Angeles, CA, USA",carmita90670
"""been""","La Jolla, CA, USA",carmita90670
"""been""","Sonoma, CA, USA",carmita90670
"""been""","London, Ontario, Canada",carmita90670
"""been""","Punta Cana, Dominican Republic",carmita90670
"""been""","New York City, NY, USA",carmita90670
"""been""","Cuenca, Ecuador",carmita90670
"""been""","Anchorage, AK, USA",carmita90670
"""been""","Granada, Nicaragua",carmita90670
"""been""","Chicago, IL, USA",carmita90670
"""been""","Paris, France",carmita90670
"""been""","Lisse, The Netherlands",carmita90670
"""been""","Capri, Italy",carmita90670
"""been""","Cagliari, Italy",carmita90670
"""been""","Juneau, AK, USA",carmita90670
"""been""","Munich, Germany",carmita90670
"""been""","Siena, Italy",carmita90670
"""been""","Athens, Greece",carmita90670
"""been""","Vancouver, British Columbia, Canada",carmita90670
"""been""","Rancho Palos Verdes, CA, USA",carmita90670
"""been""","Ontario, CA, USA",carmita90670
"""been""","Puerto Aventuras, Mexico",carmita90670
"""been""","Washington DC, DC, USA",carmita90670
"""been""","San Diego, CA, USA",carmita90670
"""been""","Venice, FL, USA",carmita90670
