tag,place,user
"""been""","Santa Barbara, CA, USA",caroleh760
"""been""","San Diego, CA, USA",caroleh760
"""been""","Carmel, CA, USA",caroleh760
"""been""","Son Bou, Spain",caroleh760
"""been""","Santa Monica, CA, USA",caroleh760
"""been""","San Francisco, CA, USA",caroleh760
"""been""","Bangkok, Thailand",caroleh760
"""been""","Berlin, Germany",caroleh760
"""been""","Singapore, Singapore",caroleh760
"""been""","Playa Blanca, Spain",caroleh760
"""been""","Woolsington, UK",caroleh760
"""been""","London, UK",caroleh760
"""been""","Hong Kong, China",caroleh760
"""been""","Penrith, UK",caroleh760
"""been""","Dubrovnik, Croatia",caroleh760
"""been""","Napa, CA, USA",caroleh760
"""been""","Cambrils, Spain",caroleh760
"""been""","Long Beach, CA, USA",caroleh760
"""been""","Alton, UK",caroleh760
"""been""","Los Angeles, CA, USA",caroleh760
"""been""","Harrogate, UK",caroleh760
"""been""","Sydney, Australia",caroleh760
