tag,place,user
"""been""","Lima, Peru",cdb26197
"""been""","Bozeman, MT, USA",cdb26197
"""been""","Washington DC, DC, USA",cdb26197
"""been""","Cusco, Peru",cdb26197
"""been""","Aurora, CO, USA",cdb26197
"""been""","Honfleur, France",cdb26197
"""been""","Puno, Peru",cdb26197
"""been""","Paris, France",cdb26197
"""been""","San Gabriel, CA, USA",cdb26197
"""been""","Urubamba, Peru",cdb26197
"""been""","Woodland, CA, USA",cdb26197
"""been""","Bayeux, France",cdb26197
"""been""","Banff, Alberta, Canada",cdb26197
"""been""","Marcey-les-Greves, France",cdb26197
"""been""","San Francisco, CA, USA",cdb26197
"""been""","Aguas Calientes, Peru",cdb26197
"""been""","Big Horn, WY, USA",cdb26197
